N	2gram	Bakhtin_Pr	Marksizm
1	чужой речи	2	85
2	прямой речи	1	77
3	точки зрения	17	69
4	может быть	23	64
5	и в	83	63
6	и не	41	55
7	как бы	27	53
8	прямая речь	2	49
9	не может	18	47
10	с точки	13	46
11	и пр	1	42
12	и его	13	41
13	в этом	24	39
14	таким образом	9	38
15	в процессе	4	33
16	как мы	12	32
17	языка и	1	31
18	в пределах	8	31
19	лишь в	1	30
20	не только	14	29
21	то же	10	28
22	чужого высказывания	1	28
23	в нем	21	28
24	языка как	1	27
25	но и	16	27
26	в языке	1	26
27	связи с	1	25
28	речи и	3	25
29	в самом	7	24
30	как и	13	24
31	прежде всего	20	24
32	только в	10	23
33	так и	9	23
34	и т.п	42	23
35	в том	22	22
36	то что	14	22
37	а не	19	22
38	при этом	6	20
39	чужое высказывание	2	20
40	так сказать	8	20
41	для него	1	20
42	если мы	5	20
43	на почве	1	19
44	не в	10	19
45	если бы	1	19
46	том что	9	19
47	в его	15	19
48	языка в	1	18
49	в ее	3	18
50	в слове	2	18
51	чужого слова	1	18
52	и для	5	18
53	но в	12	18
54	вовсе не	12	18
55	все же	3	17
56	в сущности	15	17
57	по отношению	6	16
58	слова и	5	16
59	и как	1	16
60	в то	8	16
61	с помощью	4	15
62	во всех	15	15
63	в связи	2	15
64	что он	6	15
65	высказывания и	2	15
66	же время	8	15
67	отношению к	5	15
68	язык как	1	14
69	в данном	1	14
70	хотя бы	6	14
71	в смысле	2	14
72	в своей	5	13
73	так же	4	13
74	авторского контекста	1	13
75	в направлении	2	13
76	что в	5	13
77	и здесь	4	13
78	не является	1	13
79	было бы	6	13
80	ничего не	8	13
81	мы не	7	13
82	слова в	3	13
83	для того	1	12
84	того же	5	12
85	в результате	2	12
86	выражение в	1	12
87	между тем	2	12
88	он не	5	12
89	в основе	6	12
90	высшей степени	1	12
91	а в	4	12
92	в высшей	1	12
93	на материале	1	11
94	чужое слово	7	11
95	к нему	3	11
96	мы уже	9	11
97	и что	3	11
98	и от	4	11
99	в немецком	1	11
100	слова как	1	11
101	до сих	8	11
102	и на	27	11
103	и все	14	11
104	как в	10	11
105	еще не	10	11
106	высказывание в	1	11
107	друг друга	7	11
108	так как	12	11
109	на самом	2	11
110	все эти	9	11
111	в ней	8	11
112	сих пор	8	11
113	именно в	3	10
114	авторский контекст	2	10
115	во всяком	2	10
