N	4gram	Potebnia_M	Stilisti
1	в то же время	8	7
2	одно и то же	7	5
3	одной и той же	4	4
4	не что иное как	1	2
5	и то же слово	2	2
6	вместе с тем и	3	2
7	то что мы называем	2	2
8	есть не что иное	1	2
9	он в то же	1	1
10	и в этом случае	1	1
11	человек не только не	1	1
12	заключает в себе все	1	1
13	по себе не может	2	1
14	к одной и той	2	1
15	но вместе с тем	1	1
16	то же время служит	1	1
17	и не может быть	1	1
18	одна и та же	2	1
19	то же время и	1	1
20	одним и тем же	4	1
21	нет и не может	1	1
22	одного и того же	2	1
