N	3gram	Tiupa_Hudo	Komedia
1	в том что	8	29
2	к тому же	1	21
3	в то же	7	16
4	то же время	7	16
5	в самом деле	2	13
6	о том что	1	13
7	для того чтобы	5	11
8	в то время	1	11
9	в свою очередь	2	10
10	едва ли не	1	10
11	по отношению к	10	9
12	с одной стороны	3	9
13	речь идет о	1	8
14	с другой стороны	6	8
15	и в самом	3	8
16	так или иначе	4	7
17	бы то ни	2	7
18	то ни было	2	7
19	в первую очередь	1	7
20	в отличие от	7	6
21	в том числе	3	6
22	в связи с	3	6
23	с точки зрения	3	6
24	что он не	1	5
25	то же самое	1	5
26	тем не менее	3	5
27	том что он	2	5
28	в самом начале	1	4
29	именно потому что	1	4
30	к тому что	2	4
31	не в состоянии	1	4
32	друг от друга	1	3
33	более или менее	6	3
34	в соответствии с	1	3
35	в последние десятилетия	1	3
36	состоит в том	5	3
37	с первых же	1	3
38	не более чем	1	3
39	в новое время	1	3
40	том числе и	2	3
41	мере в какой	1	2
42	одной стороны и	1	2
43	в конечном счете	5	2
44	в известной степени	1	2
45	в этом смысле	3	2
46	при этом что	1	2
47	с этой точки	2	2
48	как видно из	1	2
49	как и в	1	2
50	в частности в	1	2
51	том что она	1	2
52	в отношении к	2	2
53	в зависимости от	1	2
54	точно так же	1	2
55	и в то	2	2
56	не было и	1	2
57	каждой из них	1	2
58	в основе своей	2	2
59	и в том	1	2
60	со своей стороны	1	2
61	если говорить о	1	2
62	так и не	4	2
63	этой точки зрения	2	2
64	и тем более	1	2
65	в одной из	1	2
66	таким образом и	1	2
67	подобно тому как	3	2
68	так же как	1	2
69	имеем в виду	3	2
70	мы имеем в	3	2
71	в этом случае	1	2
72	в поле зрения	1	2
73	я думаю что	1	2
74	а в другом	1	1
75	даже в том	1	1
76	себе в этом	1	1
77	друг перед другом	1	1
78	если никто не	1	1
79	в той мере	1	1
80	не может быть	4	1
81	только в условиях	1	1
82	себе отчет в	1	1
83	можно сказать что	3	1
84	имеем дело с	1	1
85	далекого прошлого с	1	1
86	она могла бы	1	1
87	и те и	1	1
88	и частной жизни	1	1
89	в коем случае	2	1
90	если он не	1	1
91	принадлежат к числу	1	1
92	того или иного	4	1
93	бы ни был	1	1
94	одного и того	3	1
95	но он не	2	1
96	в том случае	1	1
97	и не могла	1	1
98	в себе самом	1	1
99	ни в коем	2	1
100	таким образом что	1	1
101	не сводится к	9	1
102	в полной мере	1	1
103	а тем более	1	1
104	и тем самым	1	1
105	и прежде всего	2	1
106	можно говорить о	1	1
107	той мере в	1	1
108	так же точно	1	1
109	решающая роль в	1	1
110	и в пределах	1	1
111	и того же	3	1
112	в рамках этой	1	1
113	точки зрения у	1	1
114	к вопросу о	1	1
115	в такое же	1	1
116	и не дает	1	1
117	в одном случае	1	1
118	имея в виду	1	1
119	в значительной степени	2	1
120	мы имеем дело	2	1
121	может и не	1	1
122	вовсе не означает	1	1
123	на задний план	1	1
124	те и другие	1	1
125	той или иной	5	1
126	человека и его	1	1
127	он не только	1	1
128	в котором по	1	1
129	на второй план	1	1
130	по крайней мере	1	1
131	к более или	1	1
132	что одна из	1	1
133	и на его	1	1
134	в свое время	1	1
135	как бы в	1	1
136	как один из	1	1
137	в общественном сознании	2	1
138	как впрочем и	1	1
139	связи с этим	1	1
140	в настоящее время	1	1
141	в основе его	1	1
142	во времени и	1	1
143	перед лицом смерти	1	1
144	в противном случае	2	1
145	не что иное	1	1
146	и в частности	1	1
147	между тем к	1	1
148	автор обращается к	1	1
149	жизнь в которой	1	1
150	в лучшем случае	1	1
151	состоит не в	1	1
152	нового времени в	1	1
153	однако и в	1	1
154	а в ее	1	1
155	как раз в	1	1
156	в частности все	1	1
157	но только не	1	1
158	том случае если	1	1
159	что иное как	1	1
160	к окружающему его	1	1
161	со временем получает	1	1
162	в виду что	1	1
163	как уже говорилось	2	1
164	сама по себе	2	1
165	так и против	1	1
