N	2gram	Losev_Vlad	VrazhdaK
1	в году	54	18
2	в бесах	1	10
3	не только	35	9
4	и достоевского	1	9
5	в этом	30	8
6	и в	56	8
7	и что	11	8
8	что в	24	7
9	и все	8	7
10	но и	26	7
11	то что	30	7
12	года в	9	7
13	о нем	9	6
14	как и	7	6
15	и даже	23	6
16	и с	27	6
17	все же	11	6
18	в котором	10	6
19	в начале	7	6
20	в нем	7	6
21	но в	19	6
22	то же	10	5
23	у него	28	5
24	в россии	7	5
25	и не	33	5
26	об этом	13	5
27	в письме	16	5
28	не было	12	5
29	же время	7	5
30	в то	15	5
31	александра ii	3	5
32	это не	3	4
33	при этом	5	4
34	несмотря на	7	4
35	с ним	10	4
36	для нас	9	4
37	все это	7	4
38	в своих	7	4
39	что он	22	4
40	летом года	6	4
41	письме к	14	4
42	уже в	9	4
43	у достоевского	2	4
44	о том	13	4
45	может быть	12	4
46	в вестнике	3	4
47	в ней	5	4
48	вестнике европы	3	4
49	целый ряд	1	4
50	в истории	4	4
51	в россию	5	4
52	как бы	5	4
53	так же	4	4
54	во многом	3	4
55	февраля года	1	4
56	он считал	2	4
57	что у	4	3
58	в его	18	3
59	в том	26	3
60	в петербург	8	3
61	марта года	7	3
62	года он	16	3
63	его в	3	3
64	раз в	1	3
65	связи с	7	3
66	но он	7	3
67	январе года	1	3
68	в связи	9	3
69	я не	8	3
70	и как	7	3
71	далеко не	1	3
72	тем что	2	3
73	в те	12	3
74	в чем	4	3
75	и у	4	3
76	в русской	1	3
77	человека в	1	3
78	в париже	8	3
79	он был	20	3
80	чтобы он	3	3
81	том что	22	3
82	апреля года	2	3
83	в этот	5	3
84	он не	13	3
85	и уже	1	3
86	я хотел	2	3
87	в конце	22	3
88	и о	6	3
89	наряду с	1	3
90	одним из	3	3
91	в своем	10	3
92	он использовал	1	3
93	относился к	4	3
94	на то	7	3
95	с его	15	3
96	и его	12	3
97	к этому	11	3
98	который был	4	3
99	в январе	3	3
100	и во	3	3
101	в той	2	2
102	ноябре года	2	2
103	таким образом	6	2
104	начиная с	3	2
105	и то	13	2
106	ответ на	2	2
107	мае года	1	2
108	но после	2	2
109	и он	7	2
110	эти годы	7	2
111	после этого	2	2
112	приехал в	2	2
113	в момент	2	2
114	в ноябре	4	2
115	время и	3	2
116	к себе	2	2
117	это письмо	1	2
118	мы знаем	5	2
119	и далее	1	2
120	для него	16	2
121	его и	2	2
122	этот момент	2	2
123	о чем	6	2
124	как раз	7	2
125	по мнению	1	2
126	мне и	1	2
127	о которой	3	2
128	в мае	1	2
129	за границей	3	2
130	в них	5	2
131	а также	12	2
132	же в	3	2
133	отношения к	4	2
134	ноября года	3	2
135	его на	4	2
136	в в	4	2
137	там же	24	2
138	их в	3	2
139	европы №	3	2
140	в своей	7	2
141	вместе с	9	2
142	так в	1	2
143	личные отношения	1	2
144	в это	6	2
145	не менее	9	2
146	и это	4	2
147	и стал	3	2
148	на первый	4	2
149	еще не	2	2
150	сказал он	1	2
151	ко мне	1	2
152	он пишет	5	2
153	письмо к	3	2
154	но как	6	2
155	а с	5	2
156	это в	2	2
157	в свою	3	2
158	великого князя	1	2
159	после смерти	8	2
160	влюбился в	1	2
161	в письмах	1	2
162	в этой	4	2
163	что к	3	2
164	мая года	3	2
165	человека с	2	2
166	при помощи	1	2
167	тогда как	1	2
168	он писал	5	2
169	а в	20	2
170	на это	2	2
171	и а	2	2
172	к ним	1	2
173	в петербургском	2	2
174	июня в	1	2
175	отношение к	7	2
176	уже не	6	2
177	году в	3	2
178	из них	3	2
179	в себе	5	2
180	что я	5	2
181	с нею	1	2
182	в глазах	1	2
183	не может	12	2
184	место в	2	2
185	с которым	4	2
186	столь же	1	2
187	том же	4	2
188	точки зрения	4	2
189	тем более	4	2
190	одна из	1	2
191	году и	2	2
192	в период	6	2
193	об этой	2	2
194	м м	19	2
195	время он	3	2
196	он сам	3	2
197	на место	1	2
198	довольно много	1	2
199	в эти	14	2
200	отнюдь не	3	2
201	но это	6	2
202	во время	4	2
203	не мог	10	2
204	в него	1	2
205	а н	14	2
206	те годы	3	2
207	никогда не	15	2
208	могли быть	1	2
209	сочувствие к	1	1
210	письмах и	1	1
211	для россии	1	1
212	в особенности	4	1
213	все в	1	1
214	своего рода	1	1
215	никто из	2	1
216	петербурге и	2	1
217	в самом	3	1
218	во всем	4	1
219	то в	6	1
220	как к	4	1
221	этого и	1	1
222	бесах мы	1	1
223	способности к	1	1
224	был охвачен	1	1
225	именно к	2	1
226	так и	11	1
227	что они	4	1
228	романа с	1	1
229	в свое	6	1
230	в литературе	1	1
231	в сентябре	1	1
232	все что	2	1
233	в разгар	2	1
234	для всех	2	1
235	о молодом	1	1
236	и считает	1	1
237	в душе	1	1
238	один из	4	1
239	можно говорить	2	1
240	которым он	1	1
241	и читал	1	1
242	общественный деятель	1	1
243	конца года	1	1
244	ему в	4	1
245	со мной	1	1
246	из которых	1	1
247	и юный	1	1
248	вышла в	3	1
249	ему что	1	1
250	по всем	3	1
251	уверенности что	1	1
252	они не	1	1
253	в марте	2	1
254	же сильно	1	1
255	был очень	2	1
256	в петербурге	10	1
257	м стасюлевичу	4	1
258	ни с	6	1
259	только что	2	1
260	не слишком	1	1
261	всего была	1	1
262	если в	1	1
263	также что	2	1
264	вскоре после	1	1
265	это будет	1	1
266	лет назад	1	1
267	того как	2	1
268	к этой	4	1
269	н и	4	1
270	в основном	5	1
271	через несколько	3	1
272	второй половине	3	1
273	которой не	1	1
274	мнения о	1	1
275	за исключением	1	1
276	уже марта	1	1
277	с любовью	1	1
278	нем в	1	1
279	сколько в	1	1
280	что уже	1	1
