N	4gram	Bakhtin_Pr	KFilosof
1	по отношению к нему	1	4
2	ни в чем не	2	4
3	только по отношению к	4	2
4	бы то ни было	2	2
5	в то же время	3	2
6	должно быть соотнесено с	1	2
7	ни к чему не	1	2
8	во всех своих моментах	2	2
9	лишь в соотнесении с	1	2
10	ни в один момент	1	1
11	в его целом как	1	1
12	в основе своей есть	1	1
13	несмотря на то что	1	1
14	в их конкретном единстве	1	1
15	там где оно не	1	1
16	в противном случае мы	1	1
17	взаимно проникают друг друга	1	1
18	дело в том что	1	1
19	к единству содержания и	1	1
20	в его целом в	1	1
21	и для эстетического созерцания	2	1
22	и тем не менее	1	1
23	но в то же	1	1
24	отсюда отнюдь не следует	1	1
25	или иной культурной области	1	1
26	позицию по отношению к	3	1
27	только при этом условии	1	1
28	той или иной культурной	1	1
29	и в то же	2	1
30	в один момент не	1	1
