N	2gram	Savitsky_E	FransuaR
1	и в	37	367
2	то есть	6	209
3	в этом	12	112
4	и не	14	101
5	таким образом	2	100
6	и его	1	99
7	в его	2	98
8	прежде всего	9	92
9	не только	18	87
10	но и	14	84
11	как бы	6	82
12	все эти	1	79
13	вовсе не	6	77
14	как и	7	76
15	в нем	1	75
16	но в	14	75
17	и на	6	72
18	в том	11	71
19	как мы	5	71
20	то же	15	66
21	и все	2	66
22	в них	3	65
23	в этой	2	65
24	так и	10	65
25	и с	2	64
26	в то	16	63
27	во всех	6	62
28	же время	14	55
29	что в	21	52
30	в своем	14	51
31	только в	9	48
32	так как	7	46
33	и до	1	46
34	том что	6	45
35	то что	6	41
36	жизни и	2	40
37	в самом	4	38
38	точки зрения	23	37
39	в ней	4	37
40	с его	1	36
41	о том	3	35
42	может быть	6	35
43	мы видим	2	35
44	сказать что	4	34
45	и даже	6	34
46	в себе	9	34
47	рядом с	1	32
48	мы видели	3	32
49	он не	2	32
50	для него	1	32
51	в своей	8	31
52	так же	9	30
53	один из	1	30
54	потому что	3	30
55	той же	1	30
56	и потому	5	30
57	никогда не	3	30
58	в одном	2	29
59	связи с	1	29
60	в этих	2	29
61	не может	9	29
62	при этом	1	29
63	не в	5	29
64	и к	3	28
65	из них	3	28
66	всех этих	1	28
67	также и	7	28
68	в той	5	28
69	в основе	1	28
70	и другие	1	27
71	том числе	1	27
72	все же	1	27
73	по своему	7	27
74	и их	1	27
75	кроме того	1	26
76	в области	11	25
77	но это	1	25
78	мира и	3	25
79	но не	5	24
80	например в	1	24
81	в ее	8	24
82	и от	3	24
83	как в	3	24
84	того чтобы	6	24
85	в частности	5	24
86	в большинстве	2	24
87	большинстве случаев	3	23
88	с ним	1	23
89	и для	3	23
90	в их	11	23
91	к нему	2	23
92	даже в	4	22
93	не было	1	22
94	а в	2	22
95	тем что	3	22
96	что и	3	22
97	и других	2	22
98	там где	3	22
99	вместе с	2	22
100	и во	2	22
101	связь с	1	22
102	и о	1	22
103	в своих	2	21
104	именно в	4	21
105	культуры и	2	21
106	в отношении	32	21
107	уже в	1	21
108	и как	2	21
109	есть в	2	21
110	в качестве	14	21
111	что это	2	21
112	и наконец	2	21
113	в связи	1	20
114	и это	1	20
115	в значительной	2	20
116	одной из	5	20
117	этом отношении	3	20
118	с точки	17	20
119	а также	7	20
120	во всем	1	19
121	в эту	2	19
122	того же	3	19
123	за пределы	1	19
124	было бы	8	19
125	с ее	1	19
126	с другой	7	19
127	хотя и	2	19
128	в ту	1	19
129	далеко не	2	19
130	мы находим	1	18
131	одна из	1	18
132	но они	1	18
133	весь мир	1	18
134	на этом	1	18
135	это в	1	18
136	в большей	1	17
137	большей или	1	17
138	для того	6	17
139	конечно не	1	17
140	в результате	3	17
141	можно было	3	17
142	на его	1	17
143	числе и	1	17
144	такой же	2	17
145	еще более	2	17
146	но все	1	17
147	меньшей степени	2	17
148	связана с	1	17
149	того что	7	17
150	а не	2	17
151	влияние на	2	16
152	с одной	8	16
153	между ними	2	16
154	между тем	8	16
155	тот же	1	16
156	в начале	1	16
157	или меньшей	1	16
158	дело в	3	16
159	а затем	1	15
160	с их	1	15
161	и вообще	1	15
162	одно из	1	15
163	почти все	1	15
164	как на	3	15
165	в нашем	1	15
166	еще в	1	15
167	в истории	2	15
168	в самой	1	15
169	и прежде	3	15
170	в котором	2	14
171	и по	5	14
