N	4gram	Losev_Prob	RusskieA
1	в том что в	1	8
2	не что иное как	5	4
3	на самом же деле	1	3
4	было бы значительно увеличить	1	3
5	можно было бы значительно	1	3
6	так же как и	1	3
7	но тем не менее	1	2
8	и в этом случае	3	2
9	во всяком случае не	1	2
10	это не значит что	1	2
11	и т д и	4	2
12	и на то что	1	1
13	сливаются в одно целое	2	1
14	в этом случае на	1	1
15	тем не менее здесь	2	1
16	и в других случаях	1	1
17	как мы увидим ниже	2	1
18	и во многих других	1	1
19	необходимо иметь в виду	1	1
20	в то время как	2	1
21	том что в нем	1	1
22	же деле это не	1	1
23	самом же деле это	1	1
24	одного и того же	2	1
25	а может быть и	2	1
26	о том что в	1	1
27	о том что это	2	1
28	и в другое время	1	1
29	обращают на себя внимание	1	1
30	об этом не очень	1	1
31	сводится к тому что	1	1
32	вместе с тем однако	2	1
33	не имеет ничего общего	4	1
34	мы уже видели что	1	1
35	не только потому что	1	1
36	по этому поводу с	1	1
37	дело в том что	3	1
38	только потому что она	1	1
39	имеет ничего общего с	3	1
40	во всех этих случаях	1	1
41	в этом случае он	1	1
42	не имеют ничего общего	4	1
