N	4gram	Vinokur_Ku	Problema
1	и тем не менее	4	15
2	не что иное как	2	14
3	есть не что иное	1	11
4	дело в том что	1	10
5	также и то что	1	9
6	и т д и	3	9
7	т д и т	3	8
8	не говоря уже о	1	7
9	д и т д	2	7
10	заключается в том что	2	6
11	по крайней мере в	1	6
12	бы то ни было	1	6
13	свидетельствует о том что	1	5
14	ни в какой мере	1	5
15	в том смысле что	1	5
16	можно ли сказать что	1	5
17	а с другой стороны	2	4
18	в собственном смысле слова	1	4
19	в литературе и искусстве	1	4
20	одно и то же	1	4
21	и с точки зрения	1	4
22	еще и потому что	1	4
23	в том или ином	1	4
24	в тех случаях когда	2	3
25	и в то же	1	3
26	одного и того же	2	3
27	и вместе с тем	1	3
28	только о том что	1	3
29	несмотря на то что	1	3
30	то во всяком случае	1	3
31	с этой точки зрения	3	3
32	не сам по себе	1	3
33	в том что он	3	3
34	в том что и	1	2
35	все более и более	1	2
36	о том что он	1	2
37	одной и той же	1	2
38	уже о том что	1	2
39	а вместе с тем	1	2
40	только в том случае	2	2
41	мы имеем в виду	1	2
42	но все дело в	1	2
43	по себе и не	1	2
44	и т д все	1	2
45	т д все это	1	2
46	в этом смысле есть	1	2
47	не говоря уже об	1	2
48	все дело в том	1	2
49	говоря уже о том	1	2
50	так или иначе но	1	2
51	хотелось бы обратить внимание	1	2
52	только в том что	1	2
53	не только в том	1	2
54	это можно было бы	1	2
55	но с другой стороны	1	2
56	в этом случае он	1	2
57	вовсе не потому что	1	1
58	само по себе не	1	1
59	это уже не просто	1	1
60	в том и в	1	1
61	можно было бы говорить	1	1
62	ни то ни другое	1	1
63	том и в другом	1	1
64	то только потому что	1	1
65	в том смысле как	1	1
66	значит также и то	1	1
67	и с другой стороны	1	1
68	потому что он есть	1	1
69	тот же звук который	1	1
70	ни за что не	1	1
71	в то же время	4	1
72	поскольку речь идет о	1	1
73	этой точки зрения в	1	1
74	только в том чтобы	2	1
75	в своей книге о	1	1
76	в данный момент в	1	1
77	и в самом деле	4	1
78	что же касается истории	1	1
79	на известной ступени культурного	1	1
80	сводится к тому что	1	1
81	по крайней мере об	1	1
82	свой смысл и свое	1	1
83	здесь можно было бы	1	1
84	так по крайней мере	1	1
85	в одном и том	1	1
86	мы приходим к проблеме	1	1
87	о котором говорилось выше	1	1
88	заключается не в том	1	1
89	и т п тем	1	1
90	в том что мы	1	1
91	ответ на этот вопрос	1	1
92	известной ступени культурного развития	1	1
93	состоит в том что	4	1
94	мы не знаем что	1	1
95	обратить внимание на то	2	1
96	в виду не только	1	1
97	но для того чтобы	1	1
98	в силу того что	2	1
99	в том случае если	3	1
100	он несет на себе	1	1
101	о том что в	1	1
102	п тем не менее	1	1
103	не для того чтобы	1	1
104	не только потому что	3	1
105	виде так и в	1	1
106	и т д это	2	1
107	является то обстоятельство что	1	1
108	т п тем не	1	1
109	вовсе не то что	1	1
110	и в том и	1	1
111	не имеется в виду	1	1
112	и в другом случае	1	1
113	одном и том же	1	1
114	для того чтобы мы	1	1
115	и во многих других	1	1
116	вопросом о том как	1	1
117	вообще и в частности	1	1
118	в таких словах как	1	1
119	можно было бы сказать	2	1
120	в этом последнем случае	1	1
121	д и т п	1	1
122	что в живом языке	1	1
123	вовсе не только в	1	1
124	в узком смысле слова	1	1
125	только для того чтобы	2	1
126	во всех этих случаях	1	1
127	нас в том что	1	1
128	оно заключается в том	1	1
129	точки зрения в качестве	1	1
130	никак не может быть	1	1
131	какой бы то ни	1	1
132	то тем самым мы	1	1
133	и то обстоятельство что	2	1
134	можно ли в этом	1	1
135	на том основании что	1	1
