N	2gram	Medvedev_B	Myslijsy
1	и в	1	121
2	что в	1	73
3	и не	2	73
4	не только	1	67
5	а не	1	67
6	таким образом	1	64
7	было бы	1	45
8	так и	1	37
9	не было	1	26
10	с другой	1	22
11	и потому	1	21
12	в ней	2	20
13	еще не	1	18
14	крайней мере	1	17
15	по крайней	1	17
16	во всяком	1	17
17	и на	1	16
18	прежде всего	1	15
19	все же	1	14
20	что все	1	13
21	не следует	1	13
22	значение слова	1	13
23	другой стороны	1	12
24	не то	2	12
25	всяком случае	1	12
26	все это	2	12
27	тем более	1	12
28	к ней	1	11
29	вопрос о	1	9
30	не все	1	9
31	далеко не	1	9
32	и о	1	9
33	говорить о	1	8
34	между ними	1	8
35	на самом	1	8
36	и более	1	8
37	в данном	1	7
38	за пределы	1	7
39	и во	1	7
40	в речи	1	6
41	в своей	1	6
42	представляется нам	1	6
43	должна быть	1	6
44	никак не	1	6
45	художественного произведения	1	6
46	у нас	3	6
47	об этом	1	6
48	его не	1	6
49	значительной степени	1	5
50	можно было	2	5
51	нет но	1	5
52	на которой	1	5
53	в области	1	5
54	бы только	1	5
55	точке зрения	1	4
56	не вполне	1	4
57	кроме того	1	3
58	одной из	1	3
59	также что	1	3
60	следовало бы	1	3
61	художественном произведении	1	3
62	и ее	1	3
63	видеть в	2	3
64	как будто	1	3
65	нас по	1	3
66	без понимания	1	2
67	и нет	1	2
68	почти совершенно	1	2
69	для которой	1	2
70	как часть	1	2
71	было и	1	2
72	было говорить	1	2
73	же не	1	2
74	со всем	1	1
75	остановиться на	1	1
76	из ее	1	1
77	больше чем	2	1
78	говорить не	1	1
79	то как	1	1
80	в научном	1	1
81	как работу	1	1
82	книги в	1	1
83	пожалуй и	1	1
84	на выражение	1	1
85	не о	1	1
86	будто бы	1	1
87	нельзя не	1	1
88	невозможны без	1	1
89	от значения	1	1
90	иначе не	1	1
91	меньшей мере	1	1
92	только одной	1	1
93	можно в	1	1
94	совершенно не	1	1
95	по этим	1	1
96	и полно	1	1
97	забывать что	1	1
98	по меньшей	1	1
99	по отдельным	1	1
100	является только	1	1
101	стоит на	1	1
102	а о	1	1
103	более что	1	1
104	в пределах	1	1
105	из своей	1	1
106	собственной теории	1	1
107	меньше чем	1	1
