N	2gram	Propp_Morf	Sotsiolo
1	все это	2	7
2	в том	10	5
3	в этом	18	5
4	не только	8	3
5	как же	3	3
6	не в	3	3
7	и в	17	3
8	и только	3	3
9	но ведь	1	3
10	более чем	1	3
11	в его	1	3
12	для нас	2	3
13	что в	10	2
14	то что	10	2
15	таким образом	26	2
16	том что	7	2
17	дело не	2	2
18	как бы	6	2
19	в результате	8	2
20	было бы	5	2
21	как будто	2	2
22	в частности	2	2
23	но и	9	2
24	может быть	61	2
25	по существу	13	2
26	она может	1	2
27	главным образом	5	2
28	и что	3	2
29	это и	3	2
30	по отношению	7	2
31	отношению к	7	2
32	должна быть	2	2
33	далеко не	5	2
34	только в	3	2
35	только как	1	2
36	то же	10	2
37	метод и	1	2
38	еще не	4	2
39	как то	2	1
40	влияет на	1	1
41	а в	8	1
42	что он	5	1
43	этому соответствует	1	1
44	какие же	1	1
45	даже в	1	1
46	на что	1	1
47	быть не	1	1
48	в таких	3	1
49	в целом	5	1
50	в силу	1	1
51	вряд ли	2	1
52	на этот	2	1
53	это значит	1	1
54	что эти	3	1
55	все эти	5	1
56	когда мы	1	1
57	связи с	12	1
58	положения в	1	1
59	нет а	1	1
60	в своей	1	1
61	где же	1	1
62	во всяком	2	1
63	в мире	1	1
64	переходим к	1	1
65	дает нам	1	1
66	все же	9	1
67	что это	3	1
68	или не	3	1
69	еще и	1	1
70	можно будет	3	1
71	с другой	9	1
72	мы понимаем	1	1
73	мы должны	3	1
74	противном случае	1	1
75	право на	2	1
76	между тем	5	1
77	именно и	1	1
78	и более	2	1
79	но как	3	1
80	на шею	1	1
81	в этой	3	1
82	и его	3	1
83	два или	1	1
84	перейти к	2	1
85	эти обобщения	1	1
86	они ни	1	1
87	это по	1	1
88	нашей работы	2	1
89	в данном	2	1
90	легко но	1	1
91	на все	1	1
92	только для	2	1
93	в области	1	1
94	и по	3	1
95	их на	2	1
96	с помощью	1	1
97	же самое	1	1
98	один из	7	1
99	так и	10	1
100	в противном	1	1
101	в то	4	1
102	бы они	2	1
103	может не	2	1
104	наука о	2	1
105	в котором	1	1
106	те же	1	1
107	на следующий	1	1
108	именно на	1	1
109	между собой	5	1
110	обходится без	1	1
111	мы переходим	1	1
112	и не	16	1
113	но она	1	1
114	всяком случае	2	1
115	том как	2	1
116	настоящее время	3	1
117	или нет	2	1
118	исторического изучения	1	1
119	и должны	1	1
120	вступает в	1	1
121	но не	8	1
122	они не	3	1
123	в него	1	1
124	благодаря этому	3	1
125	она должна	1	1
126	этой области	1	1
127	прежде всего	14	1
128	тем что	4	1
129	что она	2	1
130	тем же	2	1
131	же законы	1	1
132	в систему	1	1
133	в каждом	1	1
134	что данный	1	1
135	в чем	2	1
136	на основании	1	1
137	а с	2	1
138	мы еще	1	1
139	еще недостаточно	1	1
140	же не	1	1
141	не дает	1	1
142	в сущности	3	1
143	это наиболее	1	1
144	его в	4	1
145	не от	2	1
146	пришлось бы	1	1
147	два типа	1	1
148	между собою	2	1
149	ни были	1	1
150	этого и	1	1
151	вовсе не	6	1
152	даже не	3	1
153	не меняет	2	1
154	с одной	2	1
155	и наконец	1	1
156	для изучения	1	1
157	о том	6	1
158	мы не	8	1
159	тому что	5	1
160	и затем	5	1
161	эти вопросы	1	1
162	в этих	17	1
163	у него	2	1
164	на первый	3	1
165	не место	1	1
166	перед нами	14	1
167	бы он	1	1
168	это дает	1	1
169	литературе и	1	1
170	хотя бы	5	1
171	же время	1	1
172	это не	6	1
173	одной стороны	2	1
174	в связи	10	1
175	бы в	2	1
176	в виде	3	1
177	в настоящее	3	1
178	именно в	1	1
179	вопросом о	1	1
180	и есть	3	1
181	не может	19	1
182	между ними	1	1
183	и как	6	1
184	что все	1	1
185	для наших	3	1
186	как и	4	1
187	изучения и	1	1
188	ничего не	5	1
189	в них	1	1
