N	4gram	Voloshinov	Freidism
1	в то же время	7	6
2	одной и той же	4	3
3	но в то же	2	3
4	внутренней и внешней речи	1	3
5	и не может быть	1	3
6	в зависимости от того	2	2
7	то что мы называем	2	2
8	нет и не может	1	2
9	все больше и больше	2	1
10	от того в какой	1	1
11	как мы уже знаем	1	1
12	одни и те же	2	1
13	то что же останется	1	1
14	в большинстве случаев только	1	1
15	сих пор говоря о	1	1
16	не может быть понято	1	1
17	и в голову не	1	1
18	и по отношению к	1	1
19	в жизни и в	1	1
20	одно и то же	5	1
21	в гораздо большей степени	1	1
22	социальной группы к которой	1	1
23	это не совсем так	1	1
24	то же время служит	1	1
25	как по отношению к	1	1
26	что же останется от	1	1
27	борьбе за существование о	1	1
28	которые в последнем счете	1	1
29	образуют то что мы	1	1
30	не что иное как	2	1
31	и в то же	2	1
32	то или иное отношение	1	1
33	не может обойтись без	1	1
34	в собственном смысле слова	1	1
35	той социальной группы к	1	1
36	и нет ничего удивительного	1	1
37	есть не что иное	2	1
