N	4gram	Voloshinov	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	2	3
3	и по отношению к	1	3
4	не может быть и	4	2
5	но тем не менее	1	2
6	одно и то же	1	2
7	должна быть понята и	1	1
8	не может быть понято	1	1
9	ни в чем не	4	1
10	ни в какой степени	2	1
11	на самом же деле	2	1
12	но в то же	3	1
13	как мы уже сказали	1	1
14	на протяжении всей жизни	4	1
15	в зависимости от того	2	1
16	переводе с греческого значит	1	1
17	в том что в	1	1
18	в такой же степени	1	1
19	социальной группы к которой	1	1
20	мы имеем в виду	1	1
21	если мы обратимся к	1	1
22	внутренней и внешней речи	3	1
23	ни в коем случае	1	1
24	до сих пор не	1	1
25	как уже сказано в	1	1
26	и не может быть	3	1
27	обстоит дело и с	1	1
28	уже не может быть	1	1
29	каких бы то ни	1	1
30	в какой степени не	1	1
31	в то же время	6	1
32	говорит о том что	1	1
33	той социальной группы к	1	1
34	один и тот же	3	1
