N	4gram	Berdyaev_O	Mirosoze
1	легенде о великом инквизиторе	3	8
2	в легенде о великом	3	8
3	и там и здесь	1	6
4	о человеке и его	2	5
5	ретроградной и насмешливой физиономией	1	4
6	с ретроградной и насмешливой	1	4
7	возжелал свободной любви человека	1	3
8	взял все что было	1	3
9	легенды о великом инквизиторе	1	3
10	в записках из подполья	3	3
11	победит боль и страх	1	2
12	а не рабских восторгов	1	2
13	от того что человек	1	2
14	легенда о великом инквизиторе	2	2
15	по своей глупой воле	1	2
16	сделается чтобы не иметь	1	2
17	к человеку у достоевского	1	2
18	и страх тот сам	1	2
19	жаждал свободной любви а	1	2
20	неопределенного взял все что	1	2
21	могуществом раз навсегда его	1	2
22	чтобы не иметь рассудка	1	2
23	не иметь рассудка и	1	2
24	иметь рассудка и настоять	1	2
25	не рабских восторгов невольника	1	2
26	и неопределенного взял все	1	2
27	сумасшедшим на этот случай	1	2
28	свободной любви а не	1	2
29	в самой последней глубине	1	2
30	нарочно сумасшедшим на этот	1	2
31	было не по силам	1	2
32	случай сделается чтобы не	1	2
33	что было не по	1	2
34	рассудка и настоять на	1	2
35	что во всяком случае	1	2
36	все что было не	1	2
37	а потому поступил как	1	2
38	ты взял все что	1	2
39	тысячи миллионов счастливых младенцев	1	2
40	своей глупой воле пожить	1	2
41	динамично все в движении	1	2
42	необычайного гадательного и неопределенного	1	2
43	гадательного и неопределенного взял	1	2
44	этот случай сделается чтобы	1	2
45	единственно для того чтобы	2	2
46	в ней нужно искать	1	2
47	и настоять на своем	1	2
48	в этом он был	1	2
49	любви а не рабских	1	2
50	боль и страх тот	1	2
51	раз навсегда его ужаснувшим	1	2
52	на этот случай сделается	1	2
53	потому поступил как бы	1	2
54	кто победит боль и	1	2
55	ты возжелал свободной любви	1	2
56	когда дело доходит до	1	1
57	нельзя потому что бог	1	1
58	все системы и теории	1	1
59	никогда не бывало эта	1	1
60	нам явный вред и	1	1
61	быть человек любит не	1	1
62	чтобы человек поминутно доказывал	1	1
63	господа а начало смерти	1	1
64	и хаос и мрак	1	1
65	из всего что есть	1	1
66	потому что неопределимая а	1	1
67	великий инквизитор обвиняет христа	1	1
68	непременно последователей найдет так	1	1
69	это взяли все эти	1	1
70	он до конца признает	1	1
71	хаоса никогда не откажется	1	1
72	не только бога но	1	1
73	к любви ибо легче	1	1
74	вспомни что их было	1	1
75	только их природу и	1	1
76	в том только и	1	1
77	говорит герой „записок из	1	1
78	непременно вообразили они что	1	1
79	того ни с сего	1	1
80	все эти мудрецы что	1	1
81	хлеб небесный но может	1	1
82	в самом начале романа	1	1
83	сильных? нет нам дороги	1	1
84	еще люди а не	1	1
85	уж одна возможность предварительного	1	1
86	ко всему этому положительному	1	1
87	тайн человеческой природы достоевский	1	1
88	сам что добро и	1	1
89	вообразили они что человеку	1	1
90	явный вред и противоречит	1	1
91	о том все ли	1	1
92	не фортепианные клавиши если	1	1
93	как от существа одаренного	1	1
94	именно свои фантастические мечты	1	1
95	всему этому положительному благоразумию	1	1
