N	2gram	Bakhtin_Fr	RusskieA
1	и в	73	79
2	в том	13	64
3	том что	8	59
4	что в	14	57
5	не только	11	41
6	во время	12	38
7	так как	9	34
8	и другие	3	33
9	в этом	21	33
10	как бы	15	31
11	но и	15	31
12	новый год	1	30
13	в других	2	30
14	как и	19	28
15	и на	12	28
16	может быть	5	28
17	в этот	1	26
18	этот день	1	25
19	одна из	7	24
20	о том	13	23
21	при этом	5	22
22	там же	1	20
23	это не	7	20
24	а в	10	20
25	как мы	19	20
26	из них	6	19
27	все это	19	18
28	с тем	2	17
29	таким образом	34	17
30	то что	12	17
31	вместе с	9	17
32	об этом	2	17
33	потому что	9	17
34	во многих	2	16
35	мы не	2	16
36	один из	5	15
37	в них	14	14
38	и с	17	14
39	в другие	2	14
40	как это	2	14
41	и что	5	14
42	мы видели	7	14
43	и не	13	14
44	для нас	2	14
45	у нас	4	14
46	в xix	1	14
47	уже не	2	13
48	к этому	5	13
49	в некоторых	1	13
50	так что	2	13
51	в землю	5	13
52	и по	4	13
53	как в	9	13
54	в которых	3	13
55	еще не	3	13
56	не может	4	13
57	тем что	8	12
58	между собой	2	12
59	полагает что	1	12
60	мы имеем	2	12
61	в виде	2	12
62	а затем	1	11
63	мы увидим	4	11
64	следующим образом	1	11
65	не имеет	4	11
66	но это	3	11
67	а на	4	11
68	далеко не	2	11
69	что на	1	11
70	все же	2	10
71	так например	2	10
72	том чтобы	1	10
73	его в	3	10
74	между тем	2	10
75	что и	6	10
76	в течение	2	10
77	нового года	1	10
78	так и	13	10
79	или в	5	10
80	а также	8	10
81	по существу	8	10
82	в воду	1	10
83	и других	3	10
84	то же	16	9
85	о чем	2	9
86	на части	5	9
87	что они	2	9
88	к жизни	4	9
89	с ней	1	9
90	и все	19	9
91	данном случае	1	9
92	того как	7	9
93	земли и	7	9
94	на голову	2	9
95	том же	1	9
96	но в	12	9
97	но не	1	9
98	одно из	2	8
99	в этих	6	8
100	представление о	3	8
101	что по	2	8
102	так же	11	8
103	после этого	1	8
104	связи с	5	8
105	во всех	13	8
106	что это	9	8
107	их в	5	8
108	того чтобы	2	8
109	того что	5	8
110	ее в	1	8
111	в данном	3	8
112	через них	1	8
113	же в	2	8
114	в это	3	7
115	в руках	4	7
116	должна была	1	7
117	настоящее время	1	7
118	в своем	13	7
119	на них	3	7
120	к нему	7	7
121	не в	12	7
122	в свете	3	7
123	а с	1	7
124	не совсем	2	7
125	было бы	5	7
126	только в	7	7
127	еще в	4	7
128	это время	1	7
129	связанные с	4	7
130	говорится что	1	7
131	из этих	1	7
132	а не	2	7
133	начиная с	3	7
134	до конца	5	7
135	в настоящее	1	7
136	ничего не	4	7
137	иногда и	1	7
138	и как	5	7
139	по этому	4	7
140	как будто	1	7
141	в эти	2	7
142	для этого	2	7
143	в году	12	6
144	с собой	2	6
145	к тому	2	6
146	и другой	1	6
147	не всегда	1	6
148	только на	2	6
149	но они	3	6
150	в одном	5	6
151	после того	6	6
152	в качестве	11	6
153	чем в	1	6
154	в таком	1	6
155	также в	1	6
156	на земле	5	6
157	и у	7	6
158	на этом	6	6
159	должны были	1	6
160	в этой	18	6
161	в нем	18	6
162	видели что	1	6
163	должен был	1	6
