N	2gram	Medvedev_V	Retstnzi
1	не может	17	4
2	и в	26	3
3	достоевского и	2	2
4	если в	2	2
5	один из	6	2
6	произведения но	1	1
7	этой проблемы	3	1
8	в особенности	2	1
9	несмотря на	1	1
10	может быть	23	1
11	не только	26	1
12	точки зрения	3	1
13	может не	2	1
14	для него	9	1
15	с теми	1	1
16	ситуации и	1	1
17	в ней	2	1
18	тех же	1	1
19	как художественная	1	1
20	себе все	1	1
21	в каждом	2	1
22	связи с	5	1
23	можно и	1	1
24	с другими	2	1
25	или иными	1	1
26	художественной структуры	2	1
27	его от	2	1
28	если бы	3	1
29	художественного произведения	6	1
30	исходя из	1	1
31	в его	15	1
32	не менее	2	1
33	и социальной	2	1
34	от общей	1	1
35	но и	10	1
36	мы видим	1	1
37	к тому	5	1
38	анализа и	1	1
39	можно назвать	1	1
40	тому что	7	1
41	условно можно	1	1
42	вопрос что	1	1
43	теми или	1	1
44	почти с	1	1
45	в то	6	1
46	из этих	7	1
47	он в	2	1
48	ни один	8	1
49	же время	5	1
50	то же	10	1
51	а не	7	1
52	персонажей и	2	1
53	бы в	3	1
54	нет и	3	1
55	искусство как	2	1
56	в системе	2	1
57	и не	20	1
58	и все	1	1
59	себя от	1	1
60	художественного целого	1	1
