N	2gram	Ircho_Kome	formyVre
1	и в	40	148
2	в этом	9	73
3	то есть	1	70
4	в нем	8	51
5	прежде всего	8	46
6	и т	11	40
7	и не	19	37
8	в его	8	36
9	и его	17	36
10	вовсе не	3	35
11	но и	14	33
12	то же	7	32
13	частной жизни	1	32
14	т п	7	32
15	не только	12	32
16	в литературе	2	32
17	но в	6	31
18	жизни и	4	31
19	так и	17	29
20	времени в	2	27
21	может быть	16	27
22	не в	8	26
23	как мы	5	26
24	как и	12	25
25	как бы	3	25
26	точки зрения	7	24
27	мы уже	1	24
28	только в	6	23
29	в то	14	23
30	еды и	1	23
31	времени и	2	23
32	человека в	2	23
33	в том	19	22
34	то что	8	22
35	связи с	3	21
36	во всех	4	21
37	жизни в	1	21
38	же время	5	21
39	все эти	1	21
40	в своем	6	19
41	и др	1	19
42	и на	9	19
43	в основном	1	19
44	и для	4	19
45	таким образом	13	18
46	у него	6	18
47	и все	4	18
48	еще не	7	18
49	по существу	1	18
50	при этом	5	17
51	те же	1	17
52	с этим	5	17
53	в особенности	1	17
54	так как	6	17
55	в пределах	1	17
56	все же	7	16
57	в условиях	1	16
58	в связи	3	16
59	того же	4	16
60	в основе	1	16
61	и во	4	16
62	и их	3	16
63	не может	3	16
64	в разных	1	15
65	в одном	10	15
66	в них	7	15
67	в дальнейшем	1	15
68	с его	4	15
69	вместе с	8	15
70	и как	3	14
71	и с	8	14
72	так же	4	14
73	в конце	7	14
74	а не	1	14
75	как раз	4	14
76	все это	7	14
77	в самом	5	13
78	в котором	6	13
79	для того	3	13
80	во время	11	13
81	с ним	1	13
82	как в	8	13
83	роль в	2	13
84	здесь в	4	13
85	в их	6	13
86	в частности	7	13
87	того чтобы	4	13
88	а в	9	13
89	же в	7	13
90	конечно не	1	12
91	время в	1	12
92	не было	1	12
93	он не	5	12
94	значение и	1	12
95	отнюдь не	2	12
96	что в	12	12
97	это время	5	12
98	потому что	8	12
99	в истории	10	12
100	ничего не	4	12
101	но не	3	12
102	из них	16	11
103	хотя и	6	11
104	его в	6	11
105	и у	3	11
106	ни в	9	11
107	в образе	4	11
108	уже в	9	11
109	мира и	1	11
110	в ней	2	11
111	и другие	3	10
112	в ее	2	10
113	этого ряда	1	10
114	сих пор	3	10
115	также и	1	10
116	до сих	3	10
117	на основе	1	10
118	тот же	5	10
119	в большинстве	2	10
120	и даже	5	9
121	но все	4	9
122	их в	1	9
123	на этой	1	9
124	с другой	7	9
125	наряду с	7	9
126	всего в	5	9
127	на протяжении	14	9
128	здесь нет	1	9
129	к себе	1	9
130	и следовательно	2	9
131	и это	3	9
132	в других	3	9
133	могут быть	3	9
134	та же	1	9
135	отношения к	1	9
136	том что	19	9
137	в самой	2	9
138	для него	1	9
139	жизнь и	2	9
140	и других	7	9
141	мира в	5	9
142	и к	2	8
143	в результате	5	8
144	в виду	2	8
145	в этих	5	8
146	время как	6	8
147	к тому	15	8
148	в этот	1	8
149	все его	1	8
150	с одной	5	8
151	что и	10	8
152	рядом с	1	8
153	в мире	3	8
154	героя и	1	8
155	здесь мы	3	8
156	здесь на	1	8
157	и по	6	8
158	один из	9	8
159	в жизни	1	8
160	для себя	2	8
161	если бы	4	8
162	связанные с	2	8
163	большинстве случаев	2	8
164	этого времени	1	8
165	до конца	3	8
166	здесь и	2	8
167	жизни но	1	8
168	том числе	4	8
169	во всяком	4	8
170	это не	2	8
171	и прежде	1	8
172	а также	5	8
173	и потому	1	8
174	отношение к	3	8
175	отношению к	5	8
176	или иной	1	8
177	в целом	6	8
178	в той	2	7
179	для всех	5	7
180	еще более	2	7
181	связанных с	2	7
182	в реальном	1	7
183	к этому	8	7
184	из этих	5	7
185	в себе	3	7
186	но он	2	7
187	не знает	1	7
188	в которой	9	7
189	в себя	3	7
190	в форме	2	7
191	с ее	2	7
192	например в	1	7
193	поэтому и	1	7
194	и он	1	7
195	то время	8	7
196	было бы	8	7
197	в отличие	3	7
198	том же	1	7
199	т д	4	7
200	у них	1	7
201	того что	1	7
202	мир в	1	7
203	этом отношении	3	7
204	ее в	2	7
205	отличие от	4	7
206	во времени	1	7
207	место в	7	7
208	за счет	3	7
209	все что	3	6
210	именно в	5	6
211	уже на	1	6
212	с тем	5	6
213	только для	1	6
214	на первый	1	6
215	о том	12	6
216	с помощью	1	6
217	между двумя	1	6
218	в различных	1	6
219	ни одного	2	6
220	сказать что	1	6
221	в основу	1	6
222	во всей	1	6
223	время и	3	6
224	в качестве	8	6
225	в таком	1	6
226	мы можем	6	6
227	до нас	9	6
228	ту же	2	6
229	за пределы	2	6
230	одной стороны	5	6
231	бы ни	1	6
232	а как	1	6
233	и ее	5	6
234	в античном	2	6
235	в сущности	3	6
236	в отношении	6	6
237	не могут	1	6
238	в которых	1	6
239	друг от	2	6
240	не является	2	6
241	тех же	4	6
242	автора и	1	6
243	слова и	1	6
244	в совершенно	1	6
245	нет и	2	6
246	одной из	6	6
247	мы не	4	6
