N	2gram	Bakhtin_KF	TeoriaLi
1	в качестве	2	33
2	в мире	8	26
3	не только	5	24
4	и в	28	24
5	то есть	1	22
6	может быть	45	22
7	при этом	4	20
8	в том	6	20
9	я в	1	18
10	и не	28	17
11	а в	5	15
12	но и	9	14
13	а не	17	14
14	так и	2	14
15	в себе	21	14
16	но не	12	13
17	в этом	15	12
18	сводится к	2	12
19	но в	5	12
20	в его	42	12
21	то же	5	12
22	том что	4	11
23	точки зрения	13	11
24	и его	18	11
25	что в	4	10
26	по отношению	26	10
27	как это	1	10
28	лишь в	8	10
29	отношению к	22	10
30	в душе	1	9
31	только в	18	9
32	в данном	2	9
33	в искусстве	1	9
34	не в	13	9
35	в то	3	9
36	в своей	11	8
37	же время	2	8
38	как бы	9	8
39	по своей	1	8
40	не может	29	8
41	в самом	1	7
42	в принципе	2	7
43	или иной	2	7
44	и т.п	1	7
45	в своем	17	7
46	себя в	8	7
47	мы имеем	5	7
48	во второй	1	7
49	отношение к	6	7
50	место в	6	7
51	в области	2	7
52	в нем	32	7
53	эстетическая деятельность	2	6
54	конечном счете	1	6
55	как и	5	6
56	не менее	3	6
57	приводит к	1	6
58	еще не	5	6
59	в основе	5	6
60	то что	7	6
61	со стороны	8	6
62	уже не	7	6
63	с его	2	6
64	в ее	17	6
65	картина мира	1	6
66	в конечном	1	6
67	между ними	1	6
68	того или	3	6
69	тем самым	4	6
70	в первой	1	6
71	или иного	3	6
72	художественного творчества	1	5
73	ни в	12	5
74	в виду	3	5
75	как в	2	5
76	можно сказать	1	5
77	не является	1	5
78	того чтобы	2	5
79	для того	3	5
80	я с	1	5
81	жизни как	5	5
82	на почве	1	5
83	как к	2	5
84	для него	13	5
85	того что	3	5
86	я есть	1	5
87	в себя	8	5
88	между тем	4	5
89	он не	6	5
90	и тем	3	5
91	и о	1	5
92	могут быть	3	5
93	не случайно	1	5
94	в отношении	1	4
95	не следует	2	4
96	в этих	1	4
97	отношения к	1	4
98	что он	2	4
