N	3gram	Bakhtin_Fr	Tvorches
1	в то же	13	25
2	то же время	13	24
3	в том что	2	11
4	о том что	3	8
5	и в то	2	7
6	в конечном счете	1	6
7	не может быть	2	6
8	но в то	7	6
9	в том же	3	5
10	по отношению к	2	5
11	в xix веке	3	4
12	до сих пор	6	4
13	с точки зрения	4	4
14	в одной из	1	4
15	дело в том	2	4
16	с самого начала	1	4
17	это прежде всего	1	4
18	с полным правом	1	3
19	это как бы	1	3
20	том что в	1	3
21	в отличие от	3	3
22	в ту эпоху	8	3
23	во всяком случае	2	3
24	как и в	2	3
25	с другой стороны	5	3
26	и не может	1	3
27	ни во что	1	2
28	войне и мире	1	2
29	это не значит	1	2
30	в данном случае	3	2
31	и в другом	1	2
32	и тут же	1	2
33	как и его	1	2
34	для того чтобы	5	2
35	в том числе	4	2
36	так и в	1	2
37	т ii с	1	2
38	в конце концов	3	2
39	одной из форм	1	2
40	том числе и	3	2
41	и в самом	1	2
42	в его произведениях	2	2
43	в высшей степени	1	2
44	таким образом и	2	2
45	но это не	1	2
46	в связи с	5	2
47	в одном из	1	2
48	в свою очередь	2	2
49	и будущего в	1	2
50	но прежде всего	1	2
51	не только для	1	2
52	в году и	1	2
53	же время он	1	2
54	заключается в том	1	2
55	только то что	2	2
56	на ранних стадиях	1	2
57	можно сказать что	2	2
58	том же году	1	2
59	все же не	1	2
60	на самом деле	5	2
61	именно в этом	1	2
62	не только в	3	2
63	мы узнаем что	1	2
64	мы уже говорили	5	2
65	на протяжении всего	2	2
66	нет и не	1	2
67	не так как	1	2
68	в году когда	1	1
69	далеко не сразу	1	1
70	xviii века и	1	1
71	в литературе в	1	1
72	улицы и площади	1	1
73	некоторые из них	3	1
74	имеет в виду	2	1
75	к этой теме	2	1
76	как будто бы	1	1
77	мы все время	1	1
78	о том как	1	1
79	в применении к	1	1
80	черт знает что	1	1
81	о котором говорил	1	1
82	потому что это	1	1
83	это одна из	1	1
84	в согласии с	1	1
85	после его смерти	1	1
86	восприятие и оценку	1	1
87	в первый раз	2	1
88	хотя бы и	1	1
89	так и от	1	1
90	он не понимает	1	1
91	так например в	1	1
92	он видит в	2	1
93	направо и налево	1	1
94	что в них	1	1
95	он в сущности	1	1
96	протяжении всего романа	1	1
97	с одной из	1	1
98	для этой книги	1	1
99	силы и своего	1	1
100	мы знаем что	1	1
101	то что может	1	1
102	особое внимание на	1	1
103	на площади и	1	1
104	не замечая что	2	1
105	язык и стиль	1	1
106	в картине мира	1	1
107	и далеко не	1	1
108	то есть о	1	1
109	и прежде всего	3	1
110	рядом с ним	1	1
111	внешнего и внутреннего	1	1
112	и в других	3	1
113	языка и стиля	1	1
114	и рядом с	1	1
115	то ни было	1	1
116	и того же	1	1
117	потому что не	1	1
118	и всякого рода	1	1
119	что это не	1	1
120	но в его	1	1
121	же время они	1	1
122	на самом же	1	1
123	бы то ни	1	1
124	или во всяком	1	1
125	вряд ли можно	1	1
126	за два месяца	1	1
127	сих пор еще	2	1
128	он и сам	2	1
129	большую роль в	1	1
130	и в этом	1	1
131	приводит его к	1	1
132	чтобы вы провалились	1	1
133	жизни то есть	1	1
134	было бы перевести	1	1
135	в художественном произведении	1	1
136	это тот самый	1	1
137	и в романе	2	1
138	за то что	2	1
139	той или иной	2	1
140	не противопоставляет себя	1	1
141	но он дает	1	1
142	это вовсе не	2	1
143	четыре раза в	1	1
144	и особенно в	1	1
145	самом же деле	1	1
146	прежде всего на	1	1
147	связан с традицией	1	1
148	на мир и	1	1
149	но и в	4	1
150	его сила и	1	1
151	в чем же	1	1
152	но в них	1	1
153	и в дальнейшем	1	1
154	в мировой литературе	3	1
155	имеем в виду	2	1
156	в другом месте	1	1
157	в своей книге	3	1
158	то что в	1	1
159	может быть в	2	1
160	все более и	1	1
161	с одной стороны	4	1
162	и не было	2	1
163	и смерти в	1	1
164	на протяжении почти	1	1
165	гораздо больше чем	1	1
166	да и в	1	1
167	в настоящее время	2	1
168	в то время	1	1
169	более и более	1	1
170	мир и на	1	1
171	таким образом в	1	1
172	он обнаруживает в	1	1
173	со всех сторон	1	1
174	что ему нужно	1	1
175	как бы две	1	1
176	не вошел в	1	1
177	и приложить к	1	1
178	не что иное	1	1
179	в отрыве от	1	1
180	новую жизнь и	1	1
181	можно было бы	2	1
182	в мире и	1	1
183	уже говорили что	1	1
184	мы имеем в	2	1
185	же у него	1	1
186	в этом случае	1	1
187	одним из древнейших	1	1
188	и отнюдь не	1	1
189	что в нем	1	1
190	одного и того	1	1
191	и на него	1	1
192	понимая под ним	1	1
193	тем что он	1	1
194	и в ее	1	1
195	но только не	1	1
196	для него как	1	1
197	он говорит об	2	1
198	что в романе	1	1
199	и в литературе	2	1
200	о войне и	1	1
201	что может быть	1	1
202	что иное как	1	1
203	и до конца	8	1
204	встречаются и в	1	1
205	в нем и	1	1
206	не был так	1	1
207	играют большую роль	1	1
208	в более широком	1	1
209	это и есть	2	1
210	по словам энгельса	1	1
211	как бы видит	1	1
212	на эту тему	1	1
213	не только читателей	1	1
214	начала и до	7	1
