N	2gram	Bakhtin_fo	Komedia
1	и в	84	77
2	и не	19	47
3	в том	16	44
4	том что	7	42
5	о том	4	33
6	но и	14	32
7	может быть	18	30
8	из них	8	29
9	таким образом	14	29
10	в то	13	28
11	v в	1	28
12	и его	26	28
13	в этом	41	27
14	потому что	11	27
15	что он	2	26
16	к тому	6	26
17	тому же	2	25
18	не только	16	25
19	вместе с	9	25
20	так как	12	24
21	в дом	2	23
22	как и	15	23
23	ни в	9	23
24	в доме	1	23
25	что в	9	23
26	в самом	9	22
27	что и	5	22
28	если бы	6	22
29	то же	18	21
30	ясно что	2	21
31	в конце	11	21
32	так и	17	21
33	а в	6	21
34	в его	19	20
35	к этому	5	19
36	во время	7	19
37	в этой	3	18
38	тем что	4	17
39	же время	13	17
40	в нем	28	17
41	и здесь	2	17
42	и т	21	17
43	еще не	8	17
44	при этом	8	16
45	все же	12	16
46	у него	8	16
47	сих пор	4	16
48	до нас	6	16
49	он не	6	16
50	действующих лиц	1	16
51	и сам	2	16
52	до сих	4	16
53	тот же	4	16
54	не в	10	15
55	в своем	8	15
56	точки зрения	14	15
57	его в	8	15
58	в которой	3	15
59	на себя	2	15
60	между тем	1	15
61	один из	5	15
62	и на	13	15
63	было бы	2	15
64	прежде всего	28	15
65	и с	10	14
66	на протяжении	3	14
67	в свою	2	14
68	все это	10	14
69	об этом	3	14
70	самом деле	2	13
71	о чем	4	13
72	в них	11	13
73	в одном	10	13
74	того же	9	13
75	как раз	13	13
76	мы можем	2	13
77	в двух	1	13
78	так что	4	13
79	то что	13	13
80	того чтобы	11	13
81	но в	16	13
82	в котором	8	12
83	для того	12	12
84	так же	7	12
85	с другой	4	12
86	несмотря на	1	12
87	хотя и	5	12
88	в качестве	6	12
89	как это	2	12
90	комедии и	1	12
91	т п	18	12
92	из которых	1	12
93	как в	10	12
94	уже в	5	12
95	в истории	6	12
96	не по	1	12
97	в начале	3	12
98	не может	8	12
99	но не	9	12
100	и даже	5	11
101	с тем	5	11
102	по отношению	3	11
103	наряду с	7	11
104	с ним	5	11
105	то время	4	11
106	должны были	1	11
107	как мы	19	11
108	на этот	1	11
109	и для	12	11
110	в их	9	11
111	из дому	1	11
112	в частности	11	11
113	к ней	2	11
114	с этим	11	10
115	он был	2	10
116	свою очередь	1	10
117	на него	1	10
118	тут же	1	10
119	с одной	5	10
120	к себе	8	10
121	в чем	3	10
122	как бы	11	10
123	и что	1	10
124	в отношении	5	10
125	и все	10	10
126	одной из	3	10
127	с его	10	10
128	ничего не	9	10
129	мы не	4	10
130	на его	1	10
131	тем более	4	10
132	что касается	1	10
133	еще в	1	10
134	отношение к	5	10
135	же в	6	10
136	в целом	2	10
137	все что	2	9
138	но все	6	9
139	в своей	2	9
140	больше чем	1	9
141	одной стороны	3	9
142	говорить о	1	9
143	и еще	3	9
144	тому что	1	9
145	время как	5	9
146	только в	12	9
147	друг друга	3	9
148	в тех	1	9
149	даже не	2	9
150	и по	5	9
151	независимо от	1	9
152	в образе	8	9
153	однако в	1	9
154	а также	5	9
155	вовсе не	20	9
156	отличие от	3	9
157	в ней	4	9
158	отношению к	5	9
159	с этой	3	8
160	а затем	3	8
161	другой стороны	1	8
162	по поводу	1	8
163	не было	8	8
164	не знает	4	8
165	бы в	1	8
166	во всех	13	8
167	если не	3	8
168	в которых	4	8
169	да и	4	8
170	в течение	2	8
171	связи с	14	8
172	по своему	3	8
173	и других	5	8
174	с самого	3	8
175	дошедших до	1	8
176	как он	4	8
177	при всем	1	8
178	идет о	2	8
179	и ее	4	8
180	место в	4	8
181	и к	4	7
182	дело с	1	7
183	в результате	6	7
184	в этих	6	7
185	равно как	4	7
186	если в	1	7
187	себе в	1	7
188	во всяком	5	7
189	вопрос о	2	7
190	хотя бы	2	7
191	в другом	2	7
192	самого начала	3	7
193	по которым	1	7
194	античной литературы	4	7
195	что они	3	7
196	в связи	13	7
197	и это	5	7
198	в других	9	7
199	и тот	2	7
200	в себе	7	7
201	и у	8	7
202	это время	8	7
203	не имеет	5	7
204	со временем	1	7
205	не является	4	7
206	из этих	5	7
207	и поэтому	2	7
208	после смерти	1	7
209	целый ряд	2	7
210	и во	13	7
211	до конца	5	7
212	в народном	1	7
213	всяком случае	1	7
214	и вот	2	7
215	для нас	2	7
216	само собой	2	7
217	отнюдь не	7	7
218	тех же	2	7
219	и о	1	7
220	конце концов	1	7
221	по всему	3	6
222	еще более	7	6
223	его от	3	6
224	в виду	5	6
225	с собой	2	6
226	в своих	1	6
227	там же	1	6
228	в дальнейшем	10	6
229	до того	1	6
230	не зная	2	6
231	и он	3	6
232	его дочери	1	6
233	с точки	9	6
234	что не	3	6
235	о которых	1	6
236	на этом	2	6
237	и тем	1	6
238	не приходится	1	6
239	могут быть	7	6
240	всего в	4	6
241	мы встречаем	3	6
242	на ее	1	6
243	в сущности	5	6
244	никто не	2	6
245	а не	7	6
246	в отличие	3	6
247	нет и	4	6
248	главным образом	1	6
249	в области	1	6
250	том числе	7	6
251	у тебя	1	6
252	так в	2	6
253	здесь в	6	6
254	или в	3	6
255	и как	12	6
256	к концу	3	6
257	на то	1	6
258	это было	2	6
259	в уже	1	6
260	на которые	2	6
261	человека в	22	6
262	когда он	1	6
263	надо было	1	6
264	для всех	3	5
265	из всех	1	5
266	в изображении	1	5
267	именно в	5	5
268	его на	3	5
269	что по	1	5
270	роль в	12	5
271	в это	5	5
272	со своей	3	5
273	с помощью	5	5
274	а на	1	5
275	к ним	3	5
276	сказать что	4	5
277	от них	1	5
278	тем же	3	5
279	себя в	2	5
280	никогда не	8	5
281	в ее	6	5
282	после этого	2	5
283	чем в	3	5
284	но он	4	5
285	одним из	1	5
286	также в	1	5
287	в мире	4	5
288	одном из	1	5
289	между собой	5	5
290	что их	1	5
291	в каждом	2	5
292	т д	3	5
293	не могла	2	5
294	друг другу	4	5
295	и от	3	5
296	от нее	1	5
297	представление о	1	5
298	что это	1	5
299	здесь нет	3	5
300	из того	1	5
301	за пределы	1	5
302	приводит к	1	5
303	том как	2	5
304	конечно не	7	5
305	только один	2	5
306	же самое	2	5
307	той же	2	5
308	здесь и	3	5
309	этом отношении	5	5
310	и после	1	5
311	это не	8	5
312	мы имеем	2	5
313	он и	1	5
314	в честь	2	5
315	по существу	17	5
316	к своему	2	5
317	и я	1	5
318	участие в	1	5
319	раз в	4	5
320	речи о	1	5
321	от отца	1	5
322	что из	1	5
323	жизни и	12	5
324	чаще всего	1	5
325	что на	3	5
326	мира в	6	5
327	в той	5	4
328	каждой из	1	4
329	тем как	1	4
330	нас в	3	4
331	с известной	1	4
332	не столько	2	4
333	собой разумеется	2	4
334	чтобы в	1	4
335	новое время	1	4
336	из самых	3	4
337	в построении	1	4
338	например в	7	4
339	либо в	1	4
340	правда в	2	4
341	их в	6	4
342	дома и	1	4
343	всякого рода	3	4
344	нам по	1	4
345	времени в	14	4
346	из себя	1	4
347	в риме	1	4
348	в глаза	3	4
349	самом начале	1	4
350	одна из	3	4
351	он так	2	4
352	от ее	1	4
353	ближе к	1	4
354	все его	7	4
355	к человеку	1	4
356	в состоянии	1	4
357	этой же	1	4
358	аналогии с	1	4
359	и этим	2	4
360	одно из	3	4
361	это слово	1	4
362	не о	2	4
363	прежде чем	3	4
364	как его	3	4
365	я не	1	4
366	между ними	5	4
367	же как	2	4
368	в себя	3	4
369	на площади	4	4
370	выражение в	3	4
371	и речи	6	4
372	здесь мы	4	4
373	по своей	1	4
374	ко времени	1	4
375	в отрывках	1	4
376	с которым	1	4
377	образом в	1	4
378	обвинения в	1	4
379	был бы	3	4
380	не на	4	4
381	одновременно с	2	4
382	стороны и	2	4
383	художественного мышления	1	4
384	бы не	1	4
385	сравнению с	3	4
386	нет ничего	4	4
387	что мы	2	4
388	то и	1	4
389	наконец в	2	4
390	по сравнению	3	4
391	каждый из	2	4
392	войны в	1	4
393	в трагедии	3	4
394	в положение	1	4
395	в более	2	4
396	ничем не	1	4
397	хотя в	1	4
398	и другие	6	4
399	видеть в	1	4
400	у нас	2	4
401	на помощь	1	4
402	все равно	1	4
403	в свои	1	4
404	с их	2	4
405	времени и	10	4
406	что ему	1	4
407	по его	1	4
408	такой же	1	4
409	обстоит дело	1	4
410	и их	11	4
411	пор не	1	4
412	не следует	1	4
413	в пределах	8	4
414	далеко не	3	4
415	чтобы не	1	4
416	которые в	2	4
417	бы он	2	4
418	в остальном	1	4
419	все более	2	4
420	нуждается в	1	4
421	из которой	1	4
422	за счет	2	4
423	в основе	9	4
424	меньше чем	1	4
425	во всем	3	3
426	от него	1	3
427	всего это	2	3
428	исходя из	1	3
429	к этой	1	3
430	ссылаясь на	2	3
431	по себе	3	3
432	этим объясняется	1	3
433	или на	1	3
434	похож на	3	3
435	в соответствии	2	3
436	только для	2	3
437	для их	1	3
438	не столь	2	3
439	при всей	1	3
440	было в	2	3
441	чувствует себя	5	3
442	человека не	1	3
443	представления о	1	3
444	в нескольких	1	3
445	из жизни	1	3
446	между двумя	6	3
447	только на	3	3
448	приходит к	1	3
449	людей и	2	3
450	всего этого	3	3
451	путь к	1	3
452	ни одного	1	3
453	как на	2	3
454	которого они	1	3
455	по случаю	1	3
456	такую же	1	3
457	соответствии с	2	3
458	в нашем	3	3
459	находится в	3	3
460	речь о	1	3
461	друг с	5	3
462	этом же	1	3
463	затем в	3	3
464	разумеется что	2	3
465	были известны	1	3
466	этих двух	1	3
467	время и	4	3
468	собой в	1	3
469	с другом	5	3
470	и за	1	3
471	для своего	2	3
472	для них	3	3
473	противоречие между	1	3
474	и притом	1	3
