N	2gram	Medvedev_F	SlovoVZh
1	не может	26	16
2	может быть	30	14
3	точки зрения	21	14
4	как бы	10	13
5	и его	27	13
6	таким образом	28	12
7	и в	54	12
8	отношению к	4	11
9	по отношению	4	11
10	в нашем	2	11
11	и не	34	10
12	так как	4	9
13	если бы	8	9
14	прежде всего	34	8
15	творца и	1	7
16	для нас	1	7
17	сказать что	3	7
18	художественного произведения	27	7
19	нашем примере	1	7
20	все время	7	6
21	в ней	15	6
22	слова и	5	6
23	с помощью	13	6
24	в том	17	6
25	в процессе	17	6
26	только в	6	6
27	в нем	25	6
28	при этом	14	6
29	к содержанию	1	6
30	и др	8	5
31	можно сказать	2	5
32	хотя бы	10	5
33	должна быть	11	5
34	то же	16	5
35	поэтическое произведение	2	5
36	художественной формы	2	5
37	к предмету	4	5
38	а не	11	5
39	в виду	2	5
40	то что	14	5
41	мы ни	4	5
42	в жизни	3	5
43	как и	18	5
44	как в	12	5
45	отнюдь не	13	5
46	том что	3	5
47	но в	9	5
48	никогда не	6	5
49	в самом	17	4
50	и к	7	4
51	в литературе	6	4
52	и на	10	4
53	жизненное высказывание	2	4
54	предмету высказывания	1	4
55	к материалу	1	4
56	материала и	7	4
57	не только	14	4
58	ни было	2	4
59	социального общения	8	4
60	и является	3	4
61	на самом	8	4
62	как если	2	4
63	за пределы	2	4
64	от того	2	4
65	его в	5	4
66	литературы и	6	4
67	с другой	8	4
68	не в	16	4
69	дело в	1	4
70	отношение к	4	4
71	что не	4	4
72	так и	24	4
73	уже не	9	4
74	жизни и	10	4
75	в этом	39	4
76	все же	8	4
77	зависимости от	5	4
78	к нему	3	4
79	поэтического произведения	10	3
80	бы то	4	3
81	как к	5	3
82	и с	17	3
83	ее и	3	3
84	до сих	7	3
85	социологической поэтики	15	3
86	и созерцателя	1	3
87	и более	4	3
88	в содержание	2	3
89	в котором	2	3
90	справедливо и	1	3
91	жизненной речи	1	3
92	и по	3	3
93	в поэзии	5	3
94	и пр	30	3
95	так называемой	1	3
96	мы не	6	3
97	то ни	5	3
98	или не	1	3
99	между тем	4	3
100	для него	9	3
101	отношении к	2	3
102	с ним	3	3
103	не должна	7	3
104	того что	7	3
105	быть и	5	3
106	и уже	1	3
107	когда он	3	3
108	тем не	2	3
109	в некоторых	2	3
110	все это	11	3
111	он должен	4	3
112	отражает в	1	3
113	ни в	3	3
114	в пределах	13	3
115	конечно не	5	3
116	по себе	10	3
117	так же	5	3
118	в них	4	3
119	в каком	1	3
120	социального взаимодействия	1	3
121	этой точки	1	3
122	самом деле	12	3
123	только на	8	3
124	но для	4	3
125	в себе	4	3
126	двух направлениях	1	3
127	слово в	2	3
128	произведения и	9	3
129	ясно что	3	3
130	художественном произведении	4	3
131	все эти	12	3
132	теоретической поэтики	4	3
133	о том	1	3
134	социальной группы	4	3
135	в своей	16	3
136	воздействует на	1	3
137	здесь не	5	3
138	не менее	12	3
139	из этого	2	3
140	в художественном	5	3
141	художественного творчества	1	3
142	в такой	3	3
143	да и	1	3
144	но и	18	3
145	бы мы	1	3
146	ведь и	1	3
147	и для	5	3
148	точек зрения	1	3
149	точка зрения	3	3
150	художественное произведение	8	3
151	и ее	15	3
152	и наконец	7	3
153	сих пор	7	3
154	формы и	7	3
155	не к	2	3
156	внутренней речи	1	3
157	еще не	6	3
158	в особенности	7	2
159	что в	10	2
160	этих двух	2	2
161	все они	1	2
162	истории литературы	18	2
163	перестает быть	3	2
164	но это	4	2
165	не так	4	2
166	и потому	9	2
167	и другие	3	2
168	смысл и	2	2
169	ни на	5	2
170	и то	1	2
171	выражение в	1	2
172	социальной жизни	12	2
173	опираясь на	1	2
174	влияние на	3	2
175	героя или	1	2
176	и самое	1	2
177	в данном	2	2
178	в душе	2	2
179	в то	14	2
180	по природе	1	2
181	которые мы	1	2
182	и поэтическое	2	2
183	разрыв между	1	2
184	на один	3	2
185	данном случае	2	2
186	со всех	1	2
187	в основном	3	2
188	зависит от	2	2
189	с одной	5	2
190	уже в	1	2
191	социологический метод	5	2
192	эта своеобразная	1	2
193	там где	3	2
194	в его	30	2
195	с этой	4	2
196	она не	8	2
197	это не	4	2
198	идеологического творчества	9	2
199	одной стороны	5	2
200	метод в	8	2
201	с точки	17	2
202	мы имеем	1	2
203	была бы	4	2
204	искусства и	5	2
205	несколько подробнее	2	2
206	с чисто	1	2
207	нашего сознания	1	2
208	на него	3	2
209	тем как	1	2
210	кроме того	3	2
211	от всех	5	2
212	в формах	4	2
213	но тем	1	2
214	как это	8	2
215	те же	1	2
216	но все	4	2
217	от этой	1	2
218	мы в	2	2
219	если же	4	2
220	и та	1	2
221	общения и	3	2
222	из него	2	2
223	и что	2	2
224	общения не	1	2
225	социологическому методу	1	2
226	что и	10	2
227	в отношении	3	2
228	в форме	2	2
229	свое своеобразие	1	2
230	и значение	1	2
231	другой стороны	5	2
232	но отнюдь	1	2
233	этой стороны	1	2
234	и вполне	1	2
235	их живого	1	2
236	но что	2	2
237	и те	2	2
238	как не	1	2
239	в этих	3	2
240	социальной среды	2	2
241	можно найти	1	2
242	данного коллектива	2	2
243	форма должна	1	2
244	ней как	2	2
245	связь с	1	2
246	оно не	6	2
247	а к	2	2
248	как же	1	2
249	и притом	2	2
250	ко всем	2	2
251	соприкасается с	1	2
252	имеем в	1	2
253	для других	2	2
254	и здесь	8	2
255	но конечно	2	2
256	как на	5	2
257	слова но	1	2
258	и все	9	2
259	кругозора и	3	2
260	но не	5	2
261	общего с	2	2
262	быть только	1	2
263	речи в	1	2
264	его как	5	2
265	не есть	4	2
266	могут быть	7	2
267	и оценки	1	2
268	значения и	4	2
269	с другими	11	2
270	до конца	9	2
271	стороны и	4	2
272	в своем	12	2
273	за его	1	2
274	в корне	6	2
275	в какой	3	2
276	имеет место	1	2
277	вместе с	8	2
278	между ними	3	2
279	место в	8	2
280	в зависимости	4	2
281	к его	3	2
282	может стать	1	2
283	настоящее время	11	2
284	такой же	2	2
285	бы оно	2	2
286	в психике	1	2
287	оценки и	1	2
288	до известной	3	2
289	литературы с	4	2
290	с его	12	2
291	на все	3	2
292	его к	1	2
293	является для	2	2
294	известной степени	4	2
295	к этому	3	2
296	бы не	1	2
297	между собой	1	2
298	слушателя и	1	2
299	каждый момент	1	2
300	он не	8	2
301	в условиях	1	2
302	независимо от	5	2
303	не отражает	1	2
304	что слово	1	2
305	этого положения	1	2
306	на материале	2	2
307	в чем	2	2
308	в настоящее	11	2
309	и совершенно	2	2
310	высказывание может	2	2
311	как только	1	2
312	едва ли	3	2
313	содержанию и	2	2
314	ничего не	5	2
315	более того	6	2
316	собственно в	1	1
317	взаимоотношения между	1	1
318	каковы будут	1	1
319	основные направления	1	1
320	все в	3	1
321	произведения что	1	1
322	в искусствоведении	3	1
323	в русской	1	1
324	художественного восприятия	3	1
325	к одному	2	1
326	жизненных высказываний	3	1
327	остается в	1	1
328	образом лишь	1	1
329	жизнь и	3	1
330	себе в	2	1
331	мы попытаемся	1	1
332	она проникает	1	1
333	было на	1	1
334	именно эту	1	1
335	то в	3	1
336	грамматических форм	2	1
337	же деле	1	1
338	события и	1	1
339	во всяком	6	1
340	нам не	1	1
341	от него	2	1
342	это и	7	1
343	и тех	1	1
344	поэтикой и	1	1
345	литературы в	8	1
346	химической структуре	1	1
347	включая сюда	2	1
348	что они	4	1
349	его и	2	1
350	является в	2	1
351	каждый элемент	4	1
352	и теоретическая	1	1
353	входя в	1	1
354	то он	1	1
355	видения и	1	1
356	в искусстве	6	1
357	во всех	9	1
358	не зная	1	1
359	оценка в	1	1
360	восприятия и	4	1
361	только из	1	1
362	процессе социального	1	1
363	не является	3	1
364	ведь взаимоотношения	1	1
365	слово есть	2	1
366	следует отметить	2	1
367	и политического	1	1
368	а с	1	1
369	произведении как	3	1
370	если оно	1	1
371	мы обычно	1	1
372	что оно	4	1
373	явно не	1	1
374	на слушателя	1	1
375	этой задачи	1	1
376	социальной действительности	9	1
377	поэтики была	1	1
378	методу в	1	1
379	та же	3	1
380	вне которых	1	1
381	по преимуществу	6	1
382	общения в	3	1
383	широко включая	1	1
384	художественное значение	1	1
385	было в	3	1
386	форму социального	1	1
387	с самого	2	1
388	идеологические образования	1	1
389	дано в	1	1
390	образом мы	1	1
391	произведения с	1	1
392	выходит за	1	1
393	разобранные нами	1	1
394	языкового творчества	1	1
395	опирается на	1	1
396	задача социологической	1	1
397	все элементы	1	1
398	на эти	1	1
399	отражение в	2	1
400	на этом	2	1
401	внехудожественной действительности	1	1
402	является и	1	1
403	продукты идеологического	1	1
404	лишь косвенно	1	1
405	сложную систему	1	1
406	является таким	1	1
407	она должна	3	1
408	не ради	2	1
409	дана в	2	1
410	но из	2	1
411	это художественное	1	1
412	лексических и	1	1
413	языка в	8	1
414	стиля в	1	1
415	материала в	4	1
416	методу и	1	1
417	то едва	1	1
418	в лучшем	3	1
419	это последнее	3	1
420	должно быть	13	1
421	мы уже	1	1
422	этих моментов	1	1
423	к одной	1	1
424	нас не	3	1
425	значение и	4	1
426	указанных нами	1	1
427	вне поля	2	1
428	питающей его	1	1
429	мы увидим	5	1
430	слово было	1	1
431	его содержания	1	1
432	от социологии	1	1
433	его пределы	1	1
434	экономический базис	1	1
435	даже и	5	1
436	самим автором	1	1
437	действительно является	1	1
438	и вот	2	1
439	все остальные	2	1
440	от нее	6	1
441	вполне понятно	2	1
442	в произведении	2	1
443	но при	1	1
444	является только	1	1
445	она могла	1	1
446	и стиль	1	1
447	в структуру	2	1
448	художественным произведением	1	1
449	таком понимании	2	1
450	особого рода	1	1
451	идеологического общения	4	1
452	дать только	1	1
453	в свою	8	1
454	в значительной	3	1
455	нашей работы	3	1
456	входит в	8	1
457	искусствоведения наиболее	1	1
458	только и	7	1
