N	2gram	Berdyaev_V	KFilosof
1	может быть	1	45
2	в его	4	42
3	в нем	4	32
4	и не	20	28
5	и в	16	28
6	в бытии	1	26
7	в котором	4	24
8	не есть	6	22
9	только в	2	18
10	в своем	1	17
11	в ее	1	17
12	а не	7	17
13	в этом	4	15
14	для него	2	13
15	не в	3	13
16	к нему	1	12
17	ни в	3	12
18	но не	2	12
19	и это	2	12
20	в своей	3	11
21	все эти	3	11
22	во всех	3	11
23	все это	5	10
24	это не	2	10
25	в едином	1	10
26	и есть	4	10
27	бытия и	1	10
28	и для	3	10
29	в целом	1	10
30	в их	1	9
31	и все	4	9
32	но и	5	9
33	как бы	5	9
34	не было	3	8
35	в мире	5	8
36	лишь в	3	8
37	в себя	2	8
38	жизни и	3	8
39	во всем	1	7
40	своего единственного	1	7
41	что и	3	7
42	вовсе не	1	7
43	уже не	2	7
44	то что	9	7
45	конечно не	2	7
46	единственного бытия	1	7
47	для себя	1	7
48	ее и	2	6
49	должно быть	3	6
50	но все	1	6
51	менее всего	1	6
52	я не	1	6
53	не имеет	3	6
54	и я	4	6
55	в том	3	6
56	отношение к	1	6
57	жизнь как	1	6
58	но это	3	6
59	мира в	2	6
60	то же	1	5
61	не только	2	5
62	с ним	2	5
63	но как	1	5
64	но в	3	5
65	как и	4	5
66	все же	1	5
67	жизни в	1	5
68	себя и	1	5
69	еще не	8	5
70	что я	3	5
71	хотя бы	3	5
72	в одном	1	5
73	от своей	2	5
74	а в	2	5
75	бытия в	1	5
76	никогда не	3	5
77	что в	3	4
78	бытие не	1	4
79	должна быть	3	4
80	что это	1	4
81	для нас	2	4
82	прежде всего	2	4
83	в своих	1	4
84	места в	1	4
85	с ними	1	4
86	мира и	1	4
87	том что	2	4
88	в чем	3	4
89	не по	1	4
90	между тем	2	4
91	ценности и	2	4
92	к ним	1	4
93	жизни но	1	3
94	от него	2	3
95	и на	1	3
96	этого мира	3	3
97	мы не	2	3
98	того что	5	3
99	в виду	1	3
100	тем что	2	3
101	людей и	2	3
102	меня в	1	3
103	стороны в	1	3
104	лишь как	1	3
105	поскольку он	1	3
106	себе и	1	3
107	себя не	1	3
108	бы и	3	3
109	что не	4	3
110	когда я	2	3
111	во мне	4	3
112	для того	1	3
113	и должна	1	3
114	в ней	4	3
115	других людей	1	3
116	к чему	3	3
117	человека и	6	3
118	нет и	2	3
119	не быть	1	3
120	могут быть	2	3
121	тот же	3	3
122	и тем	1	3
123	ничего не	1	3
124	бы то	1	2
125	один из	2	2
126	и мы	3	2
127	можно ли	1	2
128	его с	1	2
129	конечно в	1	2
130	тому что	3	2
131	в теоретическом	1	2
132	и единый	1	2
133	так и	4	2
134	этот мир	1	2
135	и то	2	2
136	своей истории	2	2
137	и за	2	2
138	в виде	1	2
139	оно не	3	2
140	если не	3	2
141	отказаться от	1	2
142	ее от	1	2
143	и навсегда	1	2
144	сознания не	1	2
145	в сознании	1	2
146	в мир	1	2
147	и эта	1	2
148	в процессе	1	2
149	в жизни	3	2
150	смысле и	1	2
151	с тем	2	2
152	человек и	1	2
153	его на	1	2
154	весь мир	1	2
155	что он	4	2
156	истины и	1	2
157	но я	1	2
158	и именно	1	2
159	как в	1	2
160	во главе	2	2
161	от этого	3	2
162	и смерти	1	2
163	и мир	1	2
164	этого слова	1	2
165	к этому	1	2
166	и потому	7	2
167	его и	2	2
168	а с	2	2
169	вопрос о	1	2
170	ты хочешь	1	2
171	раз и	1	2
172	она не	1	2
173	потому что	4	2
174	того чтобы	2	2
175	то ни	1	2
176	этом мире	1	2
177	не будет	2	2
178	говорить о	4	2
179	самого факта	1	2
180	их для	1	2
181	только это	1	2
182	и всех	1	2
183	себя за	1	2
184	это только	1	2
185	в этой	1	2
186	что есть	5	2
187	но нет	1	2
188	с его	3	2
189	его к	2	2
190	и ее	1	2
191	все в	1	1
192	всего в	2	1
193	в самом	1	1
194	мире и	1	1
195	стать в	1	1
196	все что	4	1
197	как это	1	1
198	мы видим	1	1
199	религии и	1	1
200	не нужна	3	1
201	ничем не	1	1
202	так как	9	1
203	в последнем	2	1
204	и очень	1	1
205	же и	1	1
206	христа в	3	1
207	и этими	1	1
208	мы забыли	1	1
209	и своего	1	1
210	и было	1	1
211	то есть	1	1
212	и свою	1	1
213	здесь есть	1	1
214	самого себя	2	1
215	на том	2	1
216	живет в	1	1
217	небо это	1	1
218	нас как	1	1
219	вот наша	1	1
220	вечной истины	1	1
221	что уже	1	1
222	это лишь	1	1
223	и менее	1	1
224	людей но	1	1
225	освободиться от	1	1
226	это значит	1	1
227	хотя и	5	1
228	тобой и	1	1
229	ты и	1	1
230	любит и	1	1
231	ее в	2	1
232	и тут	1	1
233	в человеке	1	1
234	факт моего	1	1
235	а есть	2	1
236	и современная	1	1
237	это слово	1	1
238	в результате	1	1
239	они будут	4	1
240	да это	1	1
241	нет никакого	1	1
242	это очень	1	1
243	в третьем	1	1
244	основана на	1	1
245	все равно	2	1
246	есть еще	1	1
247	не была	1	1
248	связь с	1	1
249	их не	1	1
250	него в	1	1
251	в духе	2	1
252	вместо того	2	1
253	в разные	1	1
254	в которой	1	1
255	оно ни	1	1
256	и с	1	1
257	всегда в	1	1
258	и можно	1	1
259	освобождения от	2	1
260	жизнь в	1	1
261	никогда и	1	1
262	и начало	1	1
263	и будет	3	1
264	превращается в	3	1
265	этого бытия	1	1
266	это дело	2	1
267	как не	3	1
268	им и	1	1
269	их в	3	1
270	да мы	1	1
271	и так	1	1
272	вместе с	1	1
273	на этом	1	1
274	в этих	3	1
275	они не	1	1
276	мире лишь	1	1
277	к бытию	3	1
278	только себя	1	1
279	который я	1	1
280	смысл мира	2	1
281	зависимости от	1	1
282	мир и	2	1
283	в известном	1	1
284	к человеку	1	1
285	всего можно	1	1
286	она и	1	1
287	нем нет	2	1
288	человечества мы	1	1
289	но к	1	1
290	к тому	3	1
291	себя от	1	1
292	бы ни	1	1
293	не был	1	1
294	нет ничего	3	1
295	перестает быть	1	1
296	во всяком	2	1
297	истина и	1	1
298	но может	1	1
299	не существует	1	1
300	но с	1	1
301	если оно	1	1
