N	3gram	Bakhtin_Pr	Freidism
1	с точки зрения	21	15
2	не может быть	8	14
3	по отношению к	12	11
4	в самом деле	6	10
5	в том что	6	9
6	как мы видели	1	8
7	во всяком случае	4	8
8	в то же	13	6
9	в высшей степени	1	6
10	то же время	13	6
11	может быть и	2	6
12	в большинстве случаев	10	5
13	с самого начала	1	5
14	можно сказать что	2	5
15	как мы уже	2	5
16	в свою очередь	1	4
17	это вовсе не	2	4
18	и до конца	2	4
19	мы увидим что	1	4
20	тем не менее	2	4
21	сам по себе	2	4
22	на самом деле	4	4
23	в зависимости от	5	4
24	в данном случае	2	4
25	по ту сторону	2	4
26	в таком случае	1	4
27	не могут быть	1	4
28	в этом отношении	3	4
29	все то что	3	3
30	только то что	2	3
31	ничего общего не	1	3
32	но вовсе не	1	3
33	для того чтобы	1	3
34	в своей последней	1	3
35	точку зрения на	3	3
36	выйти за пределы	1	3
37	о том что	2	3
38	в собственном смысле	1	3
39	до сих пор	9	3
40	что же касается	1	3
41	не в его	1	3
42	бы то ни	3	3
43	на этот вопрос	2	3
44	так и в	2	3
45	что все эти	1	3
46	но в то	7	3
47	а потому и	1	3
48	а вовсе не	2	3
49	теперь мы должны	1	3
50	если бы он	1	3
51	и не может	6	3
52	и есть та	1	2
53	так именно и	1	2
54	точка зрения на	2	2
55	он не только	2	2
56	может быть это	1	2
57	в этом смысле	12	2
58	заключается в том	1	2
59	хотя бы и	3	2
60	в конце концов	7	2
61	а следовательно и	2	2
62	не отличается от	1	2
63	при этом совершенно	1	2
64	в узком смысле	2	2
65	что он сам	1	2
66	его жизни и	1	2
67	зависимости от того	1	2
68	что и в	1	2
69	в отличие от	4	2
70	мы полагаем что	1	2
71	и по отношению	1	2
72	том что он	5	2
73	для него только	1	2
74	таким образом в	1	2
75	то ни было	2	2
76	сказать о себе	1	2
77	выходит за пределы	1	2
78	к тому что	1	2
79	это и есть	1	2
80	не укладывается в	1	2
81	точки зрения сознания	1	2
82	в другом месте	1	2
83	как объективный факт	1	2
84	с одной стороны	1	2
85	которая позволила бы	1	2
86	нам важно лишь	1	2
87	в его целом	6	2
88	это прежде всего	1	2
89	нашей книги мы	1	2
90	как раз и	5	2
91	то же самое	1	2
92	и т д	4	1
93	жизни а скорее	1	1
94	на этой почве	1	1
95	быть не может	1	1
96	того что он	1	1
97	он никогда не	1	1
98	что он не	1	1
99	в этом случае	1	1
100	с ними все	1	1
101	но благодаря этому	1	1
102	и со всеми	1	1
103	сих пор не	1	1
104	собственном смысле слова	1	1
105	не может служить	1	1
106	но и не	2	1
107	его себе как	1	1
108	к нему и	2	1
109	ведь и не	1	1
110	а может быть	1	1
