N	2gram	Tiupa_Anal	Sotsiolo
1	все это	5	7
2	в том	16	5
3	в этом	19	5
4	не только	40	3
5	не в	9	3
6	и в	36	3
7	и только	1	3
8	но ведь	1	3
9	более чем	2	3
10	в его	12	3
11	для нас	1	3
12	ввести в	1	2
13	что в	15	2
14	ведь это	1	2
15	то что	5	2
16	таким образом	4	2
17	том что	19	2
18	или даже	1	2
19	дело не	3	2
20	как бы	14	2
21	в результате	6	2
22	было бы	6	2
23	как будто	1	2
24	в литературоведении	1	2
25	очевидно что	2	2
26	в частности	19	2
27	по природе	3	2
28	но и	26	2
29	конце концов	1	2
30	может быть	19	2
31	по существу	1	2
32	и что	2	2
33	это и	4	2
34	за пределы	3	2
35	по отношению	9	2
36	и заключается	1	2
37	в конце	6	2
38	отношению к	9	2
39	далеко не	8	2
40	тем более	3	2
41	только в	9	2
42	к которому	2	2
43	только как	1	2
44	то же	7	2
45	еще не	7	2
46	как то	1	1
47	а в	17	1
48	что он	5	1
49	образом в	1	1
50	в конечном	5	1
51	вне пределов	1	1
52	столь же	7	1
53	даже в	6	1
54	в таких	2	1
55	в целом	8	1
56	будто в	1	1
57	в силу	2	1
58	вряд ли	1	1
59	на этот	1	1
60	все эти	2	1
61	не было	3	1
62	когда мы	2	1
63	остается в	1	1
64	а вот	3	1
65	связи с	1	1
66	только то	1	1
67	к субъекту	1	1
68	в своей	12	1
69	во всяком	6	1
70	в мире	17	1
71	и потому	3	1
72	из круга	1	1
73	все же	6	1
74	что это	1	1
75	еще и	4	1
76	от друга	1	1
77	своего ремесла	1	1
78	по крайней	5	1
79	с другой	10	1
80	мы понимаем	1	1
81	мы должны	1	1
82	а тем	2	1
83	могло и	1	1
84	с ним	2	1
85	противном случае	2	1
86	право на	1	1
87	ремесла но	1	1
88	между тем	8	1
89	и более	1	1
90	но как	4	1
91	в этой	10	1
92	время в	2	1
93	и его	18	1
94	это по	3	1
95	ли не	5	1
96	именно такого	3	1
97	никак не	1	1
98	в данном	12	1
99	далеки от	1	1
100	и по	3	1
101	с помощью	1	1
102	один из	6	1
103	так и	19	1
104	в противном	2	1
105	в то	8	1
106	те же	3	1
107	между собой	1	1
108	должно было	1	1
109	отнюдь не	7	1
110	и не	14	1
111	объекта и	3	1
112	но она	1	1
113	всяком случае	6	1
114	иначе говоря	5	1
115	от окружающих	1	1
116	или нет	1	1
117	и о	1	1
118	и должны	1	1
119	к изучению	1	1
120	вступает в	5	1
121	но не	13	1
122	может служить	2	1
123	они не	2	1
124	не способен	1	1
125	для этого	1	1
126	себе чтобы	1	1
127	прежде всего	7	1
128	тем что	3	1
129	что она	3	1
130	тем же	1	1
131	но сам	2	1
132	в каждом	4	1
133	связь между	1	1
134	друг от	1	1
135	в чем	2	1
136	что автор	2	1
137	а с	2	1
138	ними в	2	1
139	а между	1	1
140	но только	1	1
141	в сущности	5	1
142	в область	1	1
143	конечном счете	5	1
144	его в	4	1
145	не от	2	1
146	зависит от	1	1
147	представляется нам	2	1
148	крайней мере	5	1
149	ни были	1	1
150	границы и	1	1
151	я и	6	1
152	этого и	1	1
153	вовсе не	2	1
154	с одной	3	1
155	и наконец	1	1
156	о том	9	1
157	мы не	4	1
158	и понимает	1	1
159	и затем	1	1
160	в этих	2	1
161	как живой	1	1
162	сама по	3	1
163	у него	2	1
164	по себе	6	1
165	перед нами	7	1
166	бы он	1	1
167	литературе и	1	1
168	хотя бы	1	1
169	же время	7	1
170	наконец в	3	1
171	что на	3	1
172	это не	4	1
173	одной стороны	3	1
174	в связи	1	1
175	бы в	1	1
176	и должно	1	1
177	именно в	4	1
178	никогда не	7	1
179	и есть	1	1
180	не может	3	1
181	между ними	3	1
182	и как	5	1
183	жанр как	1	1
184	что все	1	1
185	место в	4	1
186	как и	27	1
187	ничего не	3	1
188	в них	4	1
