N	2gram	Medvedev_V	RusskieA
1	и в	2	79
2	в том	2	64
3	том что	2	59
4	так как	1	34
5	в этом	1	33
6	все это	1	18
7	потому что	1	17
8	и не	1	14
9	к этому	1	13
10	в которых	1	13
11	но это	1	11
12	далеко не	1	11
13	по существу	1	10
14	то же	1	9
15	том же	1	9
16	главным образом	1	7
17	только в	1	7
18	не будем	1	6
19	в их	1	6
20	так в	1	6
21	по поводу	1	5
22	для них	1	5
23	именно в	1	4
24	сводится к	1	3
25	и то	1	3
26	и его	1	3
27	образом из	1	2
28	в конце	2	2
29	под влиянием	1	2
30	есть ряд	1	2
31	все то	1	2
32	самом деле	1	2
33	же месте	1	2
34	говорится в	1	2
35	дело в	1	2
36	тем более	1	2
37	в частности	1	2
38	этом и	1	2
39	в самом	1	1
40	зависят от	1	1
41	по своим	1	1
42	здесь достаточно	1	1
43	хотя бы	1	1
44	в другом	1	1
45	значительной степени	1	1
46	а только	1	1
47	все время	1	1
48	и мало	1	1
49	гораздо более	1	1
50	две большие	1	1
51	один пример	1	1
52	же две	1	1
53	даже не	1	1
54	связанным с	1	1
55	веселовского в	1	1
56	же все	1	1
57	чем больше	1	1
58	одном и	1	1
59	от общего	1	1
60	они на	1	1
61	на заре	1	1
62	они тогда	1	1
63	теснейшим образом	1	1
64	в значительной	1	1
65	от других	1	1
66	деле как	1	1
67	и том	1	1
68	имеется в	1	1
69	другом месте	1	1
70	же с	1	1
71	веселовский с	1	1
72	говоря о	1	1
73	их как	1	1
74	пишет чем	1	1
