N	3gram	Tiupa_Vved	Problema
1	тем не менее	3	56
2	о том что	6	39
3	в том что	10	37
4	то же самое	2	30
5	в настоящее время	1	30
6	в связи с	1	29
7	в данном случае	15	28
8	той или иной	4	26
9	по крайней мере	1	26
10	во всяком случае	3	25
11	с другой стороны	2	25
12	в таком случае	1	23
13	содержит в себе	1	23
14	на то что	2	19
15	в этом смысле	1	19
16	как раз и	1	18
17	для того чтобы	1	17
18	то есть в	1	17
19	в то же	5	17
20	то что мы	1	15
21	как будто бы	3	14
22	не что иное	1	14
23	что иное как	1	14
24	в этом случае	1	14
25	сами по себе	1	13
26	того или иного	1	13
27	на самом деле	4	13
28	можно было бы	2	13
29	не может быть	6	12
30	той или другой	1	12
31	и в этом	1	12
32	можно сказать что	1	12
33	дело в том	1	11
34	с одной стороны	9	11
35	в той или	1	10
36	и тем самым	2	10
37	более или менее	2	10
38	а не просто	1	10
39	не только в	3	10
40	что же касается	2	9
41	может быть только	1	8
42	о том как	1	7
43	к тому же	6	7
44	но и в	3	7
45	и если мы	1	7
46	не о чем	1	7
47	то или иное	1	7
48	уж во всяком	1	7
49	с самого начала	1	7
50	иметь в виду	1	7
51	в том или	1	7
52	хотя и не	2	7
53	это и есть	1	7
54	только потому что	1	7
55	в самом деле	2	6
56	и тем более	1	6
57	и то же	1	6
58	это то что	1	6
59	но отнюдь не	1	6
60	в том смысле	1	6
61	здесь не в	1	6
62	на первый взгляд	3	6
63	в этом отношении	7	6
64	само по себе	1	6
65	вовсе еще не	1	5
66	свидетельствует о том	1	5
67	на этот раз	2	5
68	пока еще не	4	5
69	а также и	2	5
70	так же как	1	5
71	том смысле что	1	5
72	в том числе	1	5
73	сказать и о	1	5
74	в зависимости от	1	5
75	с той или	1	5
76	и прежде всего	1	5
77	том или ином	1	5
78	одно и то	1	5
79	же как и	1	5
80	друг от друга	2	4
81	том числе и	1	4
82	мы имеем дело	5	4
83	в том чтобы	2	4
84	все же не	1	4
85	не было бы	1	4
86	в себе не	1	4
87	в другом случае	1	4
88	несет на себе	1	4
89	в смысловом отношении	2	4
90	на первом плане	1	4
91	а с другой	3	4
92	в этих случаях	2	4
93	именно то что	1	4
94	как мы видели	3	4
95	подобно тому как	3	4
96	одной стороны и	3	3
97	то что он	1	3
98	бы мы ни	1	3
99	бы не было	1	3
100	потому что она	1	3
101	но если бы	1	3
102	в отличие от	11	3
103	и того же	1	3
104	к тому что	1	3
105	имея в виду	1	3
106	но это не	1	3
107	который в своем	1	3
108	как и вообще	1	3
109	то что и	1	3
110	ни о каких	1	3
111	том что же	1	3
112	если бы не	1	3
113	как и в	2	3
114	здесь мы имеем	1	3
115	в результате чего	1	3
116	том что и	1	3
117	как мы увидим	1	3
118	если бы он	1	3
119	тем более не	2	3
120	отнюдь не является	1	3
121	по сравнению с	1	3
122	мы увидим ниже	1	3
123	одного и того	1	3
124	если бы мы	1	3
125	и в то	1	3
126	в известном смысле	1	3
127	жизни а в	1	3
128	это свидетельствует о	1	3
129	то есть с	1	3
130	но в то	1	3
131	в сущности говоря	1	3
132	со всеми своими	1	2
133	по отношению к	11	2
134	войне и мире	2	2
135	здесь прежде всего	1	2
136	ничего не говорит	1	2
137	а в том	3	2
138	в частности в	2	2
139	как бы мы	1	2
140	но только в	1	2
141	однако тут же	1	2
142	мысль о том	1	2
143	и особенно в	1	2
144	это не так	1	2
145	что вся эта	1	2
