N	2gram	Medvedev_V	slovoVRo
1	и в	2	92
2	и его	1	59
3	и не	1	51
4	в этом	1	36
5	все это	1	25
6	то же	1	23
7	только в	1	14
8	в том	2	10
9	далеко не	1	10
10	так как	1	9
11	в их	1	9
12	в самом	1	8
13	в значительной	1	8
14	все время	1	8
15	том что	2	7
16	значительной степени	1	7
17	именно в	1	6
18	по своим	1	6
19	хотя бы	1	6
20	прозы в	1	5
21	по существу	1	4
22	в другом	1	4
23	от других	1	4
24	но это	1	4
25	том же	1	4
26	так в	1	4
27	в частности	1	4
28	одно и	1	4
29	речи и	1	4
30	и то	1	3
31	дело в	1	3
32	и почти	1	3
33	потому что	1	3
34	в устах	1	3
35	языка если	1	3
36	к этому	1	3
37	для них	1	2
38	все то	1	2
39	без учета	1	2
40	да и	1	2
41	ни к	1	2
42	время в	1	2
43	что язык	1	2
44	его языка	1	2
45	главным образом	1	2
46	столь же	1	2
47	и только	1	2
48	в конце	2	1
49	говорили в	1	1
50	от общего	1	1
51	сводится к	1	1
52	на заре	1	1
53	что слово	1	1
54	вещь и	1	1
55	все дело	1	1
56	в которых	1	1
57	по крайней	1	1
58	на одном	1	1
59	и своеобразно	1	1
60	чего не	1	1
61	а только	1	1
62	оно с	1	1
63	не одно	1	1
64	крайней мере	1	1
65	гораздо более	1	1
66	стоит на	1	1
67	вопросы стилистики	1	1
68	впрочем не	1	1
69	же две	1	1
70	под влиянием	1	1
71	тем более	1	1
72	даже не	1	1
73	с большой	1	1
74	стилистики в	1	1
75	этом и	1	1
76	поэтического творчества	1	1
