N	2gram	Potebnia_M	DiskursI
1	а не	22	60
2	может быть	46	56
3	не только	32	49
4	и в	48	49
5	как и	22	47
6	тогда как	8	47
7	при этом	6	46
8	и не	28	44
9	в том	47	44
10	то есть	53	41
11	том что	28	40
12	в этом	19	38
13	в себе	26	37
14	состоит в	1	37
15	но и	30	35
16	и т.п	1	32
17	своего рода	1	32
18	но не	8	31
19	отличие от	2	28
20	со стороны	4	28
21	но в	8	28
22	так и	17	28
23	не может	18	27
24	как в	17	25
25	еще не	9	23
26	а также	1	20
27	в своей	2	19
28	все же	3	19
29	в нем	16	19
30	прежде всего	6	19
31	далеко не	5	18
32	то же	35	17
33	в данном	3	17
34	с другой	8	17
35	в мире	3	17
36	по отношению	12	17
37	отношению к	10	17
38	точки зрения	4	16
39	только в	29	16
40	о том	7	15
41	то что	37	15
42	в его	6	15
43	не менее	9	14
44	можно сказать	4	14
45	одной стороны	4	14
46	с одной	8	14
47	не в	24	14
48	не является	1	14
49	это не	2	14
50	как бы	10	13
51	для него	14	13
52	в целом	5	13
53	в своих	2	12
54	ведет к	1	12
55	при всей	2	12
56	в своем	6	12
57	того же	5	12
58	и на	5	12
59	и все	5	12
60	данном случае	3	12
61	не было	12	11
62	столь же	8	11
63	что в	30	11
64	с его	1	11
65	и как	8	11
66	не столько	2	10
67	а с	4	10
68	для себя	3	10
69	а в	14	10
70	же время	8	10
71	и т.д	1	10
72	в них	9	9
73	уже не	11	9
74	себя в	1	9
75	внимание на	2	9
76	между тем	19	9
77	в силу	7	9
78	в то	16	9
79	сводится к	1	9
80	тем самым	11	9
81	в этих	2	8
82	и даже	3	8
83	к тому	9	8
84	в котором	7	8
85	в одном	4	8
86	из них	11	8
87	хотя и	3	8
88	в себя	1	8
89	он не	4	8
90	если в	2	8
91	не на	1	8
92	не следует	6	8
93	жизни в	1	8
94	потому что	82	8
95	этом отношении	2	8
96	человека в	2	8
97	не с	4	8
98	и о	6	8
99	другой стороны	4	7
100	таким образом	24	7
101	одной из	3	7
102	что и	16	7
103	тому же	1	7
