N	2gram	Bakhtin_fo	slovoVRo
1	и в	84	92
2	в романе	40	89
3	и т	21	82
4	т п	18	72
5	то есть	42	64
6	может быть	18	59
7	и его	26	59
8	в нем	28	59
9	и не	19	51
10	не только	16	44
11	не может	8	41
12	но и	14	39
13	до конца	5	37
14	в этом	41	36
15	а не	7	34
16	во всех	13	32
17	точки зрения	14	30
18	так и	17	30
19	могут быть	7	29
20	и др	13	29
21	в пределах	8	29
22	в его	19	27
23	в роман	6	27
24	романного жанра	2	26
25	все это	10	25
26	как бы	11	24
27	слова и	4	24
28	слово в	1	24
29	то же	18	23
30	и на	13	22
31	в сущности	5	21
32	как в	10	21
33	не в	10	21
34	вовсе не	20	21
35	в процессе	4	20
36	в то	13	20
37	прежде всего	28	19
38	как мы	19	19
39	с ним	5	18
40	как и	15	18
41	же время	13	18
42	себя в	2	18
43	или иной	4	18
44	таким образом	14	17
45	оно не	3	17
46	и даже	5	17
47	все же	12	17
48	в основе	9	17
49	в истории	6	17
50	все эти	12	17
51	в большинстве	3	17
52	при этом	8	16
53	в них	11	16
54	к своему	2	16
55	отличие от	3	16
56	но в	16	16
57	в той	5	15
58	и с	10	15
59	человек и	2	15
60	с точки	9	15
61	той или	3	15
62	там где	4	15
63	романа и	4	14
64	только в	12	14
65	в отличие	3	14
66	узком смысле	1	14
67	рыцарского романа	2	14
68	так сказать	14	14
69	в особенности	15	13
70	на фоне	3	13
71	европейского романа	4	13
72	иной степени	1	13
73	это не	8	13
74	с другой	4	13
75	с его	10	13
76	точка зрения	4	13
77	рядом с	4	13
78	и следовательно	5	13
79	и для	12	13
80	и к	4	12
81	в отношении	5	12
82	еще не	8	12
83	во всяком	5	12
84	никогда не	8	12
85	и потому	4	12
86	или в	3	12
87	рыцарский роман	6	12
88	словом и	2	12
89	точек зрения	1	12
90	а в	6	12
91	отношение к	5	12
92	и наконец	6	12
93	один из	5	11
94	роман и	1	11
95	в этих	6	11
96	большинстве случаев	2	11
97	с ними	1	11
98	для него	5	11
99	с одной	5	11
100	всех его	2	11
101	на его	1	11
102	в плане	1	11
103	одной стороны	3	11
104	слова как	1	11
105	зрения на	1	10
106	и их	11	10
107	и все	10	10
108	уже не	5	10
109	все они	4	10
110	лишь в	8	10
111	т д	3	10
112	в своем	8	10
113	может не	1	10
114	в том	16	10
115	с другими	3	10
116	романа испытания	1	10
117	она не	2	10
118	в себе	7	10
119	далеко не	3	10
120	в него	2	10
121	всех этих	9	10
122	в основном	12	9
123	романа в	7	9
124	поэтому и	4	9
125	в своей	2	9
126	конечно не	7	9
127	сказать что	4	9
128	на почве	2	9
129	этом случае	1	9
130	так как	12	9
131	здесь в	6	9
132	его в	8	9
