1	в то же время	8	15
2	в той или иной	1	12
3	и в то же	2	6
4	большей или меньшей степени	1	3
5	в большей или меньшей	1	3
6	и в том и	1	2
7	одно и то же	3	2
8	то же время и	2	2
9	с одной стороны и	5	2
10	и в этом случае	1	2
11	или во всяком случае	1	2
12	и в другом случае	1	2
13	в том и в	1	2
14	том и в другом	1	2
15	в зоне контакта с	1	1
16	том что он не	1	1
17	а также и в	1	1
18	тем не менее в	1	1
19	с той или иной	2	1
20	в данном случае не	1	1
21	ни в чем не	1	1
22	одни и те же	1	1
23	именно в том что	1	1
24	все дело в том	1	1
25	дело в том что	5	1
26	в том числе и	3	1
27	в том что он	1	1
28	а в том что	2	1
29	она во всяком случае	1	1
30	в том что в	3	1
31	одной и той же	2	1
32	с большей или меньшей	1	1
33	бы то ни было	2	1
