N	2gram	Bakhtin_Pr	FransuaR
1	и в	59	367
2	то есть	64	209
3	в этом	40	112
4	и т.п	8	108
5	и не	66	101
6	таким образом	22	100
7	и его	21	99
8	в его	44	98
9	прежде всего	17	92
10	не только	26	87
11	мы уже	4	85
12	но и	22	84
13	как бы	40	82
14	все эти	12	79
15	вовсе не	13	77
16	в романе	12	77
17	как и	21	76
18	в нем	38	75
19	но в	7	75
20	и на	15	72
21	и др	1	72
22	в том	17	71
23	как мы	10	71
24	то же	15	66
25	и все	4	66
26	в них	5	65
27	в этой	5	65
28	так и	13	65
29	и с	10	64
30	в сущности	11	64
31	в то	15	63
32	во всех	8	62
33	все это	12	62
34	же время	10	55
35	что в	14	52
36	в своем	12	51
37	только в	15	48
38	так как	11	46
39	и до	5	46
40	том что	15	45
41	в году	1	44
42	уже говорили	2	44
43	то что	21	41
44	здесь в	3	41
45	у него	9	40
46	жизни и	21	40
47	в самом	19	38
48	точки зрения	36	37
49	в ней	8	37
50	с его	14	36
51	о том	5	35
52	может быть	38	35
53	мы видим	5	35
54	сказать что	9	34
55	и даже	4	34
56	в себе	9	34
57	рядом с	16	32
58	мы видели	3	32
59	в конце	9	32
60	он не	11	32
61	для него	23	32
62	до конца	11	31
63	в литературе	7	31
64	в своей	17	31
65	нового времени	4	31
66	так же	10	30
67	но он	3	30
68	один из	4	30
69	потому что	20	30
70	той же	7	30
71	и потому	9	30
72	никогда не	19	30
73	в духе	3	29
74	в одном	14	29
75	еще не	11	29
76	связи с	1	29
77	в этих	5	29
78	что он	16	29
79	не может	31	29
80	в особенности	2	29
81	при этом	5	29
82	его в	6	29
83	не в	10	29
84	и к	5	28
85	из них	8	28
86	всех этих	3	28
87	в той	9	28
88	в основе	6	28
89	здесь и	2	28
90	и другие	4	27
91	сих пор	3	27
92	до сих	3	27
93	том числе	1	27
94	все же	9	27
95	роль в	2	27
96	и их	7	27
97	кроме того	3	26
98	в условиях	4	26
99	все они	4	26
100	на самом	5	25
101	в области	3	25
102	с помощью	1	25
103	но это	7	25
104	мира и	8	25
105	этот образ	1	24
106	он и	9	24
107	но не	13	24
108	например в	5	24
109	в ее	4	24
110	и у	6	24
111	и от	3	24
112	как в	10	24
113	того чтобы	5	24
114	времени и	1	24
115	в частности	2	24
