N	3gram	Berdyaev_V	Istorich
1	и т д	2	142
2	с другой стороны	1	46
3	мы видим что	1	30
4	в том что	2	25
5	вместе с тем	1	23
6	но все же	1	23
7	после того как	1	15
8	но и в	2	12
9	как и в	1	10
10	на том свете	1	9
11	и вместе с	1	9
12	т д и	1	5
13	так и в	1	5
14	во всем мире	1	4
15	это еще не	2	4
16	к тому что	3	3
17	за то что	3	3
18	он превращается в	1	3
19	по сравнению с	1	3
20	бы то ни	1	3
21	в этом нет	1	2
22	то и другое	1	2
23	вместо того чтобы	2	2
24	не могут быть	1	2
25	это одна из	1	2
26	его связь с	1	2
27	и то и	1	2
28	тем что они	1	2
29	другой стороны в	1	2
30	том что он	2	2
31	потому что оно	1	1
32	он говорит что	1	1
33	в ней мы	1	1
34	и приведены к	1	1
35	д и т	1	1
36	в первый раз	3	1
37	с небом и	1	1
38	что не всегда	1	1
39	в них и	1	1
40	и должна быть	1	1
41	сравнению с ними	1	1
42	жизнь так и	1	1
43	одно целое и	1	1
44	и в образе	1	1
45	этом нет ничего	1	1
46	того что он	1	1
47	между тем если	1	1
48	является в двух	1	1
49	в ней и	1	1
50	одна из сторон	1	1
51	к людям и	1	1
52	в одном образе	1	1
53	я ничего не	1	1
54	и не случайно	1	1
55	ты не имел	1	1
56	и что в	1	1
57	как бы в	1	1
58	то что мы	3	1
59	я думаю что	1	1
60	о смысле и	1	1
61	на составные части	1	1
62	в жизни и	1	1
63	что он так	1	1
64	с такой силой	1	1
65	и есть то	1	1
66	так как не	2	1
67	что он был	1	1
68	можно ли было	1	1
69	вслед за ним	1	1
70	видно и потому	1	1
71	но прежде всего	1	1
72	еще не был	1	1
73	все что есть	3	1
74	в этом мире	1	1
75	и в форме	1	1
76	но часто он	1	1
77	никогда не было	1	1
78	и в этом	1	1
79	есть один из	1	1
80	опять тот же	1	1
81	в одно целое	1	1
82	может ли он	1	1
83	о небе и	1	1
84	всего что было	1	1
85	на этом пути	1	1
86	да и то	1	1
