N	2gram	Trubetskoy	KFilosof
1	может быть	9	45
2	в его	4	42
3	в нем	5	32
4	не может	22	29
5	и не	19	28
6	и в	14	28
7	по отношению	2	26
8	в котором	2	24
9	не есть	3	22
10	отношению к	1	22
11	в себе	9	21
12	только в	5	18
13	в своем	6	17
14	в ее	1	17
15	а не	2	17
16	в этом	17	15
17	для него	6	13
18	не в	4	13
19	точки зрения	11	13
20	к нему	2	12
21	ни в	2	12
22	но не	4	12
23	и это	1	12
24	в своей	5	11
25	все эти	2	11
26	во всех	5	11
27	все это	6	10
28	это не	1	10
29	с точки	9	10
30	его целом	1	10
31	и есть	2	10
32	бытия и	1	10
33	и для	6	10
34	в их	4	9
35	и все	1	9
36	но и	10	9
37	как бы	4	9
38	для нее	2	9
39	не было	3	8
40	если бы	6	8
41	в мире	4	8
42	со стороны	4	8
43	было бы	5	8
44	лишь в	3	8
45	в себя	1	8
46	жизни и	4	8
47	себя в	4	8
48	во всем	4	7
49	что и	3	7
50	должен быть	1	7
51	вовсе не	1	7
52	уже не	2	7
53	совершенно не	2	7
54	то что	13	7
55	конечно не	5	7
56	для себя	2	7
57	и только	5	7
58	отнюдь не	7	7
59	ее и	1	6
60	должно быть	3	6
61	но все	1	6
62	в действительном	1	6
63	в том	17	6
64	и их	1	6
65	и действительно	1	6
66	место в	2	6
67	он не	5	6
68	но это	2	6
69	то же	11	5
70	ко всему	1	5
71	не только	9	5
72	с ним	2	5
73	но как	1	5
74	его в	4	5
75	в основе	1	5
76	но в	2	5
77	именно в	3	5
78	но ведь	1	5
79	как и	4	5
80	все же	4	5
81	жизни в	5	5
82	себя и	5	5
83	еще не	3	5
84	время и	1	5
85	принципиально не	1	5
86	хотя бы	5	5
87	от своей	2	5
88	а в	5	5
89	культуры и	2	5
90	и единственный	1	5
91	никогда не	5	5
92	что в	4	4
93	все попытки	1	4
94	отношению ко	1	4
95	должна быть	2	4
96	и весь	1	4
97	при этом	5	4
98	ни было	1	4
99	что это	3	4
100	для нас	2	4
101	прежде всего	8	4
102	в своих	6	4
103	с ними	1	4
104	том что	9	4
105	могло бы	1	4
106	но можно	1	4
107	входит в	1	4
108	нисколько не	2	4
109	могла бы	1	4
110	не по	1	4
111	между тем	5	4
112	здесь мы	1	4
113	тем самым	2	4
114	и т.д	4	4
115	к ним	1	4
116	жизни но	1	3
117	ближе к	1	3
118	от него	2	3
119	и на	5	3
120	мы не	1	3
121	тогда когда	4	3
122	для которой	1	3
123	и этот	3	3
124	того что	3	3
125	на самом	6	3
126	ясно что	2	3
127	и тот	2	3
128	самом деле	7	3
129	тем что	3	3
130	но для	2	3
131	людей и	2	3
132	в корне	4	3
133	не менее	1	3
134	по своему	1	3
135	бы не	1	3
136	его жизни	1	3
137	войти в	1	3
138	себе и	4	3
139	и другого	1	3
140	той или	3	3
141	себя не	1	3
142	это и	1	3
143	того или	2	3
144	данный момент	1	3
145	что не	1	3
146	в свою	1	3
147	не должен	2	3
148	и ни	3	3
149	в другом	3	3
150	для того	6	3
151	в ней	2	3
152	быть и	2	3
153	к чему	2	3
154	его действительно	1	3
155	от того	4	3
156	а лишь	4	3
157	нет и	1	3
158	не быть	1	3
159	только с	2	3
160	могут быть	1	3
161	до конца	1	3
162	котором мы	1	3
163	о том	7	3
164	в то	10	3
165	а следовательно	3	3
166	лишь при	5	3
167	или иного	2	3
168	всех этих	3	3
169	и тем	2	3
170	были бы	2	2
171	бы то	4	2
172	и эти	1	2
173	один из	1	2
174	и мы	1	2
175	и конечно	1	2
176	может не	3	2
177	можно ли	3	2
178	в единое	2	2
179	и того	1	2
180	что значит	1	2
181	тому что	2	2
182	а это	1	2
183	чтобы стать	1	2
184	будет ли	2	2
185	тем не	1	2
186	так и	1	2
187	из которых	5	2
188	в принципе	1	2
189	и то	4	2
190	и за	1	2
191	в качестве	3	2
192	мышление и	1	2
193	это есть	2	2
194	и когда	1	2
195	сводится к	3	2
196	по себе	2	2
197	в виде	3	2
198	если не	2	2
199	он имеет	1	2
200	отказаться от	4	2
201	он может	1	2
202	не о	2	2
203	ни одна	3	2
204	из нее	1	2
205	в сознании	3	2
206	дело в	1	2
207	лишь постольку	1	2
208	и себе	1	2
209	не следует	1	2
210	в жизни	1	2
211	с тем	6	2
212	человек и	1	2
213	и как	3	2
214	лишь с	1	2
215	что он	6	2
216	в определенной	1	2
217	себя как	2	2
218	выход из	1	2
219	и просто	1	2
220	во главе	2	2
221	наличности в	1	2
222	от этого	1	2
223	вследствие этого	1	2
224	ли это	4	2
225	жизни является	1	2
226	деятельности и	2	2
227	как оно	1	2
228	все они	3	2
229	этого слова	1	2
230	поскольку она	1	2
231	к этому	1	2
232	и потому	3	2
233	ни к	7	2
234	его и	2	2
235	может иметь	1	2
236	а с	2	2
237	в данном	7	2
238	и других	1	2
239	с психическим	1	2
240	вопрос о	5	2
241	ни у	1	2
242	которой он	4	2
243	и постоянное	1	2
244	она не	2	2
245	она могла	1	2
246	потому что	5	2
247	того чтобы	8	2
248	то ни	4	2
249	быть не	1	2
250	к себе	2	2
251	не будет	7	2
252	в теоретически	1	2
253	именно на	2	2
254	на нем	1	2
255	а по	1	2
256	говорить о	3	2
257	что эта	1	2
258	для этого	3	2
259	самого факта	1	2
260	отношении к	2	2
261	всех других	1	2
262	т.е действительно	1	2
263	же время	10	2
264	к которой	6	2
265	это значило	1	2
266	это только	2	2
267	в этой	4	2
268	ибо нет	1	2
269	при условии	3	2
270	нас важно	1	2
271	что только	2	2
272	или иной	5	2
273	значило бы	2	2
274	в области	2	2
275	чему не	1	2
276	постольку поскольку	1	2
277	с ее	1	2
278	одного и	1	2
279	вся эта	2	2
280	именно вследствие	1	1
281	подход к	1	1
282	всего в	1	1
283	в самом	3	1
284	быть таким	1	1
285	практически не	1	1
286	и к	6	1
287	на почве	2	1
288	они имеют	1	1
289	и оба	1	1
290	только не	1	1
291	мы прежде	1	1
292	обе стороны	1	1
293	все что	4	1
294	как это	1	1
