N	3gram	Bakhtin_Pr	Komedia
1	в том что	6	29
2	к тому же	1	21
3	в то же	8	16
4	то же время	8	16
5	до сих пор	8	16
6	о том что	3	13
7	по отношению к	5	9
8	с другой стороны	3	8
9	древней аттической комедии	1	8
10	и в самом	1	8
11	так или иначе	1	7
12	в конце концов	1	7
13	на себя внимание	2	7
14	с самого начала	4	7
15	во всяком случае	1	7
16	в отличие от	1	6
17	в том числе	15	6
18	в связи с	1	6
19	с точки зрения	13	6
20	после того как	1	6
21	что он не	1	5
22	то же самое	1	5
23	в этом отношении	1	5
24	у того же	1	5
25	тем не менее	2	5
26	и тот же	1	4
27	в одном из	1	4
28	именно потому что	1	4
29	в обоих случаях	1	4
30	к тому что	1	4
31	так как он	1	4
32	по сравнению с	6	4
33	можно было бы	2	4
34	до самого конца	1	3
35	в той же	1	3
36	то что он	1	3
37	друг от друга	2	3
38	более или менее	3	3
39	друг с другом	6	3
40	в соответствии с	2	3
41	хотя и не	3	3
42	в высшей степени	1	3
43	аттической комедии и	1	3
44	вместе с ним	1	3
45	равно как и	1	3
46	на протяжении всего	1	3
47	на то что	2	3
48	но и в	2	3
49	в чем же	1	3
50	может быть даже	2	3
51	один и тот	1	3
52	состоит в том	1	3
53	молодого человека в	1	3
54	внешней и внутренней	2	3
55	в новое время	4	3
56	из того же	1	3
57	том числе и	13	3
58	и там и	1	3
59	а может быть	1	2
60	и даже не	1	2
61	в большинстве случаев	9	2
62	в каждом из	3	2
63	к одному и	2	2
64	в этом смысле	5	2
65	один шаг до	1	2
66	сих пор в	1	2
67	мы не найдем	1	2
68	по отношению ко	1	2
69	как и в	4	2
70	так и в	2	2
71	у него в	1	2
72	но при этом	1	2
73	в отношении к	2	2
74	все это время	1	2
75	в зависимости от	3	2
76	и в то	3	2
77	не было и	1	2
78	а затем и	1	2
79	у него не	1	2
80	древняя аттическая комедия	1	2
81	для этой цели	1	2
82	друг друга и	1	2
83	и тому же	2	2
84	и в дальнейшем	2	2
85	и в тех	1	2
86	покончить с собой	1	2
87	и тем более	1	2
88	в одной из	1	2
89	таким образом и	2	2
90	выходят за пределы	2	2
91	так же как	1	2
92	имеем в виду	3	2
93	не только в	1	2
94	мы имеем в	3	2
95	одному и тому	2	2
96	в этом случае	1	2
97	берет на себя	1	2
98	и не удалось	1	2
99	ставит нас перед	1	2
100	в разной степени	1	2
101	которую можно было	1	1
102	точки зрения того	1	1
103	как и во	1	1
104	по своему стилю	1	1
105	как раз на	1	1
106	не только их	1	1
107	ни в малейшей	1	1
108	почти каждый из	1	1
109	так и для	1	1
110	и вся его	1	1
111	в применении к	1	1
112	можем сказать что	1	1
113	известный нам по	1	1
114	не может быть	8	1
115	можем составить себе	1	1
116	особое место среди	1	1
117	загробное царство и	1	1
118	можно сказать что	6	1
119	различных точек зрения	1	1
120	во всех его	2	1
121	и ничем не	1	1
122	имеем дело с	1	1
123	литературе нового времени	2	1
124	в собственном смысле	3	1
125	том что на	1	1
126	до наших дней	3	1
127	человека в глазах	1	1
128	путешествие в загробное	1	1
129	и во всех	3	1
