N	3gram	Tiupa_Anal	slovoVRo
1	и т п	3	72
2	не может быть	17	19
3	то же время	7	18
4	в то же	9	18
5	той или иной	8	15
6	с точки зрения	6	15
7	в отличие от	8	14
8	в той или	3	13
9	в отношении к	1	12
10	с одной стороны	6	11
11	более или менее	2	9
12	в этом случае	4	9
13	в зависимости от	1	8
14	во всяком случае	1	8
15	в значительной степени	1	7
16	но в то	2	7
17	с другой стороны	2	6
18	они могут быть	1	6
19	большей или меньшей	4	6
20	в том что	13	5
21	по отношению к	9	5
22	хотя бы и	1	5
23	не только в	3	5
24	а вовсе не	1	5
25	языка то есть	1	5
26	в этом отношении	5	5
27	для того чтобы	3	4
28	друг с другом	2	4
29	до сих пор	1	4
30	в большей или	1	4
31	и не может	4	4
32	в свою очередь	1	4
33	можно сказать что	1	4
34	с установкой на	1	4
35	или меньшей степени	1	4
36	не могут быть	2	4
37	и в сущности	1	4
38	себя в них	1	4
39	до известной степени	1	3
40	в собственном смысле	1	3
41	и то же	2	3
42	того или иного	3	3
43	тех или иных	3	3
44	в данном случае	3	3
45	а затем и	1	3
46	как если бы	1	3
47	в связи с	2	3
48	сама по себе	1	3
49	к тому что	2	3
50	почти вовсе не	1	3
51	в процессе его	1	3
52	как и в	2	3
53	и не в	4	3
54	со всех сторон	1	3
55	включает в себя	1	3
56	одно и то	2	3
57	выходит за пределы	1	3
58	в широком смысле	2	3
59	лишь одним из	1	3
60	на этом фоне	1	2
61	то или иное	1	2
62	с этой точки	2	2
63	и во всех	1	2
64	тем не менее	3	2
65	исключают друг друга	1	2
66	далеко не всегда	2	2
67	а между тем	1	2
68	может иметь место	1	2
69	в первом случае	2	2
70	не исключают друг	1	2
71	и не могут	1	2
72	от автора и	1	2
73	до некоторой степени	1	2
74	о том же	1	2
75	не только на	1	2
76	не только не	2	2
77	имеет дело с	1	2
78	то есть на	1	2
79	в известном смысле	2	2
80	а не только	2	2
81	своего предмета и	1	2
82	и в этом	4	2
83	в том и	2	2
84	дело не с	2	2
85	но прежде всего	1	2
86	но и в	3	2
87	можно утверждать что	1	2
88	же время он	1	2
89	о том что	8	2
90	этой точки зрения	2	2
91	во всех своих	1	2
92	или во всяком	1	2
93	можно было бы	1	2
94	во всех этих	1	2
95	между тем как	2	2
96	с ним и	1	2
97	между автором и	1	2
98	и в частности	1	2
99	который в своей	1	1
100	именно здесь в	1	1
101	в контексте целого	2	1
102	речи то есть	1	1
103	на фоне которых	1	1
104	может быть диалогического	1	1
105	от которого он	1	1
106	и даже не	1	1
107	в конечном счете	5	1
108	а не к	1	1
109	в применении к	1	1
110	в той же	1	1
111	дело не только	1	1
112	в себе все	1	1
113	автором и его	1	1
114	лишь одна из	1	1
115	но и на	1	1
116	такое отношение к	1	1
117	одни и те	2	1
118	дело не в	2	1
119	то есть вне	1	1
120	персонажей а между	1	1
121	в том числе	3	1
122	сказать и о	1	1
123	в новом свете	1	1
124	с ним в	1	1
125	а не его	1	1
126	и вследствие этого	1	1
127	в частности в	2	1
128	бы ни был	1	1
129	как бы не	2	1
130	так или иначе	1	1
131	сами по себе	3	1
132	не столько в	1	1
133	автора и не	1	1
134	конечно далеко не	1	1
135	в том случае	1	1
136	в особенности же	1	1
137	максим максимыч в	1	1
138	речь идет о	1	1
139	том числе и	1	1
140	в драме или	1	1
141	сказать что в	1	1
142	и остается в	1	1
143	а в том	1	1
144	и в пределах	2	1
145	то ни было	3	1
146	иметь место в	1	1
147	ли он в	1	1
148	а не в	3	1
149	а не с	2	1
150	во всей своей	1	1
151	самом же деле	1	1
152	то есть без	1	1
153	всех этих актов	1	1
154	на самом же	1	1
155	бы то ни	3	1
156	и воля и	1	1
157	в равной степени	2	1
158	в сторону и	2	1
159	могли бы быть	2	1
160	речи конкретных персонажей	1	1
161	с другом в	1	1
162	легко могут быть	1	1
163	в нашем случае	3	1
164	них не только	1	1
165	в этих случаях	1	1
166	а как бы	1	1
167	то есть в	2	1
168	так как если	1	1
169	вместе с ним	2	1
170	никогда не бывает	1	1
171	к тому или	1	1
172	языка и в	1	1
173	и что же?	1	1
174	нет ничего что	1	1
175	по аналогии с	1	1
176	равно как и	1	1
177	могла бы быть	1	1
178	и внутренней жизни	1	1
179	что даже в	1	1
180	всего произведения как	1	1
181	и к ее	1	1
182	один из многих	1	1
183	и особенно в	1	1
184	и те же	2	1
185	на то что	2	1
186	в напряженном и	1	1
187	целом с точки	1	1
188	он не только	1	1
189	кто говорит и	1	1
190	по крайней мере	4	1
191	с жизнью и	1	1
192	в данный момент	2	1
193	как и вся	1	1
194	как это было	1	1
195	в том чтобы	7	1
196	заключается в том	1	1
197	отождествлять ни с	1	1
198	говорить не приходится	1	1
199	выходят за пределы	1	1
200	оно ни было	1	1
201	имеем в виду	1	1
202	в последние десятилетия	1	1
203	такой степени что	1	1
204	бы он был	1	1
205	в свое время	3	1
206	в виду не	1	1
207	но и не	5	1
208	как один из	1	1
209	есть в сущности	2	1
210	жизни но и	1	1
211	да и в	1	1
212	он может быть	1	1
213	не выходят за	1	1
214	в противном случае	1	1
215	герой нашего времени	1	1
216	как и на	2	1
217	бы оно ни	1	1
218	с той или	2	1
219	далеко не все	1	1
220	подобно тому как	5	1
221	не приближается к	1	1
222	так и на	1	1
223	одной и той	1	1
224	не ощущается как	1	1
225	мы имеем в	1	1
226	даже не столько	1	1
227	двумя крайними пределами	1	1
228	всего может быть	1	1
229	то есть его	1	1
230	не менее в	1	1
231	всех этих случаях	1	1
232	том что он	2	1
233	оно не является	1	1
234	не в самом	1	1
235	своих и чужих	1	1
236	не приходится однако	1	1
237	в суде в	1	1
238	она может быть	1	1
239	том случае если	1	1
240	это возможно в	1	1
241	этом случае в	1	1
242	в таких случаях	1	1
243	однако при этом	1	1
244	более того в	1	1
245	однако в пределах	1	1
246	смысл и значение	1	1
247	неизбежно оказывается в	1	1
248	также и в	1	1
249	прежде всего в	2	1
250	нет и не	2	1
251	и той же	1	1
252	таким образом с	1	1
253	у него свое	1	1
254	если бы он	1	1
255	среда в которой	1	1
