N	3gram	Losev_Vlad	Problemy
1	то же время	7	26
2	в то же	7	26
3	в этом смысле	4	16
4	не может быть	4	14
5	но в то	2	11
6	в конце концов	6	11
7	в самом деле	1	9
8	с другой стороны	3	9
9	во всяком случае	8	9
10	в том что	13	8
11	и не может	1	8
12	и в то	3	7
13	в одной плоскости	1	7
14	как раз и	2	7
15	бы то ни	2	7
16	и т д	3	7
17	и в этом	1	7
18	то ни было	1	6
19	том что он	4	6
20	ведь и сам	1	5
21	сам по себе	1	5
22	к тому же	3	5
23	в высшей степени	1	5
24	по крайней мере	1	5
25	но все же	1	5
26	и в нем	1	5
27	и не в	1	4
28	и наконец в	1	4
29	его отношение к	1	4
30	он не может	1	4
31	тем не менее	8	4
32	так и в	1	4
33	более или менее	5	4
34	само по себе	1	4
35	смысле этого слова	1	4
36	как мы сказали	2	4
37	о том что	9	4
38	в этом отношении	2	4
39	хотя и не	2	4
40	что в нем	1	4
41	с ним и	1	4
42	одной плоскости с	1	4
43	может быть и	1	4
44	для него самого	1	3
45	в той же	1	3
46	почти никогда не	1	3
47	можно сказать что	3	3
48	а может быть	1	3
49	потому что она	1	3
50	и то же	1	3
51	как мы уже	3	3
52	и все это	1	3
53	в настоящее время	2	3
54	не только не	1	3
55	того что он	1	3
56	на то что	6	3
57	в обычном смысле	1	3
58	как мы знаем	3	3
59	что он сам	1	3
60	как мы видели	1	3
61	одно и то	1	3
62	в этом случае	1	3
63	в то время	6	3
64	как мы увидим	2	3
65	и до конца	2	3
66	то что я	1	3
67	все это было	2	3
68	то время как	2	3
69	нам кажется что	2	3
70	что он не	3	2
71	как будто и	1	2
72	в письме к	12	2
73	о нем в	1	2
74	что же это	1	2
75	то что он	6	2
76	он не только	2	2
77	в том же	3	2
78	для того чтобы	3	2
79	в свою очередь	2	2
80	дело в том	7	2
81	но тем не	1	2
82	у него в	2	2
83	тот же самый	1	2
84	на всю жизнь	1	2
85	чего бы то	1	2
86	и не принимает	1	2
87	вместе с тем	2	2
88	но только в	1	2
89	в чем не	1	2
90	до настоящего времени	1	2
91	на этот раз	7	2
92	к тому что	1	2
93	только то что	1	2
94	и во всяком	1	2
95	но это не	2	2
96	раз и навсегда	2	2
97	он как раз	1	2
98	я этого не	1	2
99	и только в	1	2
100	что же касается	8	2
101	то что в	1	2
102	а следовательно и	1	2
103	конечно не в	1	2
104	но все это	1	2
105	но в общем	2	2
106	по себе как	1	2
107	не только в	3	2
108	ту же тему	1	2
109	к той же	1	2
110	и в том	2	2
111	в результате такого	1	2
112	не в одном	1	2
113	с начала и	2	2
114	оно может быть	1	2
115	что и в	2	2
116	ни в чем	1	2
117	начала и до	2	2
118	он никогда не	2	1
119	в первых двух	1	1
120	в одном глазу	1	1
121	в этот момент	1	1
122	все больше и	1	1
123	с первого же	2	1
