N	4gram	Voloshinov	Tvorches
1	в то же время	7	24
2	но в то же	6	6
3	дело в том что	1	4
4	и не может быть	5	3
5	нет и не может	2	2
6	в том числе и	3	2
7	для того чтобы изучить	1	1
8	на самом же деле	5	1
9	не что иное как	1	1
10	самом же деле этот	1	1
11	но для того чтобы	1	1
12	не с точки зрения	1	1
13	в конце концов к	1	1
14	в таком случае это	2	1
15	все более и более	2	1
16	каких бы то ни	3	1
17	одна и та же	1	1
18	одного и того же	9	1
19	в том что это	1	1
20	отнюдь не сводится к	1	1
21	по мере приближения к	1	1
22	или во всяком случае	1	1
23	мы уже говорили что	1	1
24	с другой стороны и	1	1
25	в соответствии с этим	1	1
26	как бы не замечая	1	1
27	как же может быть	1	1
28	и добро и зло	1	1
29	бы то ни было	11	1
30	одну и ту же	1	1
31	то же время они	1	1
32	так же как и	2	1
33	лежащая в основе всех	1	1
34	и в свою очередь	1	1
