N	3gram	Berdyaev_M	Sovremen
1	с точки зрения	1	5
2	в зависимости от	1	4
3	не может быть	22	4
4	не может не	2	3
5	во всяком случае	1	2
6	так как он	1	2
7	в отличие от	1	2
8	может быть и	2	2
9	есть не что	3	1
10	с человеком человек	1	1
11	не было бы	5	1
12	был прежде всего	3	1
13	в том что	3	1
14	в первый период	1	1
15	и те же	2	1
16	на самом деле	1	1
17	не могут быть	2	1
18	как и во	2	1
19	и есть не	1	1
20	до сих пор	5	1
21	одни и те	1	1
22	то нет и	3	1
23	все более и	1	1
24	может не быть	1	1
25	а может быть	1	1
26	не что иное	4	1
27	одна и та	2	1
28	и та же	2	1
29	в самом деле	1	1
30	в том случае	1	1
31	что иное как	4	1
32	и не было	2	1
33	в этом направлении	1	1
34	и той же	2	1
35	это значит что	3	1
36	и в новых	1	1
37	когда мы говорим	1	1
38	одной и той	2	1
39	они не могут	1	1
40	со всеми его	1	1
41	более и более	1	1
42	так же как	1	1
43	не в том	1	1
44	а не только	3	1
45	она не может	1	1
46	быть и речи	1	1
47	по отношению к	4	1
48	если нет свободы	1	1
49	заключает в себе	3	1
50	он уже не	3	1
51	и в этом	1	1
52	и есть то	1	1
53	и ничего не	1	1
54	можно было бы	1	1
55	друг на друга	1	1
56	в себе в	1	1
57	и не может	2	1
58	же этот процесс	1	1
59	что она может	1	1
