N	3gram	Savitsky_E	VrazhdaK
1	отцов и детей	1	4
2	то же время	14	4
3	в то же	15	4
4	в связи с	1	3
5	в том что	6	2
6	не может быть	2	2
7	но в то	2	2
8	с точки зрения	16	2
9	прочим и о	1	1
10	в этот период	1	1
11	а также в	1	1
12	в свою очередь	2	1
13	в то время	1	1
14	речь идет о	1	1
15	россии в ее	1	1
16	он сам в	1	1
17	так же как	5	1
18	а тем более	2	1
19	на то что	2	1
20	по нашему мнению	2	1
21	и в то	8	1
22	в соответствии с	1	1
23	в этом смысле	3	1
24	заключается в том	2	1
25	не имеет никаких	1	1
26	на этот раз	1	1
27	в том же	1	1
28	во всяком случае	3	1
29	в свою пользу	1	1
30	с другой стороны	2	1
31	в известном смысле	3	1
32	связи с этим	1	1
33	независимо от того	1	1
34	между прочим и	2	1
35	в этом отношении	3	1
36	и в этом	4	1
37	может быть и	1	1
