N	3gram	Berdyaev_M	Formalny
1	с точки зрения	1	40
2	не может быть	22	29
3	на самом деле	1	21
4	и т п	1	18
5	во всяком случае	1	16
6	по отношению к	4	12
7	в самом деле	1	11
8	в этом отношении	1	11
9	в зависимости от	1	10
10	и не может	2	9
11	для того чтобы	4	8
12	до сих пор	5	8
13	вместе с тем	5	8
14	в высшей степени	4	7
15	в первый период	1	7
16	а вовсе не	1	7
17	и в этом	1	7
18	в том что	3	6
19	с тем что	3	6
20	сам по себе	1	6
21	смысле этого слова	1	6
22	может быть и	2	6
23	к тому чтобы	2	5
24	одни и те	1	5
25	в отличие от	1	5
26	к тому что	1	5
27	в значительной степени	2	5
28	и те же	2	5
29	прежде всего в	2	5
30	не в том	1	4
31	все более и	1	4
32	в конце концов	3	4
33	более и более	1	4
34	не могут быть	2	4
35	а не в	4	4
36	но и в	4	4
37	как и все	1	4
38	подобно тому как	2	4
39	в нем и	1	4
40	нет и не	1	4
41	сама по себе	1	4
42	важное место в	1	3
43	то же что	1	3
44	быть и речи	1	3
45	и в этой	5	3
46	в том смысле	2	3
47	потому что он	3	3
48	мы увидим что	4	3
49	во всех своих	1	3
50	у нас не	2	3
51	т е в	1	3
52	между этими двумя	1	3
53	большое место в	1	2
54	мере в какой	1	2
55	но оно не	1	2
56	том смысле что	1	2
57	в той мере	1	2
58	возможно лишь в	1	2
59	менее всего может	1	2
60	одного к другому	1	2
61	хотя бы и	2	2
62	она не может	1	2
63	но и с	1	2
64	в том случае	1	2
65	не потому что	1	2
66	в отношении к	3	2
67	между тем как	2	2
68	но для этого	2	2
69	как и всякая	1	2
70	той мере в	1	2
71	нужно сказать что	1	2
72	что это не	2	2
73	в своей книге	2	2
74	от одного к	1	2
75	и в том	1	2
76	в своем творчестве	3	2
77	к нему и	1	2
78	так и не	2	2
79	выйти за пределы	1	2
80	имеем в виду	1	2
81	один из моментов	1	2
82	как и в	2	2
83	от того что	4	2
84	но и самый	1	2
85	нас не было	2	2
86	занимает очень важное	1	2
87	так как они	1	2
88	не только в	2	2
89	не одна а	1	2
90	так же как	1	2
91	мы имеем в	1	2
92	всего может быть	1	2
93	выходит за пределы	1	2
94	оно не может	2	2
95	лежит в основе	1	2
96	смысле что он	1	2
97	что и в	3	2
98	очень важное место	1	2
99	ни в чем	2	2
100	что он не	3	1
101	себе доступ к	1	1
102	она никогда не	3	1
103	как и во	2	1
104	жизни у достоевского	2	1
105	том что это	1	1
106	не приводит в	1	1
107	лишь в том	1	1
108	лишь один из	1	1
109	и заключается в	1	1
110	выбора и оформления	1	1
111	атмосфера в которой	1	1
112	другу и не	1	1
113	и тогда когда	1	1
114	по сравнению с	2	1
115	она должна быть	1	1
116	к одному знаменателю	1	1
117	они неизбежно должны	1	1
118	в новых формах	1	1
119	и на этом	2	1
120	он не может	2	1
121	был бы не	1	1
122	что они не	1	1
123	огромное место в	1	1
124	не значит что	1	1
125	нельзя было бы	2	1
126	ее не в	1	1
127	очень существенное в	1	1
128	т е от	1	1
129	они не могут	1	1
130	мира в этом	1	1
131	смысле в каком	2	1
132	друг на друга	1	1
133	как бы не	2	1
134	это не значит	2	1
135	что он был	1	1
136	особенно в первый	1	1
137	существует лишь для	1	1
138	что человек может	1	1
139	и в конце	2	1
140	всегда остается и	1	1
141	и не должно	1	1
142	для него нет	2	1
143	что он в	1	1
144	и не могли	1	1
