N	2gram	Berdyaev_V	EvropaiC
1	в том	3	31
2	и в	16	24
3	том что	2	20
4	все эти	3	19
5	то что	9	18
6	может быть	1	17
7	все же	1	15
8	в этом	4	13
9	все это	5	13
10	между тем	2	12
11	в своем	1	12
12	но и	5	11
13	все что	4	10
14	не только	2	10
15	так и	4	10
16	как и	4	10
17	во всех	3	10
18	как бы	5	10
19	что в	3	9
20	в результате	1	9
21	не в	3	9
22	и все	4	9
23	и не	20	9
24	потому что	4	9
25	и что	3	9
26	в самом	1	8
27	чем у	1	8
28	к тому	3	8
29	для того	1	8
30	того чтобы	2	8
31	а между	2	8
32	так же	1	8
33	так как	9	7
34	того что	5	7
35	что и	3	7
36	что он	4	7
37	вместе с	1	7
38	в этой	1	7
39	в сознании	1	7
40	и на	1	6
41	с ним	2	6
42	только в	2	6
43	в мире	5	6
44	еще не	8	6
45	и если	1	6
46	должна быть	3	6
47	тогда как	1	6
48	с другой	1	6
49	у них	1	6
50	и для	3	6
51	а потому	1	5
52	ничем не	1	5
53	между собою	1	5
54	должно быть	3	5
55	в состоянии	1	5
56	в его	4	5
57	что это	1	5
58	другой стороны	1	5
59	у него	1	5
60	в которой	1	5
61	но все	1	5
62	и с	1	5
63	по сравнению	1	5
64	сравнению с	1	5
65	не будет	2	5
66	лишь в	3	5
67	и от	1	5
68	что все	4	5
69	к этому	1	5
70	в целом	1	5
71	но в	3	5
72	не так	2	4
73	и то	2	4
74	ее и	2	4
75	самого себя	2	4
76	хотя и	5	4
77	в их	1	4
78	в виде	1	4
79	в конце	3	4
80	с тем	2	4
81	не есть	6	4
82	не могут	2	4
83	а с	2	4
84	что мы	4	4
85	хотя бы	3	4
86	то ни	1	4
87	отношение к	1	4
88	конце концов	1	4
89	то же	1	4
90	никогда не	3	4
91	во всем	1	3
92	бы то	1	3
93	от него	2	3
94	что оно	1	3
95	и по	1	3
96	которые не	2	3
97	еще больше	1	3
98	освободиться от	1	3
99	в разных	1	3
100	для нас	2	3
101	на нас	2	3
102	прежде всего	2	3
103	у нас	1	3
104	в этих	3	3
105	ко всем	1	3
106	в нем	4	3
107	в жизни	3	3
108	во имя	32	3
109	на земле	7	3
110	на вершине	1	3
111	в истории	8	3
112	и это	2	3
113	что их	2	3
114	и вообще	1	3
115	и потому	7	3
116	вопрос о	1	3
117	в ней	4	3
118	с этой	1	3
119	это не	2	3
120	и до	1	3
121	конечно не	2	3
122	уже и	1	3
123	а в	2	3
124	как мы	1	3
125	мы будем	1	3
126	но не	2	3
127	таким же	1	3
128	бы в	1	3
129	не надо	1	3
130	тот же	3	3
131	все в	1	2
132	с которыми	1	2
133	что они	7	2
134	мы и	2	2
135	то есть	1	2
136	мы все	1	2
137	на том	2	2
138	для себя	1	2
139	от которого	3	2
140	для него	2	2
141	основанную на	2	2
142	то и	1	2
143	него в	1	2
144	но как	1	2
145	в виду	1	2
146	тем чтобы	1	2
147	но с	1	2
148	в своих	1	2
149	не было	3	2
150	и сам	2	2
151	на нее	1	2
152	наконец не	1	2
153	вовсе не	1	2
154	и начало	1	2
155	жизни и	3	2
156	и будет	3	2
