N	3gram	Trubetskoy	FransuaR
1	то же время	2	55
2	в то же	2	55
3	мы уже говорили	1	43
4	в том что	16	27
5	в том числе	1	27
6	до сих пор	15	27
7	с точки зрения	8	20
8	для того чтобы	7	17
9	том числе и	1	17
10	о том что	4	17
11	в связи с	3	16
12	как мы видели	1	16
13	то есть в	1	15
14	сих пор еще	1	15
15	не может быть	4	13
16	дело в том	1	13
17	уже говорили что	1	13
18	с одной стороны	2	13
19	на самом деле	7	13
20	с другой стороны	4	12
21	мы уже сказали	1	12
22	все то что	1	11
23	как и все	2	11
24	таким образом и	1	10
25	как и в	2	10
26	в данном случае	3	10
27	в конце концов	4	10
28	мы видим что	1	9
29	по отношению к	11	9
30	таким образом в	3	8
31	более или менее	8	8
32	мы видели что	1	8
33	в самом деле	5	7
34	в то время	2	7
35	можно было бы	1	7
36	в настоящее время	3	7
37	не подлежит сомнению	3	7
38	во всех этих	2	7
39	к тому же	5	6
40	но все же	2	6
41	за то что	1	6
42	в свою очередь	2	6
43	и до сих	1	6
44	с самого начала	1	6
45	как мы сказали	1	6
46	друг с другом	9	5
47	то же самое	1	5
48	по сравнению с	5	5
49	во всяком случае	2	5
50	во всех странах	1	5
51	в том же	3	5
52	вместо того чтобы	1	5
53	только то что	2	5
54	и той же	1	4
55	и все что	2	4
56	значительной своей части	1	4
57	начало и конец	4	4
58	точки зрения на	1	4
59	таким образом все	1	4
60	так же как	3	4
61	таким образом здесь	2	4
62	и то что	3	4
63	может быть и	4	4
64	одной и той	1	4
65	в нем не	1	4
66	и не может	1	4
67	мы находим в	1	4
68	а следовательно и	2	4
69	и все они	1	4
70	о котором мы	1	4
71	о которой мы	2	3
72	и все это	1	3
73	у него в	1	3
74	друг от друга	6	3
75	но и с	1	3
76	не только с	1	3
77	те же самые	1	3
78	смысле этого слова	1	3
79	между тем как	1	3
80	они вовсе не	1	3
81	не только не	1	3
82	и того же	3	3
83	вместе с тем	3	3
84	как мы знаем	1	3
85	в себе и	1	3
86	в целом ряде	3	3
87	все же не	3	3
88	как бы ни	1	3
89	что касается до	6	3
90	является одним из	1	3
91	в вопросе о	2	3
92	в ту же	1	3
93	на том же	1	3
94	одного и того	3	3
95	в значительной своей	1	3
96	именно потому что	2	3
97	а с другой	2	3
98	бы то ни	3	3
99	образом и в	1	3
100	и в том	2	3
101	одним из самых	1	3
102	заключается в том	3	3
103	в основе их	1	3
104	еще далеко не	1	3
105	свидетельствует о том	1	3
106	нет и не	1	3
107	мы уже знаем	1	2
108	никак не может	1	2
109	на одном уровне	1	2
110	в том или	1	2
111	таким образом весь	1	2
112	и в другом	1	2
113	при этом что	2	2
114	быть и не	1	2
115	совершенно так же	4	2
116	как в его	1	2
117	и некоторые другие	1	2
118	но при этом	1	2
119	из них в	1	2
120	уже знаем что	1	2
121	между этими двумя	2	2
122	по этому поводу	1	2
123	то ни было	3	2
124	из того что	1	2
125	и может быть	2	2
126	от всех тех	1	2
127	подлежит сомнению что	3	2
128	и без того	4	2
129	культуры и в	1	2
130	что одним из	1	2
131	так и к	1	2
132	никто не может	1	2
133	в таком же	2	2
134	хотя бы в	1	2
135	том или ином	1	2
136	сих пор не	5	2
137	так и от	1	2
138	мы знаем что	7	2
139	но по существу	1	2
140	что многие из	1	2
141	целом ряде других	1	2
142	в зрелом возрасте	1	2
143	каждый из них	1	2
144	до некоторой степени	1	2
145	культуры между тем	1	2
146	мы сказали что	2	2
147	то что для	1	2
148	только тогда когда	1	2
149	для этой цели	1	2
150	как нечто само	1	2
151	что у него	1	2
152	и в нем	1	2
153	ничего общего с	2	2
154	с такою же	1	2
155	и с точки	1	2
156	и в целом	1	2
157	мы не знаем	1	2
158	была у него	1	2
159	в этом случае	4	2
160	том что он	2	2
161	в другом случае	1	2
162	они вступают в	1	2
163	друг к другу	2	2
164	уже сказали что	1	1
165	себя все что	1	1
166	в дальнейшем эта	1	1
167	для борьбы с	1	1
168	многие из этих	1	1
169	говорили в начале	1	1
170	что все они	1	1
171	наиболее ясной и	1	1
172	они не могут	1	1
173	вместе с ними	1	1
174	стороны одного и	1	1
175	из русской истории	1	1
176	именно в этой	1	1
177	совершенно ясно что	1	1
178	данном случае не	1	1
179	на земле в	1	1
180	с тем и	1	1
181	и для самого	1	1
182	том же духе	1	1
183	жизнь и все	1	1
184	а потому и	1	1
185	и таким образом	1	1
186	даже в этом	1	1
187	в разные стороны	1	1
188	и в нашем	1	1
189	развития культуры в	1	1
190	не забудем что	1	1
191	а затем и	1	1
192	том что только	1	1
193	будем признать что	1	1
194	не без влияния	1	1
195	но вместе с	2	1
196	и по своему	1	1
197	таким образом они	1	1
198	мы говорили выше	6	1
199	и все прочие	1	1
200	очень медленно и	1	1
201	то я не	1	1
202	же самое что	1	1
203	в тех случаях	1	1
204	таким образом мы	1	1
205	лишь тогда когда	2	1
206	не имеет никакой	1	1
207	европейской культуры и	2	1
208	далеко не во	1	1
209	лежит представление о	1	1
210	на своем пути	1	1
211	не раньше чем	1	1
212	и развиваться в	1	1
213	он не может	2	1
214	и в дальнейшем	1	1
215	а между тем	8	1
216	две стороны одного	1	1
217	нами в начале	1	1
218	от друга в	1	1
219	тем более что	1	1
220	ко всем этим	1	1
221	так как все	1	1
222	европейской культуры все	1	1
223	и культуры в	1	1
224	даже в области	1	1
225	осталась не раскрытой	1	1
226	что за ними	1	1
227	между прочим в	1	1
228	так что и	1	1
229	и со своим	1	1
230	есть в этом	1	1
231	из этих элементов	1	1
232	и это не	1	1
233	элементов этой культуры	1	1
234	не замечает что	1	1
235	он все же	2	1
236	в своем развитии	4	1
237	на ноги и	1	1
238	в развитии культуры	1	1
239	том что они	1	1
240	бы при этом	1	1
241	том случае если	4	1
242	а так как	1	1
243	та или иная	1	1
244	ибо в ней	1	1
245	и с этой	1	1
246	то что мы	1	1
247	не только внешний	1	1
248	во всем этом	1	1
249	меньше чем в	1	1
250	в этом последнем	1	1
251	во-первых потому что	1	1
252	его к жизни	1	1
253	нечто само собою	1	1
254	во всех отношениях	1	1
255	этой культуры в	1	1
256	роль в развитии	1	1
257	время от времени	2	1
258	общества и в	1	1
259	рано или поздно	2	1
260	есть как бы	1	1
261	весь свой смысл	1	1
262	и всех других	1	1
263	как и вообще	1	1
264	начале этой главы	1	1
265	основе их лежит	1	1
266	том что все	2	1
267	и сейчас в	1	1
268	и ничем не	1	1
269	принуждены будем признать	1	1
270	в нем между	1	1
271	независимо от того	1	1
272	тем не менее	4	1
273	гораздо меньше чем	1	1
274	а как бы	1	1
275	не в том	1	1
276	и не имеет	1	1
277	в дальнейшем ходе	1	1
278	но и сам	1	1
279	в большей степени	1	1
280	что эта традиция	1	1
281	и если бы	1	1
282	в том случае	4	1
283	на точку зрения	1	1
284	того же явления	1	1
285	а и в	7	1
286	же трудно как	1	1
287	что все эти	1	1
288	не трудно видеть	1	1
289	это может быть	1	1
290	в зависимости от	1	1
291	в приложении к	1	1
292	но для этого	1	1
293	в один из	1	1
294	все остальное в	1	1
295	но в сущности	1	1
296	как бы он	1	1
297	в каждый момент	1	1
298	но не подлежит	1	1
299	а потому что	1	1
300	во всей своей	1	1
301	что они не	1	1
302	к которой он	1	1
303	точки зрения всякой	1	1
304	состоит в том	1	1
305	в высшей степени	2	1
306	и потому они	1	1
307	тем что она	1	1
308	с тех пор	1	1
309	том что оно	1	1
310	с этой целью	1	1
311	том и в	1	1
312	возможным только благодаря	1	1
313	никогда не было	1	1
314	все это конечно	1	1
315	а для этого	1	1
316	мало того что	1	1
317	в широком смысле	1	1
318	о том чтобы	2	1
319	в наиболее ясной	1	1
320	нечего и говорить	3	1
321	никакой роли в	1	1
322	во многих отношениях	1	1
323	все эти вещи	1	1
324	в течение его	1	1
325	того же процесса	1	1
326	аспекта одного и	1	1
327	между тем в	1	1
328	в том и	2	1
329	связанной с ним	1	1
330	так и у	1	1
331	что он может	1	1
332	а то которое	1	1
333	на то что	7	1
334	каждый из этих	2	1
335	не есть нечто	1	1
336	правильнее было бы	1	1
337	и в конце	1	1
338	конце концов в	1	1
339	что же касается	2	1
340	к одному из	1	1
341	не в состоянии	3	1
342	в начале этой	2	1
343	то что эти	1	1
344	все эти слова	1	1
345	оружием в руках	1	1
346	не будет уже	1	1
347	хотя и не	1	1
348	само собою разумеющееся	1	1
349	одна из этих	1	1
350	все же они	1	1
351	не во всех	1	1
352	одно и то	1	1
353	в лучшем случае	1	1
354	и то же	1	1
355	таким образом как	1	1
356	несмотря на эту	1	1
357	сравнению с общим	2	1
358	но в этой	1	1
359	стало возможным только	1	1
360	так же трудно	1	1
361	конечно в самой	1	1
362	так что в	1	1
363	именно в том	1	1
364	всех отношениях лучше	1	1
365	с ним общее	1	1
366	различия между ними	1	1
367	и т.д в	1	1
368	тех случаях когда	1	1
369	к своим национальным	1	1
370	и на него	1	1
371	входящих в состав	1	1
372	на первый взгляд	1	1
373	по этому вопросу	1	1
374	то обстоятельство что	1	1
375	жизни и культуры	1	1
376	дальше в этом	1	1
377	в этой области	4	1
378	не только своего	1	1
379	то время как	1	1
380	если мы будем	1	1
381	с которыми они	1	1
382	дело однако не	1	1
