N	2gram	Potebnia_M	KFilosof
1	может быть	46	45
2	в его	6	42
3	в нем	16	32
4	не может	18	29
5	и не	28	28
6	и в	48	28
7	в бытии	1	26
8	по отношению	12	26
9	в котором	7	24
10	не есть	24	22
11	для меня	5	22
12	отношению к	10	22
13	в себе	26	21
14	только в	29	18
15	и его	4	18
16	в своем	6	17
17	в ее	3	17
18	а не	22	17
19	в этом	19	15
20	для него	14	13
21	не в	24	13
22	точки зрения	4	13
23	к нему	7	12
24	ни в	2	12
25	но не	8	12
26	и это	6	12
27	в своей	2	11
28	все эти	1	11
29	во всех	1	11
30	из себя	3	11
31	все это	4	10
32	это не	2	10
33	с точки	3	10
34	и есть	4	10
35	бытия и	1	10
36	от себя	1	10
37	в целом	5	10
38	в их	2	9
39	и все	5	9
40	но и	30	9
41	как бы	10	9
42	для нее	1	9
43	в единстве	2	8
44	не было	12	8
45	если бы	20	8
46	быть только	5	8
47	в мире	3	8
48	со стороны	4	8
49	было бы	16	8
50	лишь в	2	8
51	в себя	1	8
52	жизни и	3	8
53	себя в	1	8
54	во всем	2	7
55	и здесь	3	7
56	что и	16	7
57	должен быть	1	7
58	вовсе не	13	7
59	уже не	11	7
60	то что	37	7
61	конечно не	2	7
62	на основе	1	7
63	для себя	3	7
64	и только	5	7
65	должно быть	9	6
66	но все	2	6
67	но эта	3	6
68	я не	1	6
69	не имеет	10	6
70	и я	3	6
71	в смысле	4	6
72	ко мне	1	6
73	в том	47	6
74	и их	4	6
75	отношение к	2	6
76	жизнь как	1	6
77	место в	4	6
78	действительного мира	1	6
79	он не	4	6
80	но это	9	6
81	от его	2	5
82	со всем	1	5
83	то же	35	5
84	не только	32	5
85	мира но	1	5
86	с ним	10	5
87	я могу	1	5
88	но как	2	5
89	его в	6	5
90	не знает	4	5
91	есть лишь	1	5
92	но в	8	5
93	именно в	5	5
94	бы быть	3	5
95	как и	22	5
96	все же	3	5
97	жизни в	1	5
98	себя и	4	5
99	еще не	9	5
100	что я	5	5
101	время и	2	5
102	хотя бы	3	5
103	и содержание	2	5
104	в одном	4	5
105	ни одно	2	5
106	а в	14	5
107	я и	3	5
108	его как	3	5
109	там где	6	5
110	никогда не	2	5
111	что в	30	4
112	отношению ко	1	4
113	должна быть	2	4
114	при этом	6	4
115	ни было	2	4
116	что это	6	4
117	о нем	1	4
118	не как	3	4
119	для нас	40	4
120	прежде всего	6	4
121	с другим	2	4
122	в своих	2	4
123	места в	1	4
124	как его	1	4
125	места и	1	4
126	с ними	6	4
127	мира и	1	4
128	том что	28	4
129	в чем	6	4
130	в каком	8	4
131	могло бы	2	4
132	в эстетическом	1	4
133	но можно	1	4
134	входит в	3	4
135	только как	9	4
136	нисколько не	1	4
137	могла бы	2	4
138	не по	1	4
139	между тем	19	4
140	здесь мы	1	4
141	времени и	2	4
142	тем самым	11	4
143	чем не	1	4
144	и т.д	1	4
145	к ним	3	4
146	быть в	1	4
147	для другого	1	4
148	из него	4	4
149	меня не	1	4
150	от него	2	3
151	и может	4	3
152	та же	3	3
153	и на	5	3
