N	2gram	Berdyaev_V	KulturaY
1	и т	2	143
2	и в	16	84
3	в том	3	74
4	потому что	4	68
5	не только	2	60
6	в этом	4	57
7	и не	20	52
8	может быть	1	47
9	что в	3	44
10	том что	2	44
11	того чтобы	2	44
12	т д	2	42
13	в самом	1	41
14	для того	1	41
15	у нас	1	38
16	хотя бы	3	37
17	так как	9	36
18	а не	7	33
19	можно было	2	32
20	не в	3	30
21	в его	4	30
22	прежде всего	2	30
23	все же	1	29
24	того что	5	28
25	все эти	3	28
26	уже не	2	26
27	то что	9	25
28	вовсе не	1	25
29	вопрос о	1	24
30	с другой	1	24
31	еще не	8	24
32	то же	1	23
33	только в	2	23
34	так и	4	23
35	во всяком	2	20
36	и что	3	20
37	но и	5	20
38	тем что	2	19
39	что он	4	19
40	зависимости от	1	19
41	но в	3	19
42	и с	1	18
43	с тем	2	18
44	к тому	3	18
45	между тем	2	18
46	вместе с	1	18
47	как бы	5	18
48	все это	5	18
49	другой стороны	1	17
50	как это	1	17
51	что это	1	17
52	это не	2	17
53	в виду	1	16
54	что и	3	16
55	что не	4	16
56	тот же	3	16
57	ничего не	1	16
58	в русском	1	16
59	но не	2	16
60	не было	3	15
61	и тем	1	15
62	один из	2	15
63	того как	1	15
64	а в	2	15
65	лишь в	3	15
66	должно быть	3	15
67	в них	3	14
68	и на	1	14
69	хотя и	5	14
70	я не	1	14
71	в ней	4	14
72	как мы	1	14
73	крайней мере	1	13
74	в этой	1	13
75	не случайно	1	13
76	не могут	2	13
77	в которых	1	13
78	по крайней	1	13
79	для нас	2	13
80	слово это	1	13
81	с этой	1	12
82	говорить о	4	12
83	в результате	1	12
84	могут быть	2	12
85	как в	1	12
86	этого слова	1	12
87	в своем	1	11
88	в нем	4	11
89	должна быть	3	11
90	и то	2	11
91	еще и	1	11
92	и если	1	11
93	уже в	1	11
94	в их	1	11
95	как и	4	10
96	речь идет	1	10
97	так же	1	10
98	конечно не	2	10
99	к этому	1	10
100	бы в	1	10
101	не просто	1	10
102	после того	1	10
103	они не	1	10
104	бы и	3	10
105	в своей	3	9
106	что все	4	9
107	в которой	1	9
108	и есть	4	9
109	ни в	3	9
110	не имеет	3	9
111	что мы	4	9
112	но это	3	9
113	и для	3	9
114	и вот	1	9
115	в целом	1	9
116	в этих	3	8
117	но все	1	8
118	что они	7	8
119	это слово	1	8
120	тому что	3	8
121	не есть	6	8
122	в чем	3	8
123	в своих	1	8
124	а потому	1	8
125	да и	2	8
126	то и	1	8
127	что я	3	8
128	с его	3	8
129	что на	1	8
130	же и	1	7
131	в котором	4	7
132	в одном	1	7
133	указать на	1	7
134	на том	2	7
135	а с	2	7
136	в процессе	1	7
137	с ним	2	7
138	но вот	1	7
139	с ними	1	7
140	в истории	8	7
141	все равно	2	7
142	и потому	7	7
143	она не	1	7
144	не всегда	1	6
145	можно ли	1	6
146	в ее	1	6
147	и именно	1	6
148	от этого	3	6
149	могли бы	1	6
150	на этом	1	6
151	я в	1	6
152	его к	2	6
153	оно не	3	6
154	если не	3	6
155	роль в	1	6
156	когда в	2	6
157	что оно	1	6
158	мы не	2	6
159	то это	3	6
160	не с	2	6
161	это только	1	6
162	на себя	5	6
163	думаю что	1	5
164	но что	1	5
165	в духе	2	5
166	на которых	1	5
167	превращается в	3	5
168	нам право	1	5
169	никогда не	3	5
170	в конце	3	5
171	в двух	1	5
172	у него	1	5
173	но как	1	5
174	в форме	2	5
175	не так	2	5
176	мы в	1	5
177	и тогда	2	5
178	и от	1	5
179	но с	1	5
180	как не	3	5
181	лишь как	1	5
182	отношение к	1	5
183	не надо	1	5
184	есть не	1	5
185	мы и	2	4
186	о чем	1	4
187	эта не	1	4
188	мы увидим	1	4
189	вот почему	2	4
190	есть продукт	1	4
191	уже и	1	4
192	до того	2	4
193	к нему	1	4
194	всего в	2	4
195	как можно	1	4
196	будто бы	1	4
197	себе и	1	4
198	и это	2	4
199	если б	1	4
200	и все	4	4
201	и по	1	4
202	уже на	2	4
203	в известном	1	4
204	я говорю	2	4
205	не имеют	1	4
206	по сравнению	1	4
207	не понимает	1	4
208	д и	1	4
209	и было	1	4
210	по словам	1	4
211	в виде	1	4
212	вопросе о	2	4
213	нельзя не	1	4
214	это в	1	4
215	не к	2	4
216	и другие	1	3
217	все что	4	3
218	жизнь в	1	3
219	из всего	1	3
220	давно уже	2	3
221	в последнем	2	3
222	в одно	1	3
223	но мы	2	3
224	раз и	1	3
225	говорит что	1	3
226	всего что	1	3
227	к ним	1	3
228	на него	1	3
229	их сознания	1	3
230	от них	1	3
231	на котором	1	3
232	мы скажем	1	3
233	бы то	1	3
234	к жизни	1	3
235	и вместе	1	3
236	то ни	1	3
237	известном смысле	1	3
238	что есть	5	3
239	мы будем	1	3
240	если в	1	3
241	под этим	2	3
242	потребность в	1	3
243	что нет	1	3
244	вместо того	2	3
245	и мы	3	3
246	его и	2	3
247	более чем	2	3
248	нельзя более	1	3
249	и уже	1	3
250	тогда как	1	3
251	будет уже	2	3
252	и идеи	1	3
253	нет и	2	3
254	нам и	1	3
255	значение в	1	3
256	в первый	3	3
257	для него	2	3
258	не для	1	3
259	слова не	1	3
260	есть уже	2	3
261	это еще	4	3
262	менее всего	1	3
263	между собою	1	3
264	от слова	1	3
265	или даже	1	3
266	и я	4	3
267	со своей	1	3
268	что от	2	3
269	не по	1	3
270	конце концов	1	3
271	в искусстве	1	3
272	но она	1	3
273	же что	1	3
274	отказ от	1	3
275	тем чтобы	1	3
276	таким же	1	3
277	что было	2	2
278	с которыми	1	2
279	во всем	1	2
280	от него	2	2
281	которые не	2	2
282	которая в	1	2
283	любовь к	3	2
284	смысле и	1	2
285	в разных	1	2
286	именем и	1	2
287	в день	1	2
288	по пути	5	2
289	вот что	1	2
290	ведет к	1	2
291	в жизни	3	2
292	меня в	1	2
293	поскольку он	1	2
294	и сделали	1	2
295	с такой	1	2
296	но может	1	2
297	на пути	1	2
298	любви к	1	2
299	в вопросе	3	2
300	и остается	1	2
301	могут и	1	2
302	которого они	1	2
303	от смысла	1	2
304	находится в	1	2
305	в атмосфере	1	2
306	одна из	2	2
307	искусстве но	1	2
308	под конец	2	2
309	в состоянии	1	2
310	на этих	2	2
311	они будут	4	2
312	так не	2	2
313	словах как	1	2
314	является и	1	2
315	ее от	1	2
316	и говорит	1	2
317	ли ты	2	2
318	лишь к	1	2
319	он говорит	1	2
320	основной вопрос	1	2
321	в себя	2	2
322	что их	2	2
323	не был	1	2
324	материалом для	2	2
325	их не	1	2
326	это как	1	2
327	идет по	1	2
328	свое место	1	2
329	не будет	2	2
330	свой предмет	1	2
331	был в	1	2
332	для чего	1	2
333	так ли	1	2
334	и против	3	2
335	для них	2	2
336	во что	1	2
337	всегда в	1	2
338	и так	1	2
339	сравнению с	1	2
340	которого не	1	2
341	говорим мы	1	2
342	это самое	1	2
343	в словах	1	2
344	этому же	1	2
345	с самыми	1	2
346	что теперь	2	2
