N	2gram	Nazirov_Tv	SlovoVZh
1	не может	9	16
2	может быть	11	14
3	как бы	26	13
4	и его	14	13
5	таким образом	14	12
6	и в	40	12
7	отношению к	3	11
8	по отношению	3	11
9	и не	12	10
10	так как	6	9
11	если бы	4	9
12	прежде всего	10	8
13	сказать что	3	7
14	художественного произведения	1	7
15	все время	3	6
16	в ней	2	6
17	слова и	1	6
18	с помощью	1	6
19	в том	13	6
20	в процессе	3	6
21	только в	7	6
22	в нем	4	6
23	при этом	14	6
24	и др	2	5
25	можно сказать	2	5
26	героя и	4	5
27	хотя бы	5	5
28	то же	19	5
29	к предмету	1	5
30	а не	9	5
31	в виду	3	5
32	то что	9	5
33	в жизни	3	5
34	как и	16	5
35	как в	10	5
36	отнюдь не	9	5
37	том что	14	5
38	но в	11	5
39	никогда не	13	5
40	в самом	6	4
41	и к	1	4
42	в литературе	4	4
43	и на	12	4
44	не только	16	4
45	ни было	1	4
46	и является	1	4
47	на самом	3	4
48	его в	2	4
49	литературы и	1	4
50	мы все	1	4
51	с другой	4	4
52	не в	3	4
53	дело в	4	4
54	отношение к	1	4
55	что не	5	4
56	так и	5	4
57	уже не	6	4
58	жизни и	3	4
59	в этом	11	4
60	все же	9	4
61	к нему	1	4
62	бы то	1	3
63	как к	2	3
64	и с	9	3
65	ее и	2	3
66	находит свое	1	3
67	к герою	1	3
68	до сих	1	3
69	это как	4	3
70	и более	2	3
71	в котором	8	3
72	с героем	1	3
73	и по	5	3
74	в поэзии	1	3
75	так называемой	1	3
76	мы не	3	3
77	то ни	1	3
78	между тем	2	3
79	для него	9	3
80	отношении к	2	3
81	с ним	4	3
82	того что	3	3
83	и уже	1	3
84	когда он	4	3
85	тем не	2	3
86	имеет в	2	3
87	все это	14	3
88	ни в	2	3
89	с автором	1	3
90	в пределах	1	3
91	сколько бы	1	3
92	по себе	2	3
93	так же	6	3
94	в них	1	3
95	из общего	1	3
96	в творчестве	10	3
97	самом деле	4	3
98	только на	2	3
99	в себе	3	3
100	ясно что	1	3
101	все эти	3	3
102	о том	9	3
103	в своей	8	3
104	не менее	8	3
105	из этого	1	3
106	в художественном	1	3
107	художественного творчества	1	3
108	в такой	2	3
109	нуждается в	2	3
110	да и	1	3
111	но и	10	3
112	точка зрения	2	3
113	художественное произведение	1	3
114	и ее	1	3
115	и наконец	3	3
116	сих пор	1	3
117	не к	2	3
118	еще не	5	3
119	что в	17	2
120	все они	1	2
121	нет ничего	1	2
122	перестает быть	1	2
123	но это	10	2
124	не так	5	2
125	и потому	4	2
126	действия и	3	2
127	и другие	4	2
128	ни на	3	2
129	опираясь на	3	2
130	влияние на	3	2
131	героя или	1	2
132	в данном	2	2
133	в душе	4	2
134	в то	23	2
135	еще раз	1	2
136	по природе	6	2
137	сливается с	4	2
138	к слову	1	2
139	данном случае	2	2
140	в момент	5	2
141	со всех	1	2
142	нас и	1	2
143	в основном	9	2
144	зависит от	4	2
145	с одной	2	2
146	уже в	5	2
147	в его	19	2
148	с этой	4	2
149	она не	2	2
150	это не	9	2
151	одной стороны	1	2
152	автора и	1	2
153	как уже	2	2
