N	4gram	Tiupa_Hudo	Problema
1	не что иное как	1	14
2	есть не что иное	1	11
3	в той или иной	2	10
4	но в таком случае	1	7
5	заключается в том что	1	6
6	той или иной мере	1	6
7	бы то ни было	2	6
8	а с другой стороны	1	4
9	одним и тем же	1	4
10	одно и то же	3	4
11	еще и потому что	1	4
12	ни в коем случае	2	4
13	в том числе и	2	4
14	в связи с этим	1	4
15	в том или ином	1	4
16	и в то же	2	3
17	одного и того же	3	3
18	с этой точки зрения	2	3
19	с одной стороны и	1	3
20	в том что он	2	3
21	но в то же	1	3
22	сама по себе а	1	2
23	с точки зрения логики	1	2
24	не сама по себе	1	2
25	в войне и мире	2	2
26	мы имеем в виду	3	2
27	можно даже сказать что	1	2
28	себе отчет в том	1	2
29	чего бы то ни	1	2
30	а иной раз и	1	2
31	в узком значении этого	1	1
32	о том о чем	1	1
33	дело не в самом	1	1
34	всегда так или иначе	1	1
35	узком значении этого слова	1	1
36	в то же время	7	1
37	в преступлении и наказании	1	1
38	и в самом деле	2	1
39	мы имеем дело не	1	1
40	в одном и том	1	1
41	по себе а в	1	1
42	уходит своими корнями в	1	1
43	тех или иных первичных	1	1
44	том или ином отношении	1	1
45	состоит в том что	4	1
46	как один из видов	1	1
47	в виду не только	3	1
48	и того же типа	1	1
49	в том случае если	1	1
50	той или иной эстетической	1	1
51	а в то же	1	1
52	по себе еще не	1	1
53	из тех или иных	1	1
54	не может быть и	1	1
55	которые лежат в основе	1	1
56	одном и том же	1	1
57	в коем случае не	2	1
58	с другой стороны не	1	1
59	не содержит в себе	1	1
60	чего нет в его	1	1
61	в одной из своих	1	1
62	какой бы то ни	1	1
63	мы имеем дело с	1	1
64	между внутренней и внешней	1	1
