N	3gram	Losev_Dial	Otkroven
1	для того чтобы	1	3
2	в нем нет	2	3
3	не могут быть	3	2
4	с тем что	1	2
5	в этом мире	1	2
6	как и все	5	2
7	не может быть	12	2
8	искать не в	1	2
9	ли сказать что	1	2
10	можно ли сказать	1	2
11	и никогда не	1	2
12	это было бы	3	2
13	и в этом	4	2
14	что у него	1	2
15	сам по себе	6	1
16	хотя и не	2	1
17	еще не овладел	1	1
18	о том что	6	1
19	в том что	12	1
20	ничто не может	1	1
21	не в том	5	1
22	а иногда и	1	1
23	есть не только	3	1
24	и то что	1	1
25	вообще но и	1	1
26	не те которые	1	1
27	и вопрос о	1	1
28	как и в	3	1
29	не только одно	1	1
30	не есть просто	6	1
31	в самом деле	6	1
32	и не в	1	1
33	по себе есть	1	1
34	во всяком случае	3	1
35	никто не имеет	1	1
36	есть момент в	1	1
37	это не есть	3	1
38	т е от	1	1
39	как бы в	1	1
40	как это часто	1	1
41	и на нем	1	1
42	о том как	2	1
43	само по себе	8	1
44	и прежде всего	6	1
45	в этом отношении	2	1
46	и все это	1	1
47	да и то	1	1
48	по сравнению с	1	1
49	это потому что	1	1
50	потому что в	1	1
51	а не только	2	1
52	да ведь это	1	1
53	на то что	3	1
54	чем в других	1	1
55	по природе своей	1	1
56	от того что	4	1
57	том что в	1	1
58	прежде всего в	1	1
59	должна быть не	2	1
60	и в том	1	1
61	все что было	1	1
62	он и не	1	1
63	и потому это	1	1
64	и не может	1	1
65	не в силах	2	1
66	как бы и	1	1
