N	3gram	Tiupa_Anal	VLabPisa
1	в этом отношении	5	14
2	и т п	3	9
3	не может быть	17	8
4	с другой стороны	2	8
5	по отношению к	9	7
6	более или менее	2	6
7	в том что	13	5
8	в конечном счете	5	5
9	хотя бы и	1	5
10	в художественном творчестве	1	5
11	в зависимости от	1	5
12	в то же	9	5
13	то же время	7	5
14	в художественном произведении	1	4
15	вместе с тем	1	4
16	равно как и	1	4
17	можно сказать что	1	4
18	можно утверждать что	1	4
19	не могут быть	2	4
20	в связи с	2	4
21	к тому что	2	4
22	а всего лишь	1	3
23	большей или меньшей	4	3
24	не удивительно что	2	3
25	о том как	1	3
26	для того чтобы	3	3
27	о том что	8	3
28	о том же	1	3
29	подобно тому как	5	3
30	следует понимать как	2	2
31	в частности к	1	2
32	не только для	1	2
33	во всяком случае	1	2
34	в том чтобы	7	2
35	по крайней мере	4	2
36	в результате чего	2	2
37	этой точки зрения	2	2
38	в том числе	3	2
39	не в том	3	2
40	в большей или	1	2
41	в силу тех	1	2
42	в противном случае	1	2
43	приводит к тому	1	2
44	до сих пор	1	2
45	не только не	2	2
46	вынести за скобки	1	2
47	том числе и	1	2
48	или меньшей степени	1	2
49	не только в	3	2
50	во всех этих	1	2
51	в частности в	2	2
52	только в том	1	2
53	с одной стороны	6	2
54	носит в себе	1	2
55	также и в	1	2
56	можно было бы	1	2
57	и не может	4	2
58	виду что в	1	1
59	в той или	3	1
60	а как бы	1	1
61	в свою очередь	1	1
62	в том же	1	1
63	того или иного	3	1
64	как будто бы	1	1
65	той или иной	8	1
66	представляет собою не	1	1
67	в применении к	1	1
68	том смысле что	1	1
69	на то что	2	1
70	а вместе с	1	1
71	и он же	1	1
72	могут быть причислены	1	1
73	но и в	3	1
74	в том смысле	1	1
75	в этом смысле	3	1
76	как это было	1	1
77	того что мы	1	1
78	его собственному признанию	1	1
79	в том случае	1	1
80	имеем в виду	1	1
81	же свидетельствует и	1	1
82	бы он был	1	1
83	в этом случае	4	1
84	том или ином	4	1
85	говоря уже о	1	1
86	дело не в	2	1
87	с этой точки	2	1
88	в виду не	1	1
89	силу тех или	1	1
90	в самом деле	3	1
91	быть сведена к	1	1
92	как один из	1	1
93	и во всех	1	1
94	именно к этому	1	1
95	него могут быть	1	1
96	далеко не всегда	2	1
97	мы встречаемся с	1	1
98	любой из которых	1	1
99	это происходит в	1	1
100	тех или иных	3	1
101	а между тем	1	1
102	и следовало ожидать	1	1
103	основательно прежде всего	1	1
104	и то же	2	1
105	на этот вопрос	1	1
106	оказывается далеко не	1	1
107	в таком случае	5	1
108	как это происходит	1	1
109	все же не	1	1
110	следует смешивать с	1	1
111	не говоря уже	1	1
112	так или иначе	1	1
113	не обходится в	1	1
114	со всех сторон	1	1
115	в творческом процессе	1	1
116	что один из	1	1
117	сами по себе	3	1
118	себя свою душу	1	1
119	почти то же	1	1
120	о свободе воли	2	1
121	по себе в	1	1
122	превращать ее в	1	1
123	именно в этом	2	1
124	ответ на этот	1	1
125	одно и то	2	1
126	но в то	2	1
127	то или иное	1	1
128	по меньшей мере	1	1
129	однако при всем	1	1
130	по аналогии с	1	1
131	обычно относят к	1	1
132	и вместе с	1	1
133	еще не означает	1	1
134	еще в году	1	1
135	по его собственному	1	1
136	или говоря иначе	1	1
137	в соответствии с	2	1
138	в данном случае	3	1
139	том же свидетельствует	1	1
140	в том или	3	1
141	всего может быть	1	1
142	взаимодействует с другими	1	1
143	а в том	1	1
144	на этом этапе	1	1
145	произведения так и	1	1
146	к тому же	6	1
147	в творческом акте	2	1
148	в его противопоставлении	1	1
149	как если бы	1	1
150	повествования во всех	1	1
151	бы и в	1	1
152	то же самое	3	1
153	том случае если	1	1
154	сама по себе	1	1
155	может быть сведена	1	1
156	с другими как	1	1
157	не случайно и	1	1
158	не требуется чтобы	1	1
159	не следует смешивать	1	1
160	в целом но	1	1
161	и в качестве	1	1
162	хотя бы с	1	1
163	а не только	2	1
164	только тогда когда	1	1
165	или ином отношении	1	1
166	оно может быть	1	1
167	нет и не	2	1
168	и служит для	1	1
169	имеем дело с	4	1
170	но и для	1	1
171	если бы он	1	1
172	мы имеем дело	7	1
