N	4gram	Tiupa_Anal	Problema
1	не что иное как	1	14
2	есть не что иное	1	11
3	в той или иной	2	10
4	дело в том что	3	10
5	не говоря уже о	1	7
6	но в таком случае	1	7
7	заключается в том что	1	6
8	той или иной мере	1	6
9	по крайней мере в	2	6
10	во всяком случае не	1	4
11	в том или ином	1	4
12	в тех случаях когда	1	3
13	одного и того же	4	3
14	в том что он	2	3
15	в войне и мире	2	2
16	одной и той же	2	2
17	один и тот же	1	2
18	доходит до того что	1	2
19	мысль о том что	1	2
20	уже по одному этому	1	2
21	но с другой стороны	1	2
22	что в конце концов	1	2
23	прибавим к этому что	1	1
24	по крайней мере не	1	1
25	с той или иной	2	1
26	ни то ни другое	1	1
27	который в свою очередь	2	1
28	и в данном случае	1	1
29	и есть не что	1	1
30	и сам по себе	1	1
31	дело не в самом	1	1
32	в то же время	7	1
33	тех случаях когда мы	1	1
34	дело здесь не только	4	1
35	в такой же мере	1	1
36	перед нами единая и	1	1
37	мы имеем дело не	2	1
38	имеем дело не с	1	1
39	подобно тому например как	1	1
40	с другой стороны и	1	1
41	тем не менее как	1	1
42	в конце концов мы	1	1
43	здесь не только в	3	1
44	то что не есть	1	1
45	в том что мы	1	1
46	состоит в том что	1	1
47	о и а и	1	1
48	не для того чтобы	1	1
49	по себе еще не	1	1
50	для себя не только	1	1
51	в данном случае совершенно	1	1
52	приходит к выводу что	1	1
53	в сравнении с тем	1	1
54	данном случае совершенно не	1	1
55	не менее как бы	1	1
56	чего нет в его	1	1
57	в одной из своих	2	1
58	требует для себя не	1	1
59	мы имеем дело с	1	1
60	между внутренней и внешней	1	1
