N	3gram	Losev_Dial	Stilisti
1	в то же	3	9
2	для того чтобы	1	7
3	в зависимости от	3	7
4	то же время	3	7
5	того или иного	3	5
6	с точки зрения	25	5
7	одно и то	2	5
8	мы никогда не	1	5
9	и то же	2	5
10	той или иной	2	4
11	то или иное	4	4
12	ту или иную	1	4
13	и той же	4	4
14	одной и той	4	4
15	с самого начала	1	4
16	то же самое	1	4
17	то что мы	3	4
18	прежде всего в	1	4
19	как мы уже	1	3
20	на самом деле	1	3
21	в конце концов	1	3
22	тех или иных	2	3
23	не только в	1	3
24	не забудем что	1	3
25	как бы в	1	3
26	в самом деле	6	2
27	есть не что	3	2
28	мы не имеем	2	2
29	к чему не	1	2
30	мы видим что	2	2
31	не может быть	12	2
32	о том что	6	2
33	решительно ничего не	1	2
34	можно сказать что	1	2
35	имели в виду	1	2
36	и как бы	2	2
37	и кроме того	1	2
38	мы будем говорить	1	2
39	связи с этим	1	2
40	не было бы	1	2
41	но при этом	1	2
42	не что иное	6	2
43	но в то	1	2
44	та же самая	1	2
45	только потому что	1	2
46	и в то	2	2
47	у нас не	1	2
48	равно как и	2	2
49	и в основе	1	2
50	в связи с	3	2
51	к тому что	2	2
52	что иное как	6	2
53	ни к чему	1	2
54	той же самой	1	2
55	что же такое	3	2
56	в этом отношении	2	2
57	и не только	5	2
58	не должно быть	2	2
59	тот или иной	2	2
60	только как результат	1	1
61	в нашем случае	1	1
62	допустим что это	1	1
63	так и от	1	1
64	в том что	12	1
65	но то что	2	1
66	забудем что мы	1	1
67	своего бытия в	1	1
68	в одном из	1	1
69	что мы не	1	1
70	не может сказать	1	1
71	несмотря на свою	1	1
72	сознание которое не	1	1
73	это как бы	1	1
74	о котором мы	1	1
75	нет ничего что	1	1
76	он к своему	1	1
77	представим себе что	1	1
78	в конечном счете	1	1
79	только мы начинаем	1	1
80	в которой живет	1	1
81	как и вообще	1	1
82	только одна из	1	1
83	но все эти	1	1
84	по крайней мере	10	1
85	одних и тех	2	1
86	как только мы	3	1
87	и в особенности	1	1
88	то что именно	1	1
89	социальное и историческое	1	1
90	от тех или	1	1
91	и в отношении	1	1
92	его нельзя ни	1	1
93	в собственном смысле	1	1
94	в жизни и	1	1
95	как и в	3	1
96	теперь мы можем	1	1
97	что это значит?	2	1
98	или иную степень	1	1
99	не только его	2	1
100	тот факт что	1	1
101	конечно гораздо более	1	1
102	мы как раз	2	1
103	и ни от	2	1
104	и во всех	1	1
105	тем не менее	10	1
106	можно говорить лишь	1	1
107	сама история но	1	1
108	заметим пока что	1	1
109	и что же	1	1
110	будем говорить не	1	1
111	и тех же	2	1
112	точками зрения в	1	1
113	более или менее	1	1
114	нас есть такие	1	1
115	по сравнению с	1	1
116	независимо от того	1	1
117	что же мы	1	1
118	но даже и	3	1
119	и та же	3	1
120	тем самым не	1	1
121	тем что его	1	1
122	мы приходим к	1	1
123	не говоря уже	6	1
124	говорить не о	1	1
125	хотя бы на	1	1
126	не очевидно что	1	1
127	до сих пор	1	1
128	у нас есть	1	1
129	не смог бы	1	1
130	таким образом речь	1	1
131	иметь в виду	3	1
132	содержит в себе	2	1
133	ни от чего	5	1
134	о том какую	1	1
135	и оказывается что	2	1
136	само по себе	8	1
137	без сновидений и	1	1
138	как бы по	1	1
139	как мы это	1	1
140	мы имеем в	1	1
141	но если бы	1	1
142	ту же тему	1	1
143	мы ведь уже	1	1
144	и никогда не	1	1
145	по себе не	1	1
146	прежде всего с	1	1
147	же как мы	1	1
148	и не мог	2	1
149	и вообще не	1	1
150	в обычных условиях	1	1
151	не только на	1	1
152	не только о	3	1
153	не только не	7	1
154	но откуда я	1	1
155	и при этом	2	1
156	не может не	3	1
157	хотя бы только	2	1
158	может сказать ни	1	1
159	одна и та	3	1
160	как раз и	3	1
161	не является ли	1	1
162	одной из сторон	1	1
163	та или иная	3	1
164	и в вопросе	1	1
165	но каким образом	1	1
166	достаточно чтобы убедиться	1	1
167	с другой стороны	3	1
168	нет ничего удивительного	1	1
169	перед нами не	1	1
170	вопрос о том	1	1
171	но как только	1	1
172	только тогда когда	6	1
173	в его голове	1	1
174	по самой своей	1	1
175	и нет ничего	4	1
176	в виду что	2	1
177	мы показали что	1	1
178	тех или других	4	1
179	вовсе и не	1	1
180	все что было	1	1
181	мы не можем	2	1
182	и не может	1	1
183	и в этом	4	1
184	если мы будем	1	1
185	категорически утверждать что	1	1
186	что такое сознание	1	1
