N	2gram	Losev_Prob	Tvorches
1	у достоевского	4	91
2	и в	48	56
3	как бы	10	41
4	в его	19	37
5	в романе	2	34
6	романах достоевского	1	32
7	в то	6	30
8	в романах	2	30
9	князя мышкина	1	28
10	достоевского в	1	27
11	то же	6	25
12	в году	9	24
13	не только	28	24
14	же время	1	24
15	но в	17	24
16	как и	10	23
17	то есть	38	23
18	и не	29	23
19	а в	8	23
20	и его	11	23
21	в этом	31	22
22	и т	2	22
23	достоевского не	1	22
24	что в	12	21
25	в том	25	21
26	он не	4	19
27	том что	29	19
28	может быть	11	19
29	потому что	21	19
30	в преступлении	1	19
31	у него	13	18
32	то что	26	18
33	преступлении и	1	18
34	таким образом	20	17
35	и на	9	17
36	и наказании	1	17
37	что он	12	17
38	т д	1	17
39	все это	8	17
40	при этом	6	16
41	но и	21	16
42	никогда не	7	16
43	как в	3	16
44	в бесах	1	16
45	прежде всего	15	16
46	не может	6	16
47	и с	10	15
48	xix века	1	15
49	в мире	1	15
50	но это	7	15
51	в этой	14	15
52	с его	3	15
53	и даже	24	14
54	это не	8	14
55	там же	2	13
56	о том	17	13
57	времени в	1	13
58	а не	7	13
59	в котором	5	12
60	тем самым	2	12
61	в своей	29	11
62	все же	12	11
63	отнюдь не	14	11
64	преступления и	2	11
65	братьях карамазовых	1	11
66	для него	2	11
67	в самом	7	10
68	представление о	2	10
69	он сам	3	10
70	в русской	4	10
71	не в	16	10
72	в конце	10	10
73	только в	21	10
74	когда он	3	10
75	уже в	4	10
76	так и	15	10
77	но не	12	10
78	как будто	9	10
79	в душе	1	9
80	в своих	3	9
81	наряду с	2	9
82	по природе	1	9
83	а затем	1	9
84	в братьях	1	9
85	по мнению	3	9
86	и от	7	9
87	один из	2	9
88	жизни в	7	9
89	в свою	4	9
90	человека в	3	9
91	в нем	8	9
92	даже в	2	8
93	в духе	4	8
94	именно в	11	8
95	не менее	8	8
96	так же	7	8
97	к этому	2	8
98	ивана карамазова	1	8
99	хотя и	10	8
100	одним из	1	8
101	это уже	4	8
102	вместе с	15	8
103	одной из	5	8
104	еще не	4	8
105	в себе	7	8
106	так как	10	8
107	в их	4	8
108	романов достоевского	1	8
109	на его	4	8
110	об этом	11	8
111	вовсе не	18	8
112	человека и	4	8
113	русской литературе	3	7
114	в этих	3	7
115	и сам	5	7
116	например в	1	7
117	уже не	12	7
118	казалось бы	1	7
119	в дальнейшем	7	7
120	за собой	1	7
121	он видит	3	7
122	что она	2	7
123	и он	5	7
124	в которой	7	7
125	в чем	3	7
126	в рассказе	2	7
127	не случайно	1	7
128	своего рода	1	7
129	человеческой личности	1	7
130	достоевского и	1	7
131	самом деле	3	7
132	и оскорбленных	1	7
133	униженных и	1	7
134	еще более	4	6
135	не столько	1	6
136	о великом	2	6
137	и как	10	6
138	если он	4	6
139	на эту	2	6
140	но у	1	6
141	хотя бы	11	6
142	его романов	1	6
143	достоевского но	1	6
144	его в	9	6
145	человек по	1	6
146	братьев карамазовых	1	6
147	так что	18	6
148	и ее	2	6
149	и далее	1	6
150	с ним	4	6
151	если бы	2	6
152	и все	12	6
153	достоевского нет	1	6
154	в повести	1	6
155	все эти	12	6
156	ли не	2	6
157	и другие	4	5
158	из всех	2	5
159	что человек	1	5
160	в них	5	5
161	что этот	6	5
162	с другой	8	5
163	больше не	1	5
164	приходит к	2	5
165	по отношению	2	5
166	в своем	16	5
167	в одной	2	5
168	во всей	1	5
169	все время	5	5
170	из них	4	5
171	что они	4	5
172	что у	6	5
173	в петербурге	2	5
174	на него	3	5
175	в ее	6	5
176	что и	8	5
177	не было	4	5
178	что не	3	5
179	в таком	4	5
180	я не	3	5
181	и это	3	5
182	и у	8	5
183	а с	4	5
184	героя и	1	5
185	что это	4	5
186	т п	1	5
187	в наше	1	5
188	если не	6	5
189	между тем	2	5
190	процесса в	1	5
191	с большой	1	5
192	в первой	2	5
193	дело не	1	5
194	значит что	3	5
195	наше время	1	5
196	не так	4	5
197	с этим	3	5
198	в белых	1	5
199	в идиоте	2	5
200	в россии	2	5
201	это все	2	5
202	в истории	1	5
203	до конца	4	5
204	в образе	2	5
205	том же	2	5
206	тот же	6	5
207	ничего не	3	5
208	из этой	1	5
209	мы не	7	5
