N	2gram	Tiupa_Vved	KFilosof
1	может быть	25	45
2	в его	9	42
3	в нем	9	32
4	не может	14	29
5	и не	24	28
6	и в	23	28
7	в бытии	3	26
8	по отношению	11	26
9	в котором	11	24
10	не есть	2	22
11	для меня	1	22
12	отношению к	11	22
13	в себе	15	21
14	только в	9	18
15	и его	9	18
16	в своем	9	17
17	в ее	1	17
18	а не	31	17
19	в этом	27	15
20	для него	5	13
21	не в	12	13
22	точки зрения	1	13
23	к нему	2	12
24	мир в	1	12
25	но не	9	12
26	и это	2	12
27	в своей	10	11
28	все эти	1	11
29	во всех	2	11
30	все это	3	10
31	это не	7	10
32	в едином	3	10
33	и есть	2	10
34	от себя	2	10
35	и для	8	10
36	в целом	4	10
37	в их	2	9
38	и все	8	9
39	но и	31	9
40	как бы	8	9
41	для нее	1	9
42	и единственном	1	9
43	не было	5	8
44	если бы	10	8
45	быть только	2	8
46	в мире	9	8
47	со стороны	15	8
48	было бы	4	8
49	лишь в	4	8
50	жизни и	8	8
51	не-алиби в	1	8
52	себя в	4	8
53	во всем	1	7
54	и здесь	2	7
55	со мной	1	7
56	что и	6	7
57	должен быть	3	7
58	вовсе не	1	7
59	уже не	7	7
60	совершенно не	2	7
61	то что	9	7
62	на основе	2	7
63	для себя	2	7
64	момент в	1	7
65	и только	2	7
66	отнюдь не	14	7
67	ее и	2	6
68	только изнутри	1	6
69	не имеет	3	6
70	и я	1	6
71	ко мне	1	6
72	смысл и	1	6
73	в том	21	6
74	и их	1	6
75	отношение к	5	6
76	место в	2	6
77	действительного мира	1	6
78	он не	6	6
79	но это	4	6
80	мира в	8	6
81	от его	1	5
82	в событии	6	5
83	то же	8	5
84	мы имеем	8	5
85	не только	32	5
86	с ним	3	5
87	но как	1	5
88	и единственной	1	5
89	его в	1	5
90	не знает	2	5
91	в основе	6	5
92	но в	14	5
93	именно в	1	5
94	бы быть	1	5
95	как и	21	5
96	все же	10	5
97	жизни в	5	5
98	себя и	1	5
99	бытия но	2	5
100	еще не	8	5
101	что я	2	5
102	хотя бы	2	5
103	в одном	5	5
104	от своей	1	5
105	а в	15	5
106	жизни как	2	5
107	в контексте	4	5
108	событие в	1	5
109	там где	1	5
110	бытия в	3	5
111	никогда не	6	5
112	что в	6	4
113	должна быть	3	4
114	при этом	43	4
115	что это	2	4
116	о нем	1	4
117	не как	2	4
118	для нас	4	4
119	прежде всего	11	4
120	с другим	1	4
121	в своих	5	4
122	как его	2	4
123	с ними	2	4
124	за свое	1	4
125	мира и	5	4
126	в категориях	2	4
127	том что	16	4
128	в чем	2	4
