N	2gram	Bakhtin_Pr	IolandNe
1	и с	9	3
2	что в	11	2
3	записок из	2	2
4	достоевского а	1	2
5	он не	14	2
6	должен быть	1	2
7	творчества достоевского	9	2
8	ничего не	8	2
9	о достоевском	7	2
10	и не	55	2
11	в этом	33	2
12	все эти	13	1
13	для того	1	1
14	и очень	1	1
15	а в	10	1
16	и о	7	1
17	же это	1	1
18	утверждает что	1	1
19	это было	1	1
20	самого достоевского	7	1
21	и со	4	1
22	и та	1	1
23	что для	2	1
24	для него	23	1
25	с героем	3	1
26	тем что	6	1
27	только что	1	1
28	бы его	1	1
29	ибо и	2	1
30	от нее	2	1
31	и чрезвычайно	1	1
32	того же	3	1
33	художественного творчества	5	1
34	не так	1	1
35	и др	7	1
36	жизни и	3	1
37	с другой	7	1
38	в целом	8	1
39	было не	1	1
40	литература о	1	1
41	другой стороны	6	1
42	я не	6	1
43	себя в	3	1
44	и оскорбленных	1	1
45	произведения и	2	1
46	автор не	2	1
47	могло бы	1	1
48	то и	3	1
49	и еще	2	1
50	если бы	12	1
51	отношению к	12	1
52	в художественном	6	1
53	по существу	6	1
54	и сам	6	1
55	очень своеобразный	1	1
56	того что	3	1
57	них не	1	1
58	а с	2	1
59	для других	2	1
60	стало быть	1	1
61	из подполья	12	1
62	по поводу	1	1
63	не кто	1	1
64	так то	1	1
65	его цель	1	1
66	остается как	1	1
67	так и	8	1
68	художественном творчестве	3	1
69	автора и	7	1
70	в основе	4	1
71	в значительной	1	1
72	о творчестве	1	1
73	следовательно в	1	1
74	к достоевскому	1	1
75	очерк и	1	1
76	от этого	2	1
77	униженных и	1	1
78	того чтобы	2	1
79	бы в	7	1
80	не дает	3	1
81	достоевского с	4	1
82	и в	64	1
83	его личности	1	1
84	видит в	1	1
85	никогда не	11	1
86	все это	9	1
87	по отношению	12	1
88	со всеми	2	1
89	на котором	3	1
90	был человек	1	1
91	нисколько не	3	1
92	то она	1	1
93	в них	5	1
94	во многом	1	1
