N	4gram	Propp_Isto	Dialekti
1	не что иное как	1	18
2	в то же время	1	14
3	и т д и	1	14
4	одно и то же	2	12
5	т д и т	1	12
6	д и т д	1	12
7	есть не что иное	1	11
8	в то время как	3	8
9	и тем не менее	2	5
10	с этой точки зрения	2	4
11	и т д все	2	4
12	в том смысле что	1	4
13	ничего не говорит о	1	4
14	с одной стороны и	1	4
15	иметь в виду что	1	4
16	вовсе не в том	1	3
17	и т д в	1	3
18	а с точки зрения	1	2
19	не потому что он	1	2
20	мы уже знаем что	1	2
21	и с другой стороны	1	2
22	убежден в том что	1	2
23	дело вовсе не в	1	2
24	есть одно и то	2	2
25	как один из видов	1	2
26	ничего не говорит об	1	2
27	тем не менее в	1	2
28	так же как и	4	2
29	но тем не менее	1	1
30	отходит на задний план	1	1
31	еще ничего не говорит	1	1
32	и т д или	3	1
33	и т д мы	3	1
34	т д с другой	1	1
35	с другой стороны в	1	1
36	и с этой стороны	1	1
37	что для того чтобы	1	1
38	и вместе с тем	1	1
39	вопрос о том что	1	1
40	во-первых мы видим что	1	1
41	д с другой стороны	1	1
42	т д или же	2	1
43	же как и в	1	1
44	а не потому что	1	1
45	коня и т д	1	1
46	до сих пор не	1	1
47	точно так же как	2	1
48	и т д с	1	1
49	сам по себе не	1	1
50	в том что она	1	1
51	я думаю что это	1	1
52	с другой стороны эта	1	1
53	внимание на то что	1	1
54	о которых шла речь	1	1
55	даже если бы мы	2	1
56	но дело не в	1	1
57	мы до сих пор	2	1
58	до сих пор говорили	1	1
59	которые не могут быть	1	1
60	только для того чтобы	1	1
61	он не может быть	1	1
62	по мере того как	3	1
