N	4gram	Losev_Dial	formyVre
1	в то же время	3	18
2	и в то же	2	8
3	как мы уже сказали	1	6
4	с одной стороны и	1	5
5	мы имеем в виду	1	5
6	одно и то же	2	5
7	в то время как	6	4
8	в связи с этим	1	4
9	одних и тех же	2	4
10	ни в чем не	1	3
11	можно прямо сказать что	1	3
12	но в то же	1	3
13	так же как и	1	3
14	одна и та же	3	2
15	друг от друга и	1	2
16	с этой точки зрения	4	1
17	ни от чего не	5	1
18	как и все прочие	1	1
19	и в этом мире	1	1
20	в том что в	1	1
21	что в основе их	1	1
22	как мы это уже	1	1
23	мы вовсе не имеем	1	1
24	одной и той же	4	1
25	все это не имеет	1	1
26	в том что они	1	1
27	лежит и в основе	1	1
28	и ни от чего	2	1
29	до сих пор говорили	1	1
30	мы до сих пор	1	1
31	жизнь со всеми ее	1	1
32	и т д он	1	1
33	и пр и пр	1	1
34	но это значит что	2	1
35	в том что все	1	1
36	и в частности от	1	1
