N	2gram	Losev_Dial	UchenyiS
1	и в	35	14
2	не только	26	10
3	а не	24	10
4	и не	51	8
5	прежде всего	14	8
6	то что	25	7
7	вот почему	1	7
8	в этом	18	7
9	не может	16	7
10	может быть	30	6
11	в искусстве	2	6
12	хотя бы	6	5
13	то же	21	5
14	и только	5	5
15	все это	14	5
16	с другой	10	4
17	в этой	3	4
18	конечно не	9	4
19	что такое	13	4
20	но и	17	4
21	в их	5	4
22	к сожалению	2	3
23	было бы	14	3
24	не о	5	3
25	и то	15	3
26	только к	2	3
27	или точнее	2	3
28	как такового	1	3
29	для этого	2	3
30	очевидно что	1	3
31	это не	18	3
32	как и	10	3
33	для него	2	3
34	формы в	1	3
35	в своей	9	3
36	все же	9	3
37	ни было	2	3
38	в области	2	3
39	в частности	4	3
40	в то	10	3
41	не как	4	3
42	другой стороны	7	3
43	но в	8	3
44	же время	9	3
45	этого термина	1	2
46	литературы и	1	2
47	все они	2	2
48	таким образом	5	2
49	в самом	6	2
50	если не	1	2
51	же не	4	2
52	не приходится	1	2
53	могли бы	1	2
54	его и	1	2
55	если бы	12	2
56	самом деле	6	2
57	могут быть	6	2
58	не в	12	2
59	ни от	2	2
60	это было	4	2
61	бы и	4	2
62	и с	10	2
63	до сих	4	2
64	их и	1	2
65	же самое	3	2
66	еще ничего	1	2
67	крайней мере	11	2
68	как таковой	6	2
69	но не	9	2
70	по существу	2	2
71	форму и	2	2
72	мы и	3	2
73	тем что	2	2
74	как принцип	1	2
75	в себе	23	2
76	в его	4	2
77	в конце	5	2
78	даже и	3	2
79	должна быть	5	2
80	мы не	1	2
81	мы получаем	4	2
82	именно как	2	2
83	ничего не	19	2
84	всех этих	4	2
85	между тем	3	2
86	что она	18	2
87	не есть	67	2
88	что он	16	2
89	в широком	2	2
90	конце концов	4	2
91	при таком	1	2
92	этом отношении	2	2
93	только прием	1	2
94	о чем	4	2
95	как раз	7	2
96	интереса к	2	2
97	тех или	5	2
98	не могут	4	2
99	а как	1	2
100	что мы	3	2
101	в том	20	2
102	это уже	2	2
103	том что	18	2
104	надо было	1	2
105	или иных	1	2
106	но это	12	2
107	этом смысле	4	2
108	но даже	1	2
109	а о	2	2
110	и для	2	2
111	в системе	2	2
112	и является	2	2
113	что и	7	2
114	в сторону	1	2
115	а между	1	2
116	и у	2	2
117	превращается в	2	2
118	на первый	2	2
119	сих пор	4	2
120	по крайней	11	2
121	только в	7	2
122	по себе	39	2
123	что все	2	2
124	не все	1	2
125	вопроса о	1	2
126	но конечно	2	2
127	было у	1	1
128	первый взгляд	2	1
129	в той	4	1
130	было и	1	1
131	так то	2	1
132	все в	2	1
133	что в	19	1
134	построения и	1	1
135	не было	7	1
136	остается в	1	1
137	так или	3	1
138	бы только	2	1
139	и даже	23	1
140	так всегда	1	1
141	этого и	1	1
142	более или	5	1
143	но тут	3	1
144	всего что	1	1
145	первую очередь	1	1
146	и потому	6	1
147	и этого	2	1
148	конечно это	1	1
149	столько же	1	1
150	но он	3	1
151	исторических фактов	2	1
152	или просто	1	1
153	в которой	3	1
154	не самый	2	1
155	сколько и	1	1
156	можно сказать	10	1
157	поэзии же	1	1
158	этого не	1	1
159	или меньшей	1	1
160	мы можем	5	1
161	что же	5	1
162	которой все	1	1
163	отлична от	2	1
164	или иначе	3	1
165	в данном	5	1
166	и быть	2	1
167	таковы в	1	1
168	все его	3	1
169	существует в	1	1
170	что под	3	1
171	бы равносильно	1	1
172	что ему	1	1
173	как таковая	2	1
174	больше чем	1	1
175	от смысла	5	1
176	быть по	1	1
177	еще раз	2	1
178	почему все	1	1
179	нет и	2	1
180	как на	1	1
181	равно как	1	1
182	есть наука	3	1
183	и вы	3	1
184	оказывается чрезвычайно	1	1
185	религии и	4	1
186	никогда и	1	1
187	со своими	2	1
188	и все	11	1
189	объекта и	2	1
190	которые могли	1	1
191	слова а	1	1
192	что этот	3	1
193	анализу и	1	1
194	что угодно	2	1
195	содержание и	2	1
196	из самых	1	1
197	научного анализа	1	1
198	состоит из	3	1
199	же как	3	1
200	направлено на	1	1
201	сказать что	19	1
202	в сфере	2	1
203	и эта	3	1
204	время на	1	1
205	она должна	2	1
206	данном случае	1	1
207	почему и	1	1
208	его как	1	1
209	но для	2	1
210	думает о	1	1
211	один пример	1	1
212	то есть	1	1
213	об ее	3	1
214	от которой	2	1
215	и др	2	1
216	нас самих	1	1
217	своем месте	1	1
218	без них	1	1
219	и действительно	1	1
220	этого общего	1	1
221	того как	3	1
222	тех и	1	1
223	переходит в	1	1
224	психики и	1	1
225	общего и	1	1
226	почти не	3	1
227	в таком	4	1
228	и интересно	1	1
229	тех кто	2	1
230	то и	3	1
231	о сущности	1	1
232	и свое	1	1
233	она не	10	1
234	быть в	5	1
235	смысле и	1	1
236	но именно	1	1
237	в своем	7	1
238	говорить не	1	1
239	какие-то особые	1	1
240	определенного времени	1	1
241	тогда когда	6	1
242	с тем	2	1
243	по теории	1	1
244	стороны в	2	1
245	только как	3	1
246	есть конечно	2	1
247	тем в	1	1
248	его на	1	1
249	еще одно	1	1
250	одной стороны	3	1
251	уже значительно	1	1
252	относится к	2	1
253	время не	3	1
254	или по	2	1
255	мы имеем	4	1
256	во мне	5	1
257	так он	1	1
258	но также	1	1
259	в отдельности	3	1
260	что по	3	1
261	их в	2	1
262	при более	1	1
263	же в	2	1
264	не для	1	1
265	он может	3	1
266	знает только	1	1
267	в ней	4	1
268	но по	1	1
269	или даже	1	1
270	где же	1	1
271	но что	10	1
272	теории и	1	1
273	своими собственными	1	1
274	даже не	4	1
275	и так	2	1
276	отдельности и	1	1
277	него она	1	1
278	вообще мы	1	1
279	много но	2	1
280	это значит	18	1
281	место и	1	1
282	а это	2	1
283	связанные с	3	1
284	этого сложного	1	1
285	на то	5	1
286	он и	2	1
287	конечно как	1	1
288	но если	6	1
289	это же	1	1
290	бы ни	3	1
291	не значит	6	1
292	именно такую	1	1
293	сам по	8	1
294	только для	1	1
295	без этого	4	1
296	простое как	1	1
297	сюда же	1	1
298	в которых	2	1
299	к этому	2	1
300	большей или	1	1
301	так и	18	1
302	это то	1	1
303	что с	2	1
304	ничуть не	2	1
305	оно конечно	1	1
306	из которых	1	1
307	друг с	2	1
308	это в	1	1
309	ее в	2	1
310	поэзии и	4	1
311	отнюдь не	13	1
312	находятся в	1	1
313	и вся	1	1
314	месте в	1	1
315	бывает что	2	1
316	сам только	1	1
317	в качестве	2	1
318	осталось бы	1	1
319	о котором	2	1
320	в нем	25	1
321	ничего подобного	1	1
322	именно этот	1	1
323	это верно	1	1
324	он не	5	1
325	ней не	1	1
326	независимо от	2	1
327	и истории	1	1
328	все что	2	1
329	концов не	1	1
330	на его	1	1
331	есть ли	3	1
332	и что	17	1
333	одно из	2	1
334	форма в	1	1
335	что для	3	1
336	и это	6	1
337	в различных	2	1
338	с одной	4	1
339	с другом	2	1
340	и как-то	1	1
341	связаны и	1	1
342	он был	1	1
343	в первую	2	1
344	на своем	1	1
345	за пределы	4	1
346	и делает	1	1
347	тут мы	2	1
348	должно быть	7	1
349	об этом	7	1
350	принцип построения	1	1
351	правда не	1	1
352	в виду	9	1
353	само по	7	1
354	к которой	1	1
355	широком смысле	2	1
356	или менее	5	1
357	есть слово	1	1
358	пушкина но	1	1
359	невозможна без	3	1
360	превратилось бы	1	1
361	тот же	1	1
362	искусство и	2	1
363	уже не	3	1
364	о том	8	1
365	не то	9	1
366	по его	1	1
367	далеко не	2	1
368	тем более	2	1
369	оно все	1	1
370	формы как	1	1
371	того что	6	1
372	как отвлеченный	1	1
373	у него	2	1
374	друг другу	4	1
375	в храме	2	1
376	появляется уже	1	1
377	как таковым	1	1
378	слишком часто	1	1
379	бы это	1	1
380	в котором	5	1
381	у пушкина	6	1
382	не существует	8	1
383	бы в	3	1
384	ее к	2	1
385	в виде	2	1
386	той же	1	1
387	приводит к	1	1
388	никогда не	18	1
