N	2gram	Tiupa_Narr	Psycholo
1	то что	11	193
2	и в	19	190
3	в том	18	163
4	что в	3	123
5	потому что	1	114
6	том что	14	113
7	может быть	25	107
8	таким образом	1	102
9	в этом	17	100
10	то есть	19	97
11	все время	1	86
12	в самом	1	82
13	как бы	4	80
14	что он	6	76
15	не только	32	75
16	и не	20	73
17	самом деле	2	70
18	точки зрения	10	69
19	не может	10	68
20	так же	2	63
21	было бы	4	56
22	если бы	1	55
23	то же	4	54
24	о том	6	54
25	при этом	9	52
26	как и	7	51
27	что и	1	50
28	а не	12	50
29	что это	3	49
30	сказать что	4	46
31	по себе	5	46
32	только в	4	46
33	в сущности	3	46
34	к тому	7	45
35	не в	14	45
36	в этой	5	43
37	никогда не	3	42
38	и все	2	42
39	как это	6	40
40	но и	23	40
41	как раз	2	39
42	того что	2	39
43	же самое	1	38
44	и как	5	36
45	вовсе не	1	34
46	и его	5	34
47	все же	7	33
48	что все	1	33
49	когда он	3	33
50	в себе	8	32
51	он не	3	31
52	мы не	1	31
53	в его	9	31
54	для нас	1	31
55	в ней	3	31
56	мы увидим	1	30
57	как будто	3	30
58	как в	7	30
59	с одной	7	29
60	и для	2	29
61	одной стороны	7	29
62	с точки	2	29
63	в нем	4	29
64	что они	3	28
65	и когда	2	28
66	мы можем	1	28
67	и то	1	28
68	что мы	2	28
69	в основе	5	27
70	и на	3	27
71	а в	11	27
72	с другой	8	27
73	все то	2	27
74	совершенно не	2	26
75	и здесь	1	25
76	жизни и	3	25
77	до сих	1	24
78	с таким	1	24
79	тем что	3	24
80	и совершенно	1	24
81	в целом	1	24
82	в своем	2	23
83	сих пор	1	23
84	один из	3	23
85	что если	1	23
86	что оно	1	23
87	могут быть	3	23
88	из них	3	22
89	что у	2	22
90	между тем	3	22
91	и даже	3	22
92	когда мы	2	22
93	всякий раз	1	22
94	в котором	1	21
95	том чтобы	1	21
96	в двух	2	21
97	в которых	1	21
98	ни в	3	21
99	в конце	1	21
100	как мы	3	21
101	и только	2	21
102	другой стороны	4	20
103	в то	3	20
104	тот же	1	20
105	мы имеем	2	20
106	она не	2	20
107	дело с	2	20
108	несмотря на	2	20
109	на этом	1	20
110	это не	2	20
111	все эти	2	20
112	мы уже	1	19
113	в какой	2	19
114	в ее	3	19
115	у него	4	19
116	с этой	1	18
117	можно было	2	18
118	но в	6	18
119	вслед за	4	18
120	на самом	1	18
121	но не	6	18
122	действующих лиц	1	18
123	и есть	2	18
124	перед нами	4	18
125	есть не	1	18
126	в виду	1	17
127	иначе говоря	6	17
128	из этих	3	17
129	но это	1	17
130	одна из	3	17
131	у нас	1	17
132	и к	1	16
133	из которых	4	16
134	та же	2	16
135	сводится к	3	16
136	обратиться к	1	16
137	говорит о	2	16
138	в таком	2	16
139	же как	3	16
140	и тем	4	16
141	не имеет	2	16
142	так и	9	16
143	тому как	2	16
144	от того	1	16
145	в результате	2	15
146	в них	1	15
147	что именно	2	15
148	во всех	1	15
149	как говорит	3	15
150	могли бы	1	15
151	не могут	1	15
152	о котором	1	15
153	искусства как	1	15
154	и потому	2	15
155	далеко не	5	15
156	еще не	7	15
157	для него	2	15
158	в частности	14	15
159	в совершенно	1	14
160	хотя бы	4	14
161	но он	1	14
162	очевидно что	1	14
163	в художественном	1	14
164	это и	3	14
165	прежде всего	4	14
166	что на	2	14
167	те же	4	14
168	не то	2	14
169	этих двух	1	14
170	столь же	3	14
171	должна быть	2	14
172	этом отношении	3	14
173	или в	2	14
174	по существу	2	14
175	в области	2	14
176	с ним	1	14
177	само по	1	14
178	именно в	6	13
179	не могли	1	13
180	точка зрения	6	13
181	а с	3	13
182	отнюдь не	5	13
183	с такой	1	13
184	в той	6	13
185	речь идет	4	13
186	когда она	1	13
187	едва ли	1	13
188	и он	3	13
189	должен был	1	13
190	со стороны	9	13
191	их в	1	12
192	не менее	3	12
193	может служить	1	12
194	того же	1	12
195	в конечном	3	12
196	в рассказе	4	12
197	в самой	1	12
198	сам по	1	12
199	в свою	3	12
200	и уже	1	12
201	состоит в	13	12
202	и может	1	12
203	идет о	2	12
204	совершенно очевидно	2	12
205	и с	4	12
206	например в	2	12
207	что по	2	12
208	как только	1	12
209	что этот	1	12
210	что не	4	12
211	этой точки	2	12
212	и до	2	12
213	ничего не	2	12
214	об этом	1	12
215	мы воспринимаем	1	12
216	в нашей	1	12
217	конечном счете	2	11
218	не было	2	11
219	о смерти	1	11
220	не будет	3	11
221	мы видели	1	11
222	утверждать что	2	11
223	и сейчас	2	11
224	подобно тому	2	11
225	как к	2	11
226	уже в	3	11
227	отличие от	5	11
228	исходя из	2	11
229	есть в	2	11
230	по поводу	1	11
231	его в	2	11
232	ли это	1	11
233	образом и	1	11
234	этого слова	2	11
235	с его	6	11
236	в другом	1	10
237	в тех	1	10
238	не так	1	10
239	сами по	2	10
240	данном случае	4	10
241	в их	1	10
242	что ни	1	10
243	от него	1	10
244	отличается от	4	10
245	в данном	5	10
246	в состоянии	1	10
247	тому же	5	10
248	и у	1	10
249	но как	2	10
250	совсем не	1	10
251	все те	4	10
252	и от	1	10
253	здесь мы	1	10
254	не является	8	10
255	тому чтобы	1	10
256	это было	1	10
257	не есть	3	9
258	так сказать	1	9
259	в действительности	1	9
260	на него	3	9
261	внимание на	1	9
262	в чем	1	9
263	героя и	4	9
264	мы будем	1	9
265	в него	1	9
266	с ее	3	9
267	бы не	2	9
268	его и	1	9
269	из его	1	9
270	в отличие	5	9
271	ответ на	1	9
272	по своему	1	9
273	по его	1	9
274	на его	1	9
275	и по	1	9
276	тем самым	6	9
277	и ее	2	9
278	о чем	2	9
279	точно так	2	9
280	но все	4	9
281	мысль о	1	9
282	роль в	2	9
283	можно сказать	5	9
284	если же	1	9
285	которое мы	1	9
286	в силу	4	9
287	оно есть	1	9
288	который не	1	9
289	с совершенно	1	9
290	именно это	2	9
291	и наконец	1	9
292	формы в	1	8
293	из двух	3	8
294	жизни с	1	8
295	будто бы	3	8
296	и тот	2	8
297	в общем	1	8
298	ни на	1	8
299	при анализе	1	8
300	о нем	4	8
301	и вообще	1	8
302	место в	1	8
303	и эта	1	8
304	в собственном	2	8
305	с другом	1	8
306	наряду с	2	8
307	в произведении	3	8
308	друг с	1	8
309	этом смысле	1	8
310	здесь совершенно	2	8
311	к нему	5	8
312	в процессе	1	8
313	в драме	1	8
314	и более	1	8
315	и во	1	8
316	он может	1	8
317	только то	1	8
318	еще раз	1	7
319	он видит	1	7
320	мысли и	1	7
321	не как	2	7
322	и там	1	7
323	к самому	2	7
324	от этого	1	7
325	представляет собой	13	7
326	свою очередь	3	7
327	ни одного	1	7
328	на том	3	7
329	связи с	4	7
330	в особенности	4	7
331	принадлежат к	1	7
332	и при	1	7
333	имеет место	4	7
334	себе не	2	7
335	со всеми	1	7
336	есть нечто	1	7
337	они не	2	7
338	не существует	3	7
339	действующие лица	1	7
340	того или	2	7
341	же в	4	7
342	нас в	1	7
343	одно из	2	7
344	как они	1	7
345	когда в	1	7
346	приходит к	2	7
347	о ней	3	7
348	время в	2	7
349	в качестве	21	7
350	к жизни	1	7
351	видит в	1	7
352	на другой	2	7
353	с которым	1	7
354	а как	1	7
355	если это	1	7
356	себя и	2	7
357	признать что	1	7
358	совпадает с	1	7
359	это то	1	7
360	времени и	7	7
361	различие между	2	7
362	в полном	2	7
363	здесь в	1	7
364	а на	1	7
365	дело в	1	7
366	слова в	1	7
367	даже в	2	6
368	более или	2	6
369	что как	1	6
370	к этим	1	6
371	первый раз	1	6
372	в русской	1	6
373	не могла	1	6
374	обратимся к	3	6
375	события в	2	6
376	одного и	1	6
377	оно не	2	6
378	к его	1	6
379	никто не	1	6
380	приводит к	2	6
381	да и	4	6
382	от других	1	6
383	каждый из	2	6
384	на две	1	6
385	событий в	2	6
386	нуждается в	5	6
387	от всех	2	6
388	у всех	1	6
389	один и	1	6
390	не все	5	6
391	и другого	1	6
392	как ни	2	6
393	мы узнаем	1	6
394	к ней	1	6
395	из нее	1	6
396	говорить о	2	6
397	не что	2	6
398	или менее	2	6
399	что иное	2	6
400	тем не	3	6
401	х годов	1	6
402	в себя	6	6
403	очень часто	1	6
404	не дает	1	6
405	или же	1	6
406	уже не	5	6
407	о его	1	6
408	или иного	2	6
409	независимо от	2	6
410	как не	1	6
411	то и	1	6
412	в плане	1	6
413	жизни но	2	6
414	ничем не	1	6
415	в первый	1	6
416	в новелле	1	6
417	о ее	1	6
418	что касается	2	6
419	отношение к	2	6
420	иное как	2	6
421	действующее лицо	2	5
422	между ними	2	5
423	ни одна	1	5
424	и сам	1	5
425	в смысле	1	5
426	к которому	2	5
427	во всей	2	5
428	бы то	3	5
429	от начала	1	5
430	и кажется	1	5
431	следует понимать	1	5
432	между собой	2	5
433	и является	1	5
434	отдельных лиц	1	5
435	над ним	1	5
436	точку зрения	4	5
437	подход к	2	5
438	материала в	1	5
439	оно может	2	5
440	если в	3	5
441	отношения к	2	5
442	у читателя	1	5
443	он прямо	2	5
444	для читателя	1	5
445	это все	2	5
446	быть не	1	5
447	и больше	1	5
448	не понимает	1	5
449	нет и	2	5
450	она может	2	5
451	то или	3	5
452	зависит от	2	5
453	он как	1	5
454	которых он	1	5
455	таком случае	2	5
456	все равно	1	5
457	на одном	1	5
458	к одному	1	5
459	но она	1	5
460	для такого	1	5
461	по выражению	2	5
462	связь с	1	5
463	не мог	4	5
464	то в	6	5
465	и было	1	5
466	указать на	1	5
467	но еще	1	5
468	хотя и	3	5
469	и за	1	5
470	столько же	1	5
471	не знает	1	5
472	которое в	1	5
473	именно как	1	5
474	в один	1	5
475	себя в	5	5
476	представляют собой	2	5
477	в область	2	5
478	однако он	1	5
479	в известном	2	5
480	и тогда	1	5
481	слов и	1	5
482	том же	1	5
483	есть к	1	5
484	только о	2	5
485	а то	1	5
486	человека в	2	5
487	дело не	1	5
488	одного из	4	5
489	надо было	1	5
490	с которыми	1	4
491	является в	1	4
492	его от	1	4
493	от одного	2	4
494	в речи	1	4
495	в противоположность	2	4
496	это же	1	4
497	для своей	2	4
498	и формы	1	4
499	рассказа как	1	4
500	человек и	1	4
501	в связи	2	4
502	если оно	1	4
503	одним словом	1	4
504	или иное	2	4
505	рассказ в	2	4
506	любви и	1	4
507	со времен	1	4
508	можно назвать	1	4
509	к другому	2	4
510	вот этот	1	4
511	одной из	4	4
512	в глазах	1	4
513	здесь не	4	4
514	это одно	1	4
515	только потому	1	4
516	основе своей	4	4
517	может не	3	4
518	где он	1	4
519	нашу мысль	1	4
520	это еще	1	4
521	чтобы сделать	1	4
522	также и	1	4
523	не по	1	4
524	не с	3	4
525	кто не	1	4
526	при такой	1	4
527	при всем	2	4
528	все еще	1	4
529	идет не	1	4
530	может и	1	4
531	вплоть до	2	4
532	себе а	1	4
533	а когда	1	4
534	того не	1	4
535	строго говоря	1	4
536	в первом	3	4
537	по отношению	7	4
538	в это	1	4
539	и того	2	4
540	эпоса и	1	4
541	процесс в	1	4
542	не имеем	1	4
543	перед ним	1	4
544	который в	2	4
545	начала и	1	4
546	в мире	9	4
547	без которого	1	4
548	его жизни	2	4
549	в уста	1	4
550	хронологической последовательности	1	4
551	это может	1	4
552	однако в	2	4
553	в состав	1	4
554	не на	2	4
555	если не	4	4
556	с ними	1	4
557	в слове	1	4
558	вытекает из	1	4
559	же время	4	4
560	во сне	1	4
