N	2gram	Voloshinov	BTomashe
1	у нас	4	3
2	все это	4	2
3	в ней	8	2
4	можно было	4	2
5	не то	1	2
6	и не	14	2
7	вопрос о	2	1
8	говорить о	1	1
9	было говорить	1	1
10	творчества и	1	1
11	и о	1	1
12	из имеющихся	1	1
13	о них	2	1
14	забывать что	2	1
15	и нет	2	1
16	не только	28	1
17	остановиться на	1	1
18	а о	1	1
19	всего в	4	1
20	интонации от	1	1
21	таким образом	8	1
22	не было	2	1
23	прежде всего	22	1
24	бы только	1	1
25	без понимания	1	1
26	и в	42	1
27	на самом	3	1
28	так и	7	1
29	в своей	2	1
30	и потому	2	1
31	и во	1	1
32	также что	1	1
33	за пределы	1	1
34	по крайней	1	1
35	как часть	1	1
36	в речи	1	1
37	с другой	1	1
38	об этом	3	1
39	художественного произведения	1	1
40	как будто	1	1
41	совершенно не	3	1
42	не о	1	1
43	другой стороны	1	1
44	крайней мере	1	1
45	кроме того	2	1
46	было бы	7	1
47	установка на	1	1
48	одной из	2	1
49	в значительной	2	1
50	из ее	1	1
51	о художественной	1	1
52	в пределах	2	1
53	выпадает из	1	1
54	в области	6	1
55	является только	1	1
56	тем более	1	1
57	еще лучше	1	1
58	говорить не	1	1
59	короче говоря	3	1
60	своей же	1	1
61	никак не	1	1
62	значительной степени	2	1
63	его не	2	1
64	будто бы	1	1
65	а не	7	1
66	отнюдь не	10	1
67	до конца	2	1
68	как всякий	1	1
69	и на	7	1
70	по отдельным	1	1
71	между ними	3	1
72	еще не	3	1
73	нет но	1	1
74	все же	9	1
75	что в	1	1
