N	3gram	Trubetskoy	Myslijsy
1	в том что	3	47
2	по отношению к	1	26
3	не может быть	1	19
4	заключает в себе	2	19
5	тем не менее	3	18
6	только тогда когда	1	17
7	по крайней мере	5	17
8	в свою очередь	1	14
9	не в том	1	13
10	а между тем	1	13
11	то же время	2	13
12	в то же	2	13
13	более или менее	5	12
14	смысле этого слова	1	12
15	с другой стороны	1	12
16	и в этом	2	12
17	до сих пор	5	12
18	во всяком случае	6	12
19	для того чтобы	5	11
20	сами по себе	1	11
21	а в том	1	11
22	в то время	1	10
23	но тем не	1	10
24	с одной стороны	7	10
25	потому что в	1	9
26	в таком случае	1	9
27	одного и того	1	9
28	и того же	1	9
29	на то что	2	9
30	о том что	4	9
31	что и в	1	9
32	так и в	1	8
33	вместе с тем	8	8
34	с тем что	1	8
35	не только не	1	7
36	с точки зрения	6	7
37	можно сказать что	2	7
38	то же самое	2	6
39	с самого начала	2	6
40	после того как	1	6
41	тем и другим	1	5
42	с тем и	2	5
43	и таким образом	3	5
44	таким образом в	2	5
45	мы видели что	1	4
46	и тот же	1	4
47	с этой точки	2	4
48	все более и	1	4
49	и сами по	1	4
50	в данном случае	1	4
51	или по крайней	1	4
52	один и тот	1	4
53	более и более	1	4
54	не более как	1	4
55	что касается до	1	4
56	в общих чертах	1	4
57	в этом отношении	2	4
58	в том виде	2	4
59	точно так же	3	3
60	в одном и	1	3
61	нельзя сказать чтобы	1	3
62	до известной степени	1	3
63	по всей вероятности	1	3
64	том виде в	2	3
65	виде в каком	1	3
66	так или иначе	3	3
67	ничего общего с	2	3
68	в первом случае	1	3
69	и том же	1	3
70	а потому что	1	3
71	в связи с	3	3
72	бы то ни	2	3
73	потому что и	2	3
74	одном и том	1	3
75	на каждом шагу	1	3
76	в одном из	1	3
77	между человеком и	1	3
78	этой точки зрения	2	3
79	а так как	3	3
80	притом не только	1	3
81	с течением времени	3	3
82	но с другой	1	3
83	но вместе с	2	2
84	о том как	1	2
85	главным образом в	3	2
86	таким образом уже	1	2
87	могло бы быть	1	2
88	друг на друга	2	2
89	но при этом	1	2
90	в себе сознание	1	2
91	из них не	1	2
92	те же что	1	2
93	что происходит в	1	2
94	состоит в том	1	2
95	но все же	4	2
96	только то что	1	2
97	лицом к лицу	1	2
98	то ни было	2	2
99	с ними в	1	2
100	в этом последнем	1	2
101	может и не	1	2
102	к лицу с	1	2
103	друг к другу	1	2
104	но и для	2	2
105	не только для	2	2
106	и потому что	2	2
107	как на нечто	1	2
108	мы видели выше	1	2
109	тем что в	1	2
110	не только от	1	2
111	а не как	1	2
112	что в таком	1	2
113	потому только что	1	2
114	не потому что	1	2
115	а следовательно и	1	2
116	напрасно было бы	1	2
117	при этом не	1	2
118	из этих слов	1	2
119	в себе не	1	2
120	так же как	3	2
121	что все эти	1	2
122	всяком случае не	3	2
123	в связь с	1	2
124	мы должны признать	2	2
125	к мысли о	1	2
126	не должны быть	1	1
127	таким образом при	1	1
128	в самом деле	1	1
129	только в силу	1	1
130	том что все	1	1
131	с тех пор	2	1
