N	4gram	Trubetskoy	Literetu
1	в то же время	2	21
2	состоит в том что	1	8
3	не говоря уже о	1	6
4	с этой точки зрения	1	5
5	бы то ни было	3	4
6	в том числе и	1	3
7	но с другой стороны	1	3
8	дело в том что	1	2
9	одно и то же	1	2
10	в целом ряде других	1	1
11	именно в том что	1	1
12	мысль о том что	1	1
13	не только по отношению	1	1
14	и не может быть	1	1
15	в том что при	1	1
16	в этом случае мы	1	1
17	в том что только	1	1
18	нет и не может	1	1
19	одного и того же	3	1
20	в данном случае не	1	1
21	в каждый данный момент	3	1
22	в том что он	1	1
23	только по отношению к	1	1
24	на самом деле есть	1	1
25	и в целом ряде	1	1
26	приводит к тому что	1	1
