N	2gram	Medvedev_V	Marksizm
1	точки зрения	3	69
2	может быть	23	64
3	и в	26	63
4	и не	20	55
5	как бы	5	53
6	не может	17	47
7	и его	6	41
8	в этом	29	39
9	таким образом	32	38
10	в процессе	17	33
11	как мы	1	32
12	в пределах	5	31
13	лишь в	2	30
14	не только	26	29
15	то же	10	28
16	в нем	7	28
17	но и	10	27
18	связи с	5	25
19	самом деле	1	25
20	в самом	4	24
21	как и	7	24
22	прежде всего	13	24
23	только в	8	23
24	так и	6	23
25	в том	15	22
26	то что	7	22
27	а не	7	22
28	так сказать	2	20
29	для него	9	20
30	на почве	1	19
31	не в	6	19
32	если бы	3	19
33	том что	8	19
34	в его	15	19
35	в ее	4	18
36	в слове	3	18
37	и для	2	18
38	но в	2	18
39	вовсе не	3	18
40	все же	6	17
41	по отношению	7	16
42	слова и	1	16
43	и как	3	16
44	в то	6	16
45	во всех	7	15
46	в связи	4	15
47	отнюдь не	4	15
48	что он	4	15
49	же время	5	15
50	в русском	1	15
51	отношению к	7	15
52	в данном	1	14
53	хотя бы	20	14
54	в своей	4	13
55	так же	3	13
56	что в	11	13
57	не является	5	13
58	того чтобы	3	13
59	было бы	8	13
60	мы не	1	13
61	слова в	1	13
62	идеологического творчества	2	12
63	для того	3	12
64	в результате	5	12
65	между тем	6	12
66	он не	2	12
67	в основе	1	12
68	является не	4	12
69	а в	3	12
70	не столько	2	11
71	и что	1	11
72	и от	3	11
73	до сих	2	11
74	и все	1	11
75	как в	1	11
76	еще не	2	11
77	друг друга	1	11
78	все эти	8	11
79	в ней	2	11
80	сих пор	2	11
81	именно в	3	10
82	во всяком	2	10
83	самого начала	1	10
84	с другой	11	10
85	сказать что	5	10
86	к этому	9	10
87	никогда не	5	10
88	в своем	8	10
89	его в	3	10
90	в таком	1	10
91	одна из	4	10
92	в каждом	2	10
93	в основном	7	10
94	совершенно не	1	10
95	конечно не	1	10
96	с его	4	10
97	и потому	2	10
98	бытия в	1	10
99	быть и	1	9
100	к тому	5	9
101	только на	1	9
102	в себе	6	9
103	и это	1	9
104	а как	2	9
105	мы видели	3	9
106	ни в	1	9
107	не имеет	1	9
108	как целое	1	9
109	это не	7	9
110	как если	1	9
111	в истории	1	9
112	одной из	2	9
113	же самое	2	9
114	кроме того	1	8
115	не как	1	8
116	другой стороны	8	8
117	но что	1	8
118	и даже	2	8
119	на этой	1	8
120	в данной	1	8
121	мы знаем	3	8
122	что и	3	8
123	у него	6	8
124	не было	7	8
125	что не	3	8
126	тому что	7	8
127	в форме	3	8
128	за пределы	1	8
129	сводится к	3	8
130	в каком	1	8
131	перед нами	5	8
132	чем же	4	8
133	в свою	1	8
134	с этим	3	8
135	у нас	3	8
136	в их	5	8
137	и их	3	8
138	в науке	2	8
139	и ее	4	8
140	или иной	2	8
141	на то	2	8
142	от него	1	7
143	следует что	2	7
144	в этих	1	7
145	в котором	3	7
146	свою очередь	1	7
147	и формы	2	7
148	он сам	2	7
149	как раз	4	7
150	в качестве	12	7
151	бы в	3	7
152	в этой	4	7
153	могут быть	8	7
154	оно может	1	7
155	с ними	4	7
156	на основе	5	7
157	по себе	2	7
158	о том	10	7
159	того что	3	7
160	в начале	1	7
161	далеко не	3	7
162	бы он	1	7
163	в той	1	6
164	является в	1	6
165	точном смысле	2	6
166	по мере	1	6
167	уже не	1	6
168	входит в	1	6
169	одной стороны	2	6
170	в другом	2	6
171	в различных	2	6
172	как оно	1	6
173	характерно что	1	6
174	с одной	2	6
175	с другими	2	6
176	между ними	3	6
177	всяком случае	2	6
178	должны быть	2	6
179	этот вопрос	3	6
180	с ее	1	6
181	то есть	1	6
182	должна быть	2	6
183	смысле слова	2	6
184	в единстве	4	6
185	в точном	2	6
186	зависимости от	5	6
187	ничего общего	1	6
188	этот процесс	3	6
189	он и	2	6
190	все это	13	6
191	в какой	1	6
192	вопрос о	1	6
193	из этих	7	6
194	данного момента	1	6
195	же в	7	6
196	не к	1	6
197	еще более	1	5
198	формы в	1	5
199	о чем	2	5
200	в одном	5	5
201	в виду	4	5
202	является выражением	1	5
203	не менее	2	5
204	связано с	1	5
205	понятно что	2	5
206	этой почве	1	5
207	как на	3	5
208	от того	2	5
209	на язык	2	5
210	должно быть	2	5
211	что такое	2	5
212	как же	1	5
213	и у	2	5
214	той или	1	5
215	но как	3	5
216	в целях	2	5
217	и тем	1	5
218	в конце	3	5
219	этой проблемы	3	5
220	то в	1	5
221	и внешнего	1	5
222	вместе с	8	5
223	да и	2	5
224	ее в	4	5
225	связана с	2	5
226	вне его	2	5
227	громадное значение	1	5
228	хотя и	2	5
