N	2gram	Tiupa_Disk	Hudozhes
1	в качестве	45	31
2	то есть	29	26
3	в мире	9	24
4	и в	27	23
5	не только	36	20
6	состоит в	20	20
7	в том	29	20
8	при этом	22	19
9	может быть	29	19
10	в частности	18	18
11	и не	25	16
12	тогда как	28	15
13	но и	22	14
14	внутренней речи	5	14
15	литературного произведения	3	13
16	а не	35	13
17	в рамках	11	13
18	но не	17	13
19	а в	5	13
20	я в	2	13
21	в тексте	5	13
22	в себе	22	13
23	в этом	29	12
24	то же	12	12
25	такого рода	11	12
26	так и	14	12
27	произведение искусства	1	12
28	и его	4	12
29	сводится к	7	11
30	представляет собой	24	11
31	как бы	9	11
32	точки зрения	6	11
33	в его	9	11
34	эстетического отношения	2	11
35	по отношению	13	10
36	но в	15	10
37	отношению к	13	10
38	своего рода	15	9
39	эстетического завершения	1	9
40	или иной	8	9
41	том что	27	9
42	с другой	14	9
43	присутствия в	2	9
44	художественного письма	13	9
45	коммуникативного события	19	9
46	не сводится	7	9
47	в искусстве	1	9
48	не в	8	9
49	не может	17	9
50	в принципе	4	8
51	в миропорядке	1	8
52	особого рода	3	8
53	себя в	8	8
54	эмоциональной рефлексии	1	8
55	в области	3	8
56	в то	8	8
57	что в	8	7
58	в самом	4	7
59	только в	9	7
60	в своей	10	7
61	в основе	11	7
62	и т.п	18	7
63	же время	9	7
64	в отличие	13	7
65	отличие от	13	7
66	я и	3	7
67	не столько	3	7
68	как это	2	7
69	по своей	15	7
70	лишь в	4	7
71	отношение к	6	7
72	другой стороны	5	6
73	более или	2	6
74	приводит к	4	6
75	уже не	7	6
76	можно сказать	7	6
77	с ее	3	6
78	художественного творчества	1	6
79	с его	9	6
80	мы имеем	4	6
81	в ее	4	6
82	а также	15	6
83	или менее	2	6
84	всего лишь	1	6
85	по сути	6	6
86	в нем	16	6
87	искусства в	1	6
88	кто говорит	1	5
89	эстетическая деятельность	3	5
90	речевая маска	3	5
91	ни в	7	5
92	в виду	2	5
93	не на	3	5
94	не предполагает	4	5
95	конечном счете	2	5
96	что он	6	5
97	не менее	6	5
98	искусство слова	1	5
99	не является	5	5
100	со стороны	17	5
101	я с	2	5
102	иначе говоря	5	5
103	как к	2	5
104	для него	9	5
105	того что	4	5
106	прежде всего	17	5
107	картина мира	7	5
108	с другими	1	5
109	в их	5	5
110	в конечном	2	5
111	говоря словами	1	5
112	между ними	1	5
113	художественной реальности	1	5
114	той или	6	5
115	героя и	2	5
116	и одновременно	3	5
117	самим собой	1	5
118	высказывания в	7	5
119	тем самым	6	5
120	то что	10	5
121	в ходе	5	5
122	могут быть	5	5
123	место в	2	5
124	во втором	5	4
125	для себя	6	4
126	организации художественного	1	4
127	эстетического объекта	1	4
128	на смену	3	4
129	не следует	4	4
130	например в	4	4
131	значении этого	4	4
132	отношения к	2	4
133	в слове	1	4
134	роли в	1	4
135	для читателя	1	4
136	воспринимающего сознания	2	4
137	еще не	20	4
138	с позиций	5	4
139	в данном	9	4
140	в воображении	1	4
141	входит в	2	4
142	в другом	5	4
143	сознания в	2	4
144	говорить о	3	4
145	и т.д	5	4
146	сказать что	4	4
147	жизни как	2	4
148	к которому	2	4
149	в своем	11	4
150	к тому	6	4
151	или иным	1	4
152	на почве	3	4
153	и то	4	4
154	аналогичным образом	1	4
155	это не	5	4
156	эстетическая природа	1	4
157	его в	1	4
158	эстетический объект	1	4
159	не знает	4	4
160	деятельности в	1	4
161	и как	9	4
162	в этих	4	4
163	так в	1	4
164	в себя	7	4
165	а только	1	4
166	того или	3	4
167	личности в	3	4
168	между тем	5	4
169	речи и	2	4
170	он не	4	4
171	и тем	2	4
172	и что	2	4
173	в форме	2	4
174	далеко не	10	4
175	художественный текст	1	4
176	со своей	2	4
177	и о	4	4
178	однако в	3	4
179	художественного произведения	1	4
180	силу своей	2	4
181	в силу	5	4
182	или иного	2	4
183	хотя и	3	4
184	в той	2	3
185	текста в	2	3
186	рамках которого	2	3
187	и к	4	3
188	на деле	1	3
189	и составляет	3	3
190	человеческой жизни	2	3
191	и на	8	3
192	в момент	2	3
193	текст в	1	3
194	с этой	2	3
195	и читателей	1	3
196	литературы как	1	3
197	даже в	1	3
198	говорит и	2	3
199	о чем	4	3
200	рефлективный традиционализм	1	3
201	подобно тому	4	3
202	однако при	2	3
203	я героя	2	3
204	если бы	1	3
205	оказывается в	2	3
206	и сам	2	3
207	есть в	3	3
208	а именно	1	3
209	в жизни	2	3
210	сути дела	3	3
211	это позиция	1	3
212	имеет место	4	3
213	как и	27	3
214	к его	5	3
215	их в	2	3
216	и адресата	3	3
217	художественного мышления	1	3
218	себя и	2	3
219	тем не	1	3
220	культуры в	1	3
221	но их	1	3
222	и того	6	3
223	и состоит	2	3
224	художественного целого	3	3
