N	3gram	Tiupa_Hudo	Poddanst
1	то же время	11	7
2	в то же	11	7
3	в том что	15	4
4	не только в	4	4
5	в гораздо большей	1	4
6	гораздо большей степени	1	4
7	сами по себе	1	3
8	с точки зрения	5	3
9	с одной стороны	4	3
10	заключается в том	1	2
11	заключает в себе	1	2
12	и в то	2	2
13	в том числе	1	2
14	одной стороны и	1	2
15	и т д	5	1
16	друг с другом	1	1
17	как она есть	1	1
18	именно потому что	1	1
19	он живет в	1	1
20	можно судить по	1	1
21	за то что	1	1
22	в этих двух	1	1
23	но в то	3	1
24	в xix в	2	1
25	том числе и	1	1
26	мы знаем что	1	1
27	не может быть	5	1
28	та или иная	4	1
29	на пути к	1	1
30	на наш взгляд	6	1
31	том что в	4	1
32	в отличие от	1	1
33	в этом смысле	1	1
34	и то что	1	1
35	и быть может	3	1
36	в русской культуре	1	1
37	но в этом	1	1
38	хотя бы и	1	1
39	не ослабевает и	1	1
40	между тем в	2	1
41	во всяком случае	1	1
42	для того чтобы	2	1
43	с другой стороны	1	1
44	в известном смысле	1	1
45	место в ряду	1	1
46	не в том	2	1
47	в настоящее время	1	1
48	мы должны в	1	1
49	более или менее	1	1
50	так же как	2	1
51	большей степени чем	1	1
52	тот или иной	1	1
53	и в этом	3	1
54	быть может и	1	1
