N	2gram	Voloshinov	PoTuStor
1	может быть	14	17
2	и в	12	16
3	и пр	3	12
4	таким образом	12	9
5	в этом	4	9
6	прежде всего	8	9
7	мы можем	2	9
8	и проч	3	9
9	и только	1	9
10	в психике	2	8
11	точки зрения	14	8
12	и с	3	8
13	не может	16	8
14	и его	13	8
15	не только	4	7
16	сказать что	7	7
17	с его	2	7
18	и к	4	6
19	при этом	6	6
20	для него	3	6
21	самом деле	3	6
22	я и	1	6
23	и это	1	6
24	конечно не	3	6
25	с точки	2	6
26	ни в	3	5
27	все эти	3	5
28	только для	1	5
29	в чем	2	5
30	еще не	3	5
31	сознание и	1	5
32	как бы	13	5
33	отношение к	4	5
34	нуждается в	3	5
35	и на	4	4
36	так как	9	4
37	все это	3	4
38	в его	2	4
39	художественного творчества	3	4
40	так и	4	4
41	на самом	4	4
42	его в	4	4
43	и все	2	4
44	только в	6	4
45	и не	10	4
46	но мы	2	4
47	можно сказать	5	4
48	с самого	1	4
49	но и	3	4
50	хотя бы	5	4
51	и их	1	4
52	самого начала	1	4
53	как мы	1	4
54	отнюдь не	5	4
55	в нем	6	4
56	с ее	1	4
57	и ее	3	4
58	и наконец	3	4
59	но в	5	4
60	и вот	1	3
61	до сих	3	3
62	в основном	2	3
63	в том	6	3
64	те же	2	3
65	с другими	2	3
66	между ними	2	3
67	в конечном	1	3
68	этом смысле	1	3
69	что в	2	3
70	и она	1	3
71	том что	5	3
72	вместе с	2	3
73	на этом	1	3
74	в этих	2	3
75	и художественного	1	3
76	и оно	1	3
77	во всех	1	3
78	во всяком	1	3
79	и потому	2	3
80	в основе	1	3
81	и притом	2	3
82	только как	1	3
83	по крайней	1	3
84	как это	2	3
85	только на	3	3
86	в одном	1	3
87	и значение	2	3
88	чем не	1	3
89	в большинстве	1	3
90	то что	5	3
91	и др	5	3
92	могут быть	2	3
93	сих пор	3	3
94	в общем	1	3
95	жизни и	4	3
96	в области	1	3
97	всяком случае	1	3
98	крайней мере	1	3
99	едва ли	2	3
100	в самом	4	2
101	что оно	1	2
102	это делает	1	2
103	и мы	1	2
104	к другим	1	2
105	на протяжении	1	2
106	они не	1	2
107	ненависть к	1	2
108	мы не	3	2
109	с этой	2	2
110	протяжении всей	1	2
111	ни было	4	2
112	что это	1	2
113	на этих	1	2
114	можно определить	1	2
115	нашего времени	1	2
116	аналогии с	1	2
117	для нас	7	2
118	что и	2	2
119	ранних ступенях	1	2
120	сводится к	1	2
121	у него	1	2
122	не на	1	2
123	не могут	1	2
124	дела с	1	2
125	в душе	2	2
126	в них	3	2
127	все то	1	2
128	не знает	1	2
129	так называемый	1	2
130	не нуждается	1	2
131	по аналогии	1	2
132	что не	4	2
133	конечном счете	1	2
134	здесь же	1	2
135	в жизни	5	2
136	как и	5	2
137	есть в	1	2
138	же как	1	2
139	не есть	2	2
140	только то	1	2
141	в переводе	1	2
142	в своей	3	2
143	и так	2	2
144	себя и	2	2
145	только и	1	2
146	не менее	3	2
147	на границе	3	2
148	в каком	3	2
149	и таким	1	2
150	и вообще	3	2
151	на них	1	2
152	к этому	2	2
153	оно не	2	2
154	не существует	1	2
155	между собой	2	2
156	что мы	5	2
157	это последнее	1	2
158	мы уже	1	2
159	связанных с	1	2
160	все остальные	1	2
161	ту же	1	2
162	на основе	1	2
163	субъективного сознания	1	2
164	он не	2	2
165	и т.п	1	2
166	кажется что	1	2
167	с помощью	6	2
168	в частности	1	2
169	но зато	2	2
170	и вся	1	2
171	всей жизни	1	2
172	всех других	1	2
173	в науке	1	2
174	за пределы	4	2
175	но отнюдь	2	2
176	в пределах	3	2
177	как не	2	2
178	так же	3	2
179	было бы	1	2
180	что можно	1	2
181	к ним	2	2
182	и о	1	2
183	если мы	1	2
184	о том	3	2
185	момент в	1	2
186	можем сказать	2	2
187	на ранних	1	2
188	и по	3	2
189	с ним	3	2
190	определить как	1	2
191	но это	2	2
192	и для	3	2
193	для этого	1	2
194	нам кажется	1	2
195	то же	5	2
196	не можем	1	2
197	никогда не	5	2
198	хорошо и	1	1
199	вырастает из	1	1
200	бы то	3	1
201	они являются	1	1
202	по мнению	1	1
203	от нее	1	1
204	события и	1	1
205	включая сюда	1	1
206	что они	1	1
207	и то	2	1
208	только из	1	1
209	и здесь	2	1
210	та же	1	1
211	особом объяснении	1	1
212	и содержания	2	1
213	в коем	1	1
214	данном случае	2	1
215	в момент	2	1
216	она как	1	1
217	было на	1	1
218	и того	1	1
219	с одной	2	1
220	уже в	2	1
221	тогда когда	2	1
222	социального целого	1	1
223	идеологического творчества	2	1
224	дело с	2	1
225	одна и	1	1
226	мы имеем	2	1
227	еще более	1	1
228	это и	1	1
229	несмотря на	1	1
230	это часто	1	1
231	герой нашего	1	1
232	других областей	1	1
233	для всего	1	1
234	хотя и	1	1
235	смысл и	2	1
236	этом отношении	1	1
237	художественной формы	5	1
238	имеем дело	1	1
239	не должна	3	1
240	в некоторых	3	1
241	говорит о	1	1
242	методов так	1	1
243	пути в	1	1
244	в качестве	1	1
245	потому не	1	1
246	у нас	1	1
247	теряет свою	1	1
248	для них	1	1
249	и делает	1	1
250	в виду	5	1
251	подобно тому	1	1
252	них и	1	1
253	можно было	1	1
254	своеобразно и	2	1
255	связь с	2	1
256	ведь это	1	1
257	является и	1	1
258	связи с	1	1
259	особого рода	1	1
260	этой точки	3	1
261	если бы	9	1
262	столь же	1	1
263	оно ни	1	1
264	именно и	1	1
265	в свои	1	1
266	ценность для	1	1
267	и единство	1	1
268	с ней	1	1
269	и можно	1	1
270	и следа	1	1
271	но эта	1	1
272	это мы	1	1
273	дело в	4	1
274	все моменты	1	1
275	но не	2	1
276	менее всего	1	1
277	и эта	1	1
278	форму и	2	1
279	быть только	2	1
280	как его	1	1
281	он будет	1	1
282	в обращение	1	1
283	на другие	1	1
284	и форму	1	1
285	отношения которые	1	1
286	в корне	2	1
287	бы оно	2	1
288	случае нельзя	1	1
289	зависит от	2	1
290	может стать	2	1
291	лежит на	2	1
292	в порядке	1	1
293	все же	4	1
294	даже тогда	1	1
295	при таком	1	1
296	жизни в	1	1
297	на все	2	1
298	образом к	1	1
299	легче всего	1	1
300	по самому	1	1
301	теряет свой	1	1
302	зависимости от	4	1
303	в себя	2	1
304	жизни если	2	1
305	в смысле	1	1
306	но если	1	1
307	делает его	2	1
308	но особенно	1	1
309	словами и	2	1
310	др и	1	1
311	вовсе не	1	1
312	уже не	4	1
313	к тому	1	1
314	свой смысл	1	1
315	серьезной попытки	1	1
316	и психологический	1	1
317	этих двух	2	1
318	и мир	1	1
319	сказать то	1	1
320	нет ничего	2	1
321	формальную структуру	1	1
322	и тех	1	1
323	его и	1	1
324	изолированно взятого	1	1
325	вообще по	1	1
326	совершенно своеобразно	1	1
327	опираясь на	2	1
328	а с	1	1
329	в данном	2	1
330	того в	1	1
331	моменты и	1	1
332	каких бы	1	1
333	характер и	1	1
334	к предмету	5	1
335	на один	2	1
336	не имеют	1	1
337	же определения	1	1
338	со всех	2	1
339	мы увидим	1	1
340	экономический базис	1	1
341	даже и	1	1
342	моменты определяющие	1	1
343	она не	2	1
344	в свою	1	1
345	входит в	1	1
346	и почти	1	1
347	того чтобы	1	1
348	одной стороны	2	1
349	почти исключительно	2	1
350	само нуждается	1	1
351	в другом	1	1
352	то ни	3	1
353	тому как	1	1
354	это только	1	1
355	каждый момент	2	1
356	в ней	6	1
357	нашего сознания	2	1
358	не всегда	1	1
359	значение и	1	1
360	отчетливее и	1	1
361	точно и	1	1
362	в руках	1	1
363	от всех	2	1
364	когда он	3	1
365	один шаг	1	1
366	а не	5	1
367	увидим что	1	1
368	основной тон	2	1
369	эта сторона	1	1
370	должны быть	1	1
371	имеем в	2	1
372	и та	2	1
373	и что	2	1
374	конечно в	2	1
375	к делу	1	1
376	ориентируется в	1	1
377	в особом	1	1
378	уже и	1	1
379	от того	4	1
380	направлении может	1	1
381	чего же	1	1
382	из одного	1	1
383	и общества	1	1
384	отметить что	1	1
385	и последовательное	1	1
386	всей его	1	1
387	мы здесь	1	1
388	или наконец	1	1
389	бы по	1	1
390	на это	2	1
391	с другой	4	1
392	это же	1	1
393	известной степени	2	1
394	нем и	1	1
395	нами и	1	1
396	ничего общего	1	1
397	как на	2	1
398	же самое	2	1
399	что здесь	1	1
400	в комнате	2	1
401	которой можно	1	1
402	в высшую	1	1
403	общего с	2	1
404	что для	1	1
405	когда человек	1	1
406	только одна	1	1
407	которые в	1	1
408	но несмотря	1	1
409	всех сторон	1	1
410	что я	1	1
411	форма и	1	1
412	другими моментами	1	1
413	в высшей	1	1
414	в нашем	11	1
415	тесной зависимости	1	1
416	во многих	1	1
417	все время	6	1
418	т.е как	1	1
419	что она	1	1
420	каком отношении	2	1
421	в атмосфере	2	1
422	и прежде	1	1
423	же мы	1	1
424	деле в	1	1
425	искусства в	1	1
426	каком направлении	1	1
427	формы и	3	1
428	имеет и	1	1
429	формы то	2	1
430	его к	2	1
431	коем случае	1	1
432	и внешней	1	1
433	это уже	1	1
434	мы должны	1	1
435	из него	2	1
436	мы еще	1	1
437	себя в	1	1
438	точку зрения	2	1
439	тот же	1	1
440	ничего не	2	1
441	представления мысли	1	1
442	что до	1	1
443	и самый	1	1
444	из этой	1	1
445	к нему	4	1
446	высшей степени	1	1
