N	3gram	Propp_Morf	Myshleni
1	в том что	4	133
2	с точки зрения	6	89
3	для того чтобы	3	78
4	по отношению к	7	42
5	с одной стороны	2	39
6	с самого начала	1	36
7	друг с другом	1	35
8	в этом отношении	2	30
9	можно было бы	2	28
10	в этом случае	10	27
11	в собственном смысле	3	26
12	с другой стороны	5	26
13	на то что	3	25
14	о том что	3	25
15	не может быть	9	23
16	в то время	3	22
17	к тому что	4	22
18	в высшей степени	1	22
19	можно сказать что	1	21
20	то время как	3	20
21	состоит в том	3	18
22	во всяком случае	2	18
23	до сих пор	1	17
24	этой точки зрения	1	17
25	в связи с	9	17
26	с этой точки	1	16
27	бы сказать что	1	15
28	в данном случае	2	15
29	на этот вопрос	1	14
30	в свою очередь	1	14
31	подобно тому как	5	14
32	это значит что	1	13
33	точно так же	2	13
34	и то же	1	12
35	таким образом что	1	12
36	один и тот	1	12
37	и тот же	1	12
38	тем не менее	6	12
39	одно и то	1	12
40	является то что	1	11
41	как мы уже	1	11
42	видим таким образом	1	11
43	мы не можем	1	11
44	мы видим таким	1	11
45	то что в	2	10
46	друг на друга	2	10
47	вместо того чтобы	1	10
48	в целом и	1	9
49	собственном смысле слова	3	9
50	как и в	3	9
51	более или менее	2	9
52	на самом деле	4	9
53	том что он	1	9
54	друг к другу	2	9
55	то что он	1	8
56	только в том	1	8
57	более и более	1	8
58	что в основе	1	8
59	той или иной	1	8
60	независимо от того	4	8
61	не могут быть	4	8
62	в этой области	1	8
63	по своему строению	1	8
64	все более и	1	8
65	что и в	1	8
66	о том как	2	7
67	вопрос о том	2	7
68	мы имели возможность	1	7
69	в первом случае	3	7
70	приводит к тому	1	7
71	в этом и	1	6
72	в обоих случаях	2	6
73	и таким образом	2	6
74	потому что в	1	6
75	если бы мы	1	6
76	не что иное	2	6
77	что иное как	2	6
78	чем перейти к	1	5
79	прежде чем перейти	1	5
80	так как это	1	5
81	но все же	4	5
82	тот момент когда	1	5
83	мы нашли что	1	5
84	как мы увидим	5	5
85	таким образом мы	7	5
86	во втором случае	1	5
87	между собой и	1	5
88	в то же	1	5
89	с помощью этого	1	5
90	то что они	1	5
91	мы видим что	11	4
92	мы должны будем	1	4
93	в какой степени	1	4
94	в тот момент	1	4
95	не потому что	1	4
96	к вопросу о	2	4
97	не то что	1	4
98	но так как	2	4
99	в тех случаях	2	4
100	это мы видим	1	4
101	тем и другим	2	4
102	не представляет собой	1	4
103	есть не что	1	4
104	мы увидим что	2	4
105	тех случаях когда	2	4
106	мы постараемся показать	1	4
107	это означает что	1	4
108	после того как	1	4
109	на первом месте	1	4
110	но то что	1	3
111	в применении к	1	3
112	то ни было	2	3
113	один из них	1	3
114	привели нас к	1	3
115	и как они	1	3
116	надо сказать что	1	3
117	не влияет на	1	3
118	они представляют собой	1	3
119	или во всяком	1	3
120	то же время	1	3
121	а затем уже	1	3
122	потому что его	2	3
123	связи с этим	5	3
124	в наши задачи	1	3
125	мы имеем в	2	3
126	которые могут быть	1	3
127	является одним из	1	3
128	из которых каждый	1	3
129	оно может быть	2	3
130	это было бы	1	3
131	от того как	1	3
132	ответить на этот	1	3
133	связи функций между	2	3
134	но если мы	1	3
135	так например в	1	3
136	перед нами в	1	3
137	должно быть поставлено	1	3
138	все же в	1	3
139	тех или иных	1	3
140	с логической неизбежностью	1	3
141	а потому что	1	3
142	во всей своей	1	3
143	функций между собой	2	3
144	что он может	1	3
145	бы то ни	3	3
146	к тому или	1	3
147	что они имеют	1	3
148	так как мы	1	3
149	в настоящее время	3	3
150	и что следовательно	1	3
151	так как они	1	3
152	потому что они	1	3
153	так и здесь	1	3
154	он показывает что	1	3
155	наряду с этим	5	2
156	которые не могут	1	2
157	к другу и	2	2
158	о котором говорит	1	2
159	со всеми другими	1	2
160	но в этом	1	2
161	одновременно с этим	1	2
162	не входит в	2	2
163	лишь постольку поскольку	1	2
164	для решения задачи	1	2
165	приводят к тому	2	2
166	по тем же	1	2
167	и может быть	1	2
168	они даны в	1	2
169	в чем же	1	2
170	к чему мы	1	2
171	один из важнейших	1	2
172	заметить что в	1	2
173	здесь мы имеем	1	2
174	мы будем говорить	1	2
175	начинается с того	2	2
176	в одном случае	1	2
177	вовсе не необходимо	1	2
178	мы уже видели	2	2
179	но прежде чем	1	2
180	как бы в	1	2
181	до известной степени	1	2
182	но это и	1	2
183	какого бы то	1	2
184	мы увидим ниже	6	2
185	что за ним	1	2
186	он не может	1	2
187	из этих двух	1	2
188	в том случае	3	2
189	сомневаться в том	1	2
190	если это так	2	2
191	и там где	1	2
192	и в качестве	1	2
193	ли можно сомневаться	1	2
194	в большинстве случаев	3	2
195	в этих случаях	14	2
196	ответить на вопрос	1	2
197	том случае если	2	2
198	здесь как и	1	2
199	так как эта	1	2
200	с того что	2	2
201	помимо того что	1	2
202	они ни были	1	2
203	точки зрения совершенно	1	2
204	и в некоторых	1	2
205	во всех этих	1	2
206	в другом случае	1	2
207	указанием на то	1	2
208	могут быть названы	1	2
209	может существовать без	2	2
210	к этому же	1	2
211	самого начала в	1	2
212	и в какой	1	2
213	между собой функции	1	1
214	не в количестве	2	1
215	может быть объяснена	1	1
216	те случаи когда	1	1
217	мы уже знаем	1	1
218	вслед за этим	1	1
219	и многие другие	1	1
220	чем в первом	1	1
221	в том или	1	1
222	они и не	1	1
223	можно сомневаться в	1	1
224	и способ ее	1	1
225	иметь различное значение	1	1
226	дело не в	2	1
227	может войти в	1	1
228	в коем случае	1	1
229	но это нисколько	1	1
230	который может быть	1	1
231	далеко не всегда	1	1
232	в качестве примера	1	1
233	образом мы видим	4	1
234	в этом нет	1	1
235	если в одном	1	1
236	совершенно ясно что	1	1
237	что под этим	1	1
238	а если мы	1	1
239	обоих случаях значение	1	1
240	из которых один	2	1
241	двух точек зрения	1	1
242	это нисколько не	1	1
243	влияют друг на	1	1
244	и в нашем	1	1
245	заметим только что	1	1
246	с этого момента	2	1
247	в целом во	1	1
248	что он живет	1	1
249	должно исходить из	1	1
250	быть отнесен к	1	1
251	и затем уже	1	1
252	мысль о необходимости	1	1
253	и здесь этот	1	1
254	это все же	1	1
255	в частности мы	1	1
256	случаях мы имеем	1	1
257	один из наиболее	1	1
258	все эти явления	1	1
259	постольку поскольку это	1	1
260	те или иные	1	1
261	тем же законам	1	1
262	а также и	5	1
263	вывод который можно	1	1
264	и могут быть	1	1
265	ложится в основу	1	1
266	мы увидим дальше	1	1
267	этом случае не	3	1
268	могут иметь различное	1	1
269	все эти процессы	1	1
270	с такой же	1	1
271	могут быть разграничены	1	1
272	том или другом	1	1
273	причины так и	1	1
274	то мы увидим	1	1
275	может возникнуть вопрос	1	1
276	не более как	1	1
277	было бы сказать	1	1
278	как один из	1	1
279	возникает вопрос что	1	1
280	мы не сумеем	2	1
281	но и его	1	1
282	может входить в	1	1
283	а во всех	1	1
284	заметим кстати что	1	1
285	теперь перейти к	1	1
286	прежде всего следует	3	1
287	если мы не	3	1
288	по существу мысль	1	1
289	ни одна из	1	1
290	для него но	1	1
291	это еще не	2	1
292	обычно происходит с	1	1
293	всех этих случаях	1	1
294	это и не	2	1
295	этом случае он	1	1
296	все эти вопросы	1	1
297	один раз он	1	1
298	которое может быть	2	1
299	в сущности к	1	1
300	в совершенно другом	1	1
301	есть функция а	1	1
302	тем что она	1	1
303	между тем в	1	1
304	в первый раз	1	1
305	до наших дней	2	1
306	только такое изучение	1	1
307	формы связанные с	1	1
308	коем случае не	1	1
309	или потому что	2	1
310	самая постановка вопроса	1	1
311	такое же развитие	1	1
312	что эти формы	1	1
313	и т д	60	1
314	и что его	1	1
315	как уже упомянуто	2	1
316	и даже не	1	1
317	но если это	2	1
318	постараемся показать что	1	1
319	видим что в	1	1
320	чисто эмпирическим путем	1	1
321	таким же способом	1	1
322	то же в	1	1
323	к таким формам	1	1
324	следует за ней	1	1
325	то можно было	1	1
326	как уже указано	1	1
327	обстоит дело с	1	1
328	не значит что	3	1
329	также и не	1	1
330	и есть то	1	1
331	то это не	1	1
332	и пр и	3	1
333	представляет собой только	1	1
334	тесно связаны между	1	1
335	в основе ее	1	1
336	существенным для этой	1	1
337	а и в	1	1
338	другой вопрос не	1	1
339	иметь в виду	1	1
340	ни в коем	1	1
341	как причины так	1	1
342	было бы показать	1	1
343	могло бы быть	1	1
344	с теми или	1	1
345	представляют собой основные	1	1
346	но как мы	1	1
347	и не с	1	1
348	и в новой	1	1
349	при помощи которых	1	1
350	не может входить	1	1
351	и в других	2	1
352	так как во	1	1
353	том что такое	1	1
354	из них не	1	1
355	не имеет ничего	1	1
356	которые можно назвать	1	1
357	это не значит	2	1
358	может быть достигнуто	1	1
359	выше представляют собой	1	1
360	в точном смысле	1	1
361	а затем о	1	1
362	во всем ее	1	1
363	и по существу	1	1
364	так же и	1	1
365	для этой цели	1	1
366	также должно быть	1	1
367	того чтобы получить	1	1
368	на вопрос что	1	1
369	тому что в	1	1
370	с этим мы	1	1
371	мы скажем что	1	1
372	к нему в	1	1
373	реакции на это	1	1
374	это так то	1	1
375	мы видим не	1	1
376	иногда может быть	1	1
377	может быть изучена	1	1
378	лежат в основе	1	1
379	вопрос что она	1	1
380	отношении друг к	1	1
381	связи с изучением	1	1
382	могут рассматриваться как	1	1
383	в некоторых случаях	1	1
384	вопрос в каком	1	1
385	никто не знает	1	1
386	которые хотя и	2	1
387	в отдельных случаях	3	1
388	говорить о том	2	1
389	между тем мы	1	1
390	этих случаях нет	2	1
391	он может быть	2	1
392	он ничего не	1	1
393	хотя и не	2	1
394	этих двух примеров	1	1
395	же может быть	2	1
396	совершенно иное чем	1	1
397	но они могут	1	1
398	вопрос в какой	1	1
399	можно сравнить с	1	1
400	там где есть	1	1
401	далеко не все	3	1
402	операции при помощи	1	1
403	она все же	1	1
404	что эта задача	1	1
405	в совершенно другой	1	1
406	это сложное явление	1	1
407	отношению к которой	1	1
408	что там где	1	1
409	является одновременно и	1	1
410	бы они ни	1	1
411	иначе чем это	1	1
412	то что там	1	1
413	а не по	1	1
414	становится все более	1	1
415	представляет собой определенную	1	1
416	чем это делает	1	1
417	ход но не	1	1
418	другой стороны они	1	1
419	а для того	1	1
420	в таких случаях	2	1
421	вне связи с	2	1
422	мы не будем	2	1
423	но об этом	1	1
424	должны привести к	1	1
425	один с другим	1	1
426	что несмотря на	1	1
